Gene,Gene description,Concentration
CP,Ceruloplasmin,370 mg/L
A2M,Alpha-2-macroglobulin,270 mg/L
IGHG2,Immunoglobulin heavy constant gamma 2 (G2m marker),260 mg/L
HPX,Hemopexin,230 mg/L
C3,Complement C3,220 mg/L
IGHG1,Immunoglobulin heavy constant gamma 1 (G1m marker),220 mg/L
APOB,Apolipoprotein B,210 mg/L
C4B,Complement C4B (Chido blood group),200 mg/L
C4A,Complement C4A (Rodgers blood group),200 mg/L
SERPINA1,Serpin family A member 1,180 mg/L
IGHG4,Immunoglobulin heavy constant gamma 4 (G4m marker),170 mg/L
FGA,Fibrinogen alpha chain,160 mg/L
GSN,Gelsolin,150 mg/L
CFH,Complement factor H,130 mg/L
TF,Transferrin,130 mg/L
APOA1,Apolipoprotein A1,130 mg/L
FGB,Fibrinogen beta chain,130 mg/L
SERPINA3,Serpin family A member 3,130 mg/L
HP,Haptoglobin,130 mg/L
RBP4,Retinol binding protein 4,120 mg/L
SERPINC1,Serpin family C member 1,110 mg/L
AHSG,Alpha 2-HS glycoprotein,110 mg/L
GC,GC vitamin D binding protein,110 mg/L
CFB,Complement factor B,110 mg/L
IGHA1,Immunoglobulin heavy constant alpha 1,96 mg/L
ITIH1,Inter-alpha-trypsin inhibitor heavy chain 1,95 mg/L
ITIH4,Inter-alpha-trypsin inhibitor heavy chain 4,83 mg/L
FGG,Fibrinogen gamma chain,81 mg/L
FN1,Fibronectin 1,80 mg/L
TTR,Transthyretin,80 mg/L
IGHM,Immunoglobulin heavy constant mu,78 mg/L
A1BG,Alpha-1-B glycoprotein,72 mg/L
HPR,Haptoglobin-related protein,67 mg/L
APOA4,Apolipoprotein A4,66 mg/L
APOA2,Apolipoprotein A2,60 mg/L
PRSS1,Serine protease 1,57 mg/L
IGHA2,Immunoglobulin heavy constant alpha 2 (A2m marker),55 mg/L
APOH,Apolipoprotein H,54 mg/L
PLG,Plasminogen,54 mg/L
F2,"Coagulation factor II, thrombin",54 mg/L
ITIH2,Inter-alpha-trypsin inhibitor heavy chain 2,52 mg/L
PGLYRP2,Peptidoglycan recognition protein 2,52 mg/L
IGHV3-48,Immunoglobulin heavy variable 3-48,52 mg/L
KNG1,Kininogen 1,49 mg/L
IGHV3-23,Immunoglobulin heavy variable 3-23,49 mg/L
C9,Complement C9,48 mg/L
AGT,Angiotensinogen,48 mg/L
SERPINF2,Serpin family F member 2,47 mg/L
AZGP1,"Alpha-2-glycoprotein 1, zinc-binding",46 mg/L
APOD,Apolipoprotein D,46 mg/L
IGHV3-7,Immunoglobulin heavy variable 3-7,45 mg/L
ORM1,Orosomucoid 1,45 mg/L
IGLL5,Immunoglobulin lambda like polypeptide 5,42 mg/L
C5,Complement C5,41 mg/L
SERPIND1,Serpin family D member 1,40 mg/L
AMBP,Alpha-1-microglobulin/bikunin precursor,40 mg/L
IGHV3-21,Immunoglobulin heavy variable 3-21,38 mg/L
VTN,Vitronectin,37 mg/L
CLU,Clusterin,37 mg/L
SERPING1,Serpin family G member 1,37 mg/L
IGKV3-20,Immunoglobulin kappa variable 3-20,36 mg/L
C7,Complement C7,35 mg/L
IGLL1,Immunoglobulin lambda like polypeptide 1,35 mg/L
HRG,Histidine rich glycoprotein,34 mg/L
IGHV3-13,Immunoglobulin heavy variable 3-13,34 mg/L
C4BPA,Complement component 4 binding protein alpha,33 mg/L
IGKV3-11,Immunoglobulin kappa variable 3-11,31 mg/L
ORM2,Orosomucoid 2,29 mg/L
IGHV3-74,Immunoglobulin heavy variable 3-74,28 mg/L
APOC3,Apolipoprotein C3,27 mg/L
APOC2,Apolipoprotein C2,27 mg/L
PZP,PZP alpha-2-macroglobulin like,26 mg/L
LRG1,Leucine rich alpha-2-glycoprotein 1,26 mg/L
SERPINF1,Serpin family F member 1,25 mg/L
C2,Complement C2,24 mg/L
APOE,Apolipoprotein E,23 mg/L
APCS,"Amyloid P component, serum",23 mg/L
KRT1,Keratin 1,23 mg/L
SERPINA6,Serpin family A member 6,22 mg/L
LUM,Lumican,21 mg/L
C1S,Complement C1s,20 mg/L
SAA4,"Serum amyloid A4, constitutive",19 mg/L
IGHV3-15,Immunoglobulin heavy variable 3-15,19 mg/L
IGFALS,Insulin like growth factor binding protein acid labile subunit,18 mg/L
SERPINA7,Serpin family A member 7,18 mg/L
ITIH3,Inter-alpha-trypsin inhibitor heavy chain 3,18 mg/L
HBA2,Hemoglobin subunit alpha 2,18 mg/L
HBA1,Hemoglobin subunit alpha 1,18 mg/L
IGKV4-1,Immunoglobulin kappa variable 4-1,18 mg/L
