#id: 1369124905,
#name: H.sapiens - Plasma (Integrated),
#score: 16.0,
#coverage: 37,
"#description: integrated dataset: weighted average of all H.sapiens PLASMA: 16.0, Coverage: 37",
#organ: PLASMA,
#integrated: true,
#weights: human_plasma_PA_2021-7:0.621;PXD003028_Grassl_Genome_Med_2016_human_plasma:0.112;human3_non-alkylatedPlasma_PRIDE:0.091;human_plasma_atlas_201005:0.068;9606-PA_plasma:0.062;PXD004242_Geyer_Mol_Syst_Biol_2016_human_plasma:0.038;PXD010899_human_plasma:0.008;,
#publication_year: 2023,
#filename: 9606-PLASMA-integrated.txt,
#,
#string_external_id,abundance
9606.ENSP00000295897,81110
9606.ENSP00000236850,40718
9606.ENSP00000431254,38503
9606.ENSP00000360522,29729
9606.ENSP00000356969,29070
9606.ENSP00000465356,27221
9606.ENSP00000416066,26440
9606.ENSP00000237014,19275
9606.ENSP00000227667,18751
9606.ENSP00000385834,18332
9606.ENSP00000259396,17930
9606.ENSP00000348170,17194
9606.ENSP00000345179,16630
9606.ENSP00000370010,16536
9606.ENSP00000306099,16421
9606.ENSP00000265983,16017
9606.ENSP00000356671,15061
9606.ENSP00000362924,14804
9606.ENSP00000323929,14781
9606.ENSP00000264613,14377
9606.ENSP00000245907,13768
9606.ENSP00000292401,13577
9606.ENSP00000393887,13235
9606.ENSP00000306361,13086
9606.ENSP00000350425,12331
9606.ENSP00000336829,12045
9606.ENSP00000252490,9694
9606.ENSP00000466775,9052
9606.ENSP00000421725,8342
9606.ENSP00000255040,7739
9606.ENSP00000394936,7509
9606.ENSP00000333994,7336
9606.ENSP00000263100,7068
9606.ENSP00000252486,7000
9606.ENSP00000321853,6935
9606.ENSP00000254722,6806
9606.ENSP00000233242,6693
9606.ENSP00000215727,6501
9606.ENSP00000302621,6393
9606.ENSP00000205948,6167
9606.ENSP00000355627,6153
9606.ENSP00000345968,6016
9606.ENSP00000263408,5524
9606.ENSP00000296130,5394
9606.ENSP00000376793,5184
9606.ENSP00000265132,5100
9606.ENSP00000251595,5088
9606.ENSP00000356399,5081
9606.ENSP00000266041,4913
9606.ENSP00000265023,4848
9606.ENSP00000315130,4809
9606.ENSP00000252244,4684
9606.ENSP00000266718,4239
9606.ENSP00000329374,4188
9606.ENSP00000232003,4175
9606.ENSP00000278407,4159
9606.ENSP00000396688,4157
9606.ENSP00000416561,3952
9606.ENSP00000246662,3920
9606.ENSP00000450540,3852
9606.ENSP00000222381,3848
9606.ENSP00000308938,3825
9606.ENSP00000308541,3820
9606.ENSP00000410815,3790
9606.ENSP00000273283,3767
9606.ENSP00000351190,3627
9606.ENSP00000322061,3549
9606.ENSP00000342850,3497
9606.ENSP00000226218,3363
9606.ENSP00000278222,3230
9606.ENSP00000356037,3169
9606.ENSP00000384906,3155
9606.ENSP00000322421,2965
9606.ENSP00000441828,2819
9606.ENSP00000346839,2778
9606.ENSP00000365081,2774
9606.ENSP00000415941,2769
9606.ENSP00000416683,2686
9606.ENSP00000485552,2594
9606.ENSP00000270879,2576
9606.ENSP00000373477,2518
9606.ENSP00000269576,2397
9606.ENSP00000319464,2381
9606.ENSP00000317674,2257
9606.ENSP00000255030,2257
9606.ENSP00000450838,2207
9606.ENSP00000254801,2179
9606.ENSP00000299367,2136
9606.ENSP00000331544,2116
9606.ENSP00000313967,2075
9606.ENSP00000364709,2055
9606.ENSP00000223642,2048
9606.ENSP00000304236,1984
9606.ENSP00000359446,1963
9606.ENSP00000226355,1813
9606.ENSP00000296028,1735
9606.ENSP00000385035,1676
9606.ENSP00000266542,1670
9606.ENSP00000378130,1618
9606.ENSP00000314299,1609
9606.ENSP00000369816,1595
9606.ENSP00000218099,1585
9606.ENSP00000261267,1568
9606.ENSP00000436126,1565
9606.ENSP00000357156,1530
9606.ENSP00000264381,1511
9606.ENSP00000430656,1484
9606.ENSP00000332139,1476
9606.ENSP00000452780,1455
9606.ENSP00000360687,1439
9606.ENSP00000181383,1438
9606.ENSP00000438615,1433
9606.ENSP00000262919,1410
9606.ENSP00000370473,1404
9606.ENSP00000468236,1393
9606.ENSP00000302665,1329
9606.ENSP00000369654,1271
9606.ENSP00000381448,1195
9606.ENSP00000247153,1194
9606.ENSP00000363773,1191
9606.ENSP00000310861,1189
9606.ENSP00000358045,1187
9606.ENSP00000421801,1180
9606.ENSP00000263413,1138
9606.ENSP00000357727,1131
9606.ENSP00000236147,1097
9606.ENSP00000253496,1094
9606.ENSP00000360281,1052
9606.ENSP00000261994,1027
9606.ENSP00000256178,1022
9606.ENSP00000478725,1022
9606.ENSP00000224181,1015
9606.ENSP00000414287,992
9606.ENSP00000354458,986
9606.ENSP00000262776,939
9606.ENSP00000265029,935
9606.ENSP00000356385,932
9606.ENSP00000264690,923
9606.ENSP00000356391,921
9606.ENSP00000234071,911
9606.ENSP00000363770,883
9606.ENSP00000264005,874
9606.ENSP00000415769,866
9606.ENSP00000399679,865
9606.ENSP00000377783,861
9606.ENSP00000363079,825
9606.ENSP00000296029,774
9606.ENSP00000277903,768
9606.ENSP00000384957,747
9606.ENSP00000381057,744
9606.ENSP00000357722,723
9606.ENSP00000381250,720
9606.ENSP00000452347,673
9606.ENSP00000356771,637
9606.ENSP00000400995,625
9606.ENSP00000391826,604
9606.ENSP00000420939,591
9606.ENSP00000356382,588
9606.ENSP00000366109,569
9606.ENSP00000478289,563
9606.ENSP00000301522,551
9606.ENSP00000260118,536
9606.ENSP00000474135,534
9606.ENSP00000479675,529
9606.ENSP00000406773,521
9606.ENSP00000225655,502
9606.ENSP00000261336,499
9606.ENSP00000362778,487
9606.ENSP00000256509,487
9606.ENSP00000351682,485
9606.ENSP00000485444,468
9606.ENSP00000481152,463
9606.ENSP00000243611,455
9606.ENSP00000378058,454
9606.ENSP00000229239,447
9606.ENSP00000233809,441
9606.ENSP00000333203,440
9606.ENSP00000389814,431
9606.ENSP00000264832,429
9606.ENSP00000389026,425
9606.ENSP00000356574,421
9606.ENSP00000348933,421
9606.ENSP00000291744,419
9606.ENSP00000356395,410
9606.ENSP00000416126,407
9606.ENSP00000480132,404
9606.ENSP00000336762,403
9606.ENSP00000230036,403
9606.ENSP00000381581,389
9606.ENSP00000349960,375
9606.ENSP00000308720,365
9606.ENSP00000264036,361
9606.ENSP00000415283,357
9606.ENSP00000306864,354
9606.ENSP00000364731,352
9606.ENSP00000216968,351
9606.ENSP00000329380,342
9606.ENSP00000362108,336
9606.ENSP00000285379,324
9606.ENSP00000458162,323
9606.ENSP00000226524,313
9606.ENSP00000217407,312
9606.ENSP00000305988,309
9606.ENSP00000223061,309
9606.ENSP00000432660,307
9606.ENSP00000356946,303
9606.ENSP00000301653,300
9606.ENSP00000244137,299
9606.ENSP00000433642,296
9606.ENSP00000261405,290
9606.ENSP00000418009,287
9606.ENSP00000407685,284
9606.ENSP00000167586,282
9606.ENSP00000416330,277
9606.ENSP00000307786,276
9606.ENSP00000376776,274
9606.ENSP00000269593,274
9606.ENSP00000371554,267
9606.ENSP00000222271,267
9606.ENSP00000363988,264
9606.ENSP00000419425,264
9606.ENSP00000369609,263
9606.ENSP00000218388,255
9606.ENSP00000296280,253
9606.ENSP00000252252,253
9606.ENSP00000252242,252
9606.ENSP00000233143,247
9606.ENSP00000204679,247
9606.ENSP00000241052,246
9606.ENSP00000327431,242
9606.ENSP00000348888,238
9606.ENSP00000286301,233
9606.ENSP00000294728,230
9606.ENSP00000356905,229
9606.ENSP00000263368,229
9606.ENSP00000321334,227
9606.ENSP00000345230,225
9606.ENSP00000264870,222
9606.ENSP00000256404,217
9606.ENSP00000168148,214
9606.ENSP00000347933,214
9606.ENSP00000352458,214
9606.ENSP00000378669,212
9606.ENSP00000379386,212
9606.ENSP00000344458,205
9606.ENSP00000402060,204
9606.ENSP00000324173,204
9606.ENSP00000369317,203
9606.ENSP00000356030,201
9606.ENSP00000352071,195
9606.ENSP00000260356,192
9606.ENSP00000270142,192
9606.ENSP00000211998,191
9606.ENSP00000233813,191
9606.ENSP00000344115,191
9606.ENSP00000350364,188
9606.ENSP00000366525,186
9606.ENSP00000379287,185
9606.ENSP00000252250,185
9606.ENSP00000300060,180
9606.ENSP00000369586,179
9606.ENSP00000357076,179
9606.ENSP00000398632,172
9606.ENSP00000301464,171
9606.ENSP00000256785,169
9606.ENSP00000383690,168
9606.ENSP00000359664,168
9606.ENSP00000295666,161
9606.ENSP00000358727,161
9606.ENSP00000270792,161
9606.ENSP00000366460,160
9606.ENSP00000246006,158
9606.ENSP00000231061,158
9606.ENSP00000387654,156
9606.ENSP00000259486,155
9606.ENSP00000329312,154
9606.ENSP00000380489,150
9606.ENSP00000234313,146
9606.ENSP00000361064,145
9606.ENSP00000414856,144
9606.ENSP00000230050,139
9606.ENSP00000264474,137
9606.ENSP00000408411,133
9606.ENSP00000308452,132
9606.ENSP00000320866,131
9606.ENSP00000342026,129
