Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
A0A024R571,0.016708629,A0A024R161,0.000381476,P01024,0.181585745,A0A024R571,0.020828565,A0A024R161,0.001457237,H0YA55,0.543525289,A0A024R161,0.000124361,O75882-3,0.525099688,C9JC20,1.25E-08,P55854,3.64E-09,Q6P4F2,2.48E-09,Q9Y616,1.64E-09
A0A024RA87,0.023346304,A0A024R571,0.013580529,Q15149,0.442422184,A0A024RA87,0.027428092,A0A024R571,0.007362478,P35579,0.600969017,A0A024R571,0.01888304,O14678,0.532301438,B2RTY4,2.31E-08,P11831,4.26E-09,Q12979-2,9.55E-09,Q96FC9-2,5.95E-09
A0A075B6F3,3.55E-06,A0A024RA87,0.023842222,P35749,0.199214745,A0A075B6F3,0.000012,A0A024RA87,0.004692149,P35749,0.396974952,A0A024RA87,0.023384451,Q5QPE7,0.540411776,J3KSM4,2.48E-08,J3QSF7,0.000000013,Q04721,1.06E-08,P30480,6.58E-09
A0A075B759,0.004425116,A0A075B759,0.007362478,O75165,0.069003814,A0A075B759,0.005722133,A0A075B759,0.008010986,P16157,0.080256736,A0A075B6F3,0.00000286,O60563,0.543244935,P29622,2.53E-08,O95562,1.33E-08,Q9NZ01,1.52E-08,H0YF29,6.59E-09
A0A075B767,0.004119936,A0A075B767,0.006981003,A0A0A0MRA3,0.072962294,A0A075B767,0.005378805,A0A075B767,0.007438773,Q13813,0.386086925,A0A075B759,0.004806592,Q86UU1-3,0.543862509,Q9UIF8,2.59E-08,Q9BRA0,1.56E-08,P10176,1.72E-08,Q8IZ07,7.42E-09
A0A087WSV6,0.000285725,A0A087WSZ2,0.001159686,P54756,0.018540039,A0A087WSV6,0.00025597,A0A087WSV6,0.004844739,Q01484,0.07094202,A0A075B767,0.004577707,F8WE91,0.546033296,J3KQ34,2.83E-08,P30466,1.87E-08,Q4AE62,1.77E-08,Q08116,8.25E-09
A0A087WSW2,1.11E-06,A0A087WT20,0.001083391,Q09666,0.211298118,A0A087WSZ2,0.001899748,A0A087WSZ2,0.002159152,Q01082,0.388071443,A0A087WSV6,0.002056153,O60462-4,0.546795386,Q9Y4X0,2.84E-08,Q99674-5,2.33E-08,P22059,2.06E-08,A0A0C4DH38,9.81E-09
A0A087WSZ2,0.001121538,A0A087WT44,0.011711299,P07355,0.505658556,A0A087WT44,0.006942855,A0A087WT44,0.002006561,P69905,0.392362291,A0A087WSZ2,0.001140612,M0R0Q5,0.54798615,I3L468,3.28E-08,P02545-2,2.78E-08,Q4G0N4,2.07E-08,P51991-2,1.29E-08
A0A087WT20,0.001022354,A0A087WT57,0.003025101,P04114,0.229774909,A0A087WT57,0.000252918,A0A087WT65,0.000113298,P35527,0.731178374,A0A087WT20,0.000469215,E5RIH5,0.548772385,P50991,3.44E-08,Q9GZR7,2.82E-08,Q96LB3,2.75E-08,Q9NY61,1.34E-08
A0A087WT44,0.005416953,A0A087WT58,3.06E-05,P46379,0.069588364,A0A087WT65,0.000115206,A0A087WTJ2,0.002409317,P02730,0.095596517,A0A087WT44,0.0054551,Q0VF96-2,0.549271493,Q9Y265,0.000000039,A0A087WXE3,2.98E-08,P55854,2.76E-08,O43670,1.46E-08
A0A087WT57,0.002464332,A0A087WT65,0.000122072,P21333,0.608084673,A0A087WTJ2,0.003712815,A0A087WTZ4,0.002559701,P63267,0.880446248,A0A087WT57,0.000755322,H0Y398,0.551694805,C9J9B9,4.64E-08,Q5JUX0,3.03E-08,P02747,2.77E-08,P19113,1.55E-08
A0A087WT58,3.81E-08,A0A087WTJ2,0.00517144,P0C0L4,0.140132709,A0A087WTN9,0.0000832,A0A087WV05,0.001205463,P62736,0.886221014,A0A087WT65,0.000234607,O14974-4,0.551873958,P56278,4.78E-08,O14727,3.15E-08,P30305-4,2.83E-08,P68400,1.59E-08
A0A087WT65,0.000248722,A0A087WTN9,5.19E-05,Q14571,0.042777762,A0A087WTW5,0.0000058,A0A087WV17,0.004615854,G3V1N2,0.3079041,A0A087WTF0,0.000000801,Q96JM4-2,0.552321564,Q01628,4.93E-08,Q9H3T3,3.17E-08,P81877-4,2.98E-08,P31947,1.61E-08
A0A087WTJ2,0.003723392,A0A087WTW5,2.13E-05,P35580,0.434287451,A0A087WTZ4,0.005912871,A0A087WVT3,0.001186389,P68032,0.89480271,A0A087WTJ2,0.000650642,Q9NPI1-2,0.553520315,P04150,6.02E-08,Q99576,3.19E-08,Q14207,3.48E-08,P0CAP2,1.71E-08
A0A087WTN9,8.74E-05,A0A087WTZ4,0.011024643,P35579,0.600969017,A0A087WU35,0.0000109,A0A087WW23,0.015945678,P68133,0.845046752,A0A087WTN9,0.0000694,Q8WTW4,0.556063295,Q9BQC6,6.23E-08,P49685,0.000000034,Q6ICB0,3.73E-08,A0A087WTM7,1.73E-08
A0A087WTW5,2.17E-06,A0A087WV05,0.004031294,P0C0L5,0.28473352,A0A087WV05,0.002212558,A0A087WW40,0.004615854,P68871,0.426063326,A0A087WTZ4,0.002292668,Q86UP2-3,0.556092214,O43795,7.03E-08,P00395,3.47E-08,P30480,3.88E-08,Q8WXE9,1.78E-08
