From	To
P00451	F8
P00734	F2
P00740	F9
P00742	F10
P00748	F12
P01298	PPY
P01308	INS
P01375	TNF
P03951	F11
P04070	PROC
P05121	SERPINE1
P05156	CFI
P07196	NEFL
P07225	PROS1
P08709	F7
P12259	F5
P16860	NPPB
P45379	TNNT2
P49767	VEGFC
A5A6I6	TF
P00338	LDHA
P00450	CP
P00813	ADA
P01009	SERPINA1
P01024	C3
P01031	C5
P01034	CST3
P01225	FSHB
P01236	PRL
P01241	GH1
P01258	CALCA
P01350	GAST
P01588	EPO
P01589	IL2RA
P01860	IGHG3
P02452	COL1A1
P02647	APOA1
P02649	APOE
P02741	CRP
P02745	C1QA
P02748	C9
P02766	TTR
P02771	AFP
P02786	TFRC
P02818	BGLAP
P03971	AMH
P04278	SHBG
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
P05062	ALDOB
P05186	ALPL
P05455	SSB
P06276	BCHE
P06681	C2
P06858	LPL
P07288	KLK3
P07360	C8G
P09603	CSF1
P09871	C1S
P0C0L4	C4A
P0DJI8	SAA1
P0DN86	CGB3
P0DN86	CGB5
P0DN86	CGB8
P10643	C7
P10645	CHGA
P11413	G6PD
P12821	ACE
P13671	C6
P15309	ACP3
P15941	MUC1
P16109	SELP
P17174	GOT1
P19429	TNNI3
P19440	GGT1
P19474	TRIM21
P24298	GPT
P41159	LEP
P43251	BTD
P61626	LYZ
P61769	B2M
P68871	HBB
P69905	HBA1
P69905	HBA2
Q03431	PTH1R
Q13219	PAPPA
Q14508	WFDC2
Q15661	TPSAB1
Q8WXI7	MUC16
