"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"01-MAR",24120490.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","01-MAR_PXD004352"
"01-SEP",8770702187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","01-SEP_PXD004352"
"02-MAR",2376756.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","02-MAR_PXD004352"
"02-SEP",6656190625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","02-SEP_PXD004352"
"03-SEP",802104687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","03-SEP_PXD004352"
"05-MAR",196195343.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","05-MAR_PXD004352"
"05-SEP",51748943.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","05-SEP_PXD004352"
"06-MAR",23214809.375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","06-MAR_PXD004352"
"06-SEP",11461842500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","06-SEP_PXD004352"
"07-SEP",12454819062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","07-SEP_PXD004352"
"08-SEP",180459468.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","08-SEP_PXD004352"
"09-SEP",15324129375,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","09-SEP_PXD004352"
"10-SEP",10339771.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","10-SEP_PXD004352"
"11-SEP",1744360312.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","11-SEP_PXD004352"
"15-SEP",497245000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","15-SEP_PXD004352"
"A1BG",259789187.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","A1BG_PXD004352"
"A1BG",24.12088897,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","A1BG_PXD040957"
"A2M",4145100937.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","A2M_PXD004352"
"A2M",16306,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","A2M_PXD025174"
"A2M",28.89556039,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","A2M_PXD040957"
"A2ML1",48737990.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","A2ML1_PXD004352"
"AAAS",1095496593.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAAS_PXD004352"
"AAAS",39754,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAAS_PXD025174"
"AAAS",27.9263250525,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AAAS_PXD040957"
"AACS",179697990.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AACS_PXD004352"
"AACS",29433,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AACS_PXD025174"
"AAED1",63237.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAED1_PXD004352"
"AAGAB",87302468.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAGAB_PXD004352"
"AAGAB",33769,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAGAB_PXD025174"
"AAGAB",23.093102205,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AAGAB_PXD040957"
"AAK1",1796453437.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAK1_PXD004352"
"AAK1",104550,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAK1_PXD025174"
"AAK1",29.1863648075,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AAK1_PXD040957"
"AAMDC",85678290.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAMDC_PXD004352"
"AAMDC",158445,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAMDC_PXD025174"
"AAMDC",24.05214195,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AAMDC_PXD040957"
"AAMP",374578718.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAMP_PXD004352"
"AAMP",4582,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAMP_PXD025174"
"AAMP",25.1478465625,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AAMP_PXD040957"
"AAR2",99104712.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AAR2_PXD004352"
"AAR2",5915,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AAR2_PXD025174"
"AARS",6228344062.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AARS_PXD004352"
"AARS",367393,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AARS_PXD025174"
"AARS",30.24913911,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AARS_PXD040957"
"AARS2",809826281.25,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AARS2_PXD004352"
"AARS2",11555,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AARS2_PXD025174"
"AARS2",27.675280335,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AARS2_PXD040957"
"AARSD1",400262812.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AARSD1_PXD004352"
"AASDHPPT",674573687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AASDHPPT_PXD004352"
"AASDHPPT",96074,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AASDHPPT_PXD025174"
"AASDHPPT",27.7741520925,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AASDHPPT_PXD040957"
"AASS",240722612.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AASS_PXD004352"
"AASS",23.2985368525,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","AASS_PXD040957"
"AATF",685433593.75,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","AATF_PXD004352"
"AATF",10449,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","AATF_PXD025174"
