"Gene","Database","Category","CellType","Concentration","Dataset"
"01-MAR","ProteomeXchange","CellType","CD8",24120490.625,"PXD004352"
"01-SEP","ProteomeXchange","CellType","CD8",8770702187.5,"PXD004352"
"02-MAR","ProteomeXchange","CellType","CD8",2376756.25,"PXD004352"
"02-SEP","ProteomeXchange","CellType","CD8",6656190625,"PXD004352"
"03-SEP","ProteomeXchange","CellType","CD8",802104687.5,"PXD004352"
"05-MAR","ProteomeXchange","CellType","CD8",196195343.75,"PXD004352"
"05-SEP","ProteomeXchange","CellType","CD8",51748943.75,"PXD004352"
"06-MAR","ProteomeXchange","CellType","CD8",23214809.375,"PXD004352"
"06-SEP","ProteomeXchange","CellType","CD8",11461842500,"PXD004352"
"07-SEP","ProteomeXchange","CellType","CD8",12454819062.5,"PXD004352"
"08-SEP","ProteomeXchange","CellType","CD8",180459468.75,"PXD004352"
"09-SEP","ProteomeXchange","CellType","CD8",15324129375,"PXD004352"
"10-SEP","ProteomeXchange","CellType","CD8",10339771.875,"PXD004352"
"11-SEP","ProteomeXchange","CellType","CD8",1744360312.5,"PXD004352"
"15-SEP","ProteomeXchange","CellType","CD8",497245000,"PXD004352"
"A1BG","ProteomeXchange","CellType","CD8",259789187.5,"PXD004352,PXD040957"
"A2M","ProteomeXchange","CellType","CD8",4145100937.5,"PXD004352,PXD025174,PXD040957"
"A2ML1","ProteomeXchange","CellType","CD8",48737990.625,"PXD004352"
"AAAS","ProteomeXchange","CellType","CD8",1095496593.75,"PXD004352,PXD025174,PXD040957"
"AACS","ProteomeXchange","CellType","CD8",179697990.625,"PXD004352,PXD025174"
"AAED1","ProteomeXchange","CellType","CD8",63237.5,"PXD004352"
"AAGAB","ProteomeXchange","CellType","CD8",87302468.75,"PXD004352,PXD025174,PXD040957"
"AAK1","ProteomeXchange","CellType","CD8",1796453437.5,"PXD004352,PXD025174,PXD040957"
"AAMDC","ProteomeXchange","CellType","CD8",85678290.625,"PXD004352,PXD025174,PXD040957"
"AAMP","ProteomeXchange","CellType","CD8",374578718.75,"PXD004352,PXD025174,PXD040957"
"AAR2","ProteomeXchange","CellType","CD8",99104712.5,"PXD004352,PXD025174"
"AARS","ProteomeXchange","CellType","CD8",6228344062.5,"PXD004352,PXD025174,PXD040957"
"AARS2","ProteomeXchange","CellType","CD8",809826281.25,"PXD004352,PXD025174,PXD040957"
"AARSD1","ProteomeXchange","CellType","CD8",400262812.5,"PXD004352"
"AASDHPPT","ProteomeXchange","CellType","CD8",674573687.5,"PXD004352,PXD025174,PXD040957"
"AASS","ProteomeXchange","CellType","CD8",240722612.5,"PXD004352,PXD040957"
"AATF","ProteomeXchange","CellType","CD8",685433593.75,"PXD004352,PXD025174,PXD040957"
"AATK","ProteomeXchange","CellType","CD8",37877406.25,"PXD004352"
"ABAT","ProteomeXchange","CellType","CD8",253160906.25,"PXD004352,PXD025174,PXD040957"
