UniProt,NPX
A0FGR8,1.4741657931249998
A0JNW5,-0.3341691054375
A1A4S6,2.552289924375
A1A5D9,-0.168744100375
A1E959,0.3929420500625
A1KZ92,-0.37495586275000004
A1L390,0.4025682017291667
A1L4H1,-0.7756505064791667
A1L4K1,-0.21876446497916668
A1X283,0.4570972249166667
A1YPR0,-0.3374264539375
A1Z1Q3,-0.8625275546458333
A2A288,-0.3910144078541667
A2A2Z9,-2.256971284625
A2A3L6,0.3597771744375
A2PYH4,-0.3776488125
A2RTX5,-1.7239158230833331
A2RU37,-0.9218871887291668
A2RU48,-4.135238106625
A2RUB1,-2.834970080895833
A2RUB6,-0.7588144020833334
A2RUC4,1.1170727887916667
A2VCK2,-0.08368734758333334
A2VDF0,-0.9297663119166666
A2VDJ0,-2.295592519979167
A3KMH1,-0.5749940144375
A4D161,1.262094729
A4D1B5,-3.8176213308749998
A4D1P6,0.7829394975625
A4D1S5,-1.2553384272291668
A4D2B0,-0.9915148380833333
A4FU49,-0.9427726711458333
A4UGR9,-0.6796373192708334
A5D8W1,-0.4061538354375
A5LHX3,-1.3629109863541666
A5PL33,-2.632090276229167
A5PLL1,-0.9398906717708333
A6BM72,0.2919029605833333
A6H8M9,-0.07064346075
A6NC86,-0.5382445067916667
A6NC98,-1.5277272627291667
A6NCE7,-0.17036430874999997
A6NCF6,-0.055801349937500015
A6NCM1,0.09503120006249999
A6NDA9,-0.7651465296041667
A6NDB9,0.4337727067708334
A6NDU8,1.2807658728125
A6NDY2,-4.405431891229166
A6NE01,-1.418392331375
A6NEE1,-4.934320186729167
A6NEF3_A6NEM1_A6NI86,0.9085726903333334
A6NEL2,-0.3652592520625
A6NES4,-1.1945274425416665
A6NEV1,0.290850755625
A6NEY8,-1.3313618653125
A6NFE2,-0.47553017141666665
A6NFE3,-0.40623044504166667
A6NFN3,-0.12081043922916666
A6NFN9,-1.4412739670416668
A6NGE7,-0.4400566590208334
A6NGG8,-1.7265014204166667
A6NGN9,-0.2135536674375
A6NGS2,-0.8710570671875
A6NHC0,0.8376125641458333
A6NHS7,-1.3998636287916666
A6NI28,0.2614813595208333
A6NI47,-2.653315194625
A6NI73,-0.9930313304374999
A6NI79,-0.30177877610416665
A6NIN4,-1.37810579725
A6NJZ7_Q9UFD9,-0.7103734954166666
A6NK59,-0.1170879766875
A6NK89,0.04042786822916667
A6NKC9,-0.9729002595416666
A6NLC5,-0.139155109375
A6NLU5,-1.0240548591458334
A6NM11,-0.7389619215833334
A6NMA1,-0.058501838187499995
A6NMK8,-0.07581679091666668
A6NMN3,-0.19296453785416667
A6NMZ2,-1.4982743335208335
A6NMZ7,-0.440975700875
A6NN73,1.6694649321875
A6NN90,-0.4080207643125
A6NNA5,0.8841558363333334
A6NNL0,0.9020671346875
A6NNP5,-0.8056201003125
A6NNT2,-1.9356501529374999
A6NNZ2,-1.575314661875
A6PVY3,-2.989412625
A7E2U8,-2.2241948903541666
A7E2V4,-1.8682366010416667
A7E2Y1,-0.6926696920416667
A8K0R7,1.3319647006875
A8K4G0,-0.40399455743750007
A8K554,-0.6895493355416668
A8K979,-0.6310402283333333
A8MQ03,-1.9038138973958334
A8MQ27,-0.45910768943749997
A8MQT2,-1.3704529351875
A8MT33,-0.175685270375
A8MT66,-0.7657467686666667
A8MTB9,-0.7801841069166667
A8MTL3,-1.0802707280208332
A8MUA0_A8MX80,-0.19771895793750002
A8MVU1_P14598,-0.24141111908333335
A8MVW0,-0.5462630203125
A8MVW5,-0.6947457732291666
A8MVX0,-0.07766331947916663
A8MVZ5,-0.013860700708333335
A8MW92,-0.79276628125
A8MWE9,-0.7010202359166667
A8MYA2,0.20165095337500002
A8MYV0,-2.8930656525625
A8MYZ0,-2.8601737374166665
A8MZ36,-2.3571503582708333
A9QM74,0.9633722193541666
A9UHW6,0.9262655429791667
AMP1,-0.07851558435714287
AMP2,-0.03222676995833333
AMP3,0.014835612145833331
AMP4,-0.07040286572916667
AMP5,0.0007062718333333337
AMP6,-0.008011231729166665
AMP7,-0.015276658729166668
AMP8,-0.019494668765957446
B0FP48,-5.381943579895833
B0I1T2,-0.629920422375
B1AJZ9,-0.14579349449999998
B1AKI9,-0.3632566020833334
B1ANS9,-2.0932574221041667
B1ATL7,-2.838188745791667
B2RBV5,-1.8804602217291666
B2RU33,-2.989006415895833
B2RUY7,0.17960159235416664
B3KU38,-4.1550696305625
B6A8C7,-1.7705400245416667
B6SEH8,-2.029308230208333
B7ZC32,-0.262552513625
C9J069,-0.9158385819375
C9J7I0,2.1948564758124998
C9JL84,-0.362494836125
D6REC4,-2.0199032142708333
D6RIA3,-0.3477114890833333
E2RYF7,-0.9134537476458333
E5RJ46,-0.6436355531458333
E9PB15,0.079136211375
E9PIF3,0.6255504875
E9PJ23,-0.7563431987500001
EXT1,0.0
EXT2,0.0
EXT3,0.0
EXT4,0.0
EXT5,0.0
EXT6,0.0
EXT7,0.0
EXT8,0.0
F5H4B4,1.6445305529375
H3BUK9,-0.014032857791666667
I3L3R5,0.18154672629166668
INC1,0.08589072378571429
INC2,0.11529356125000001
INC3,0.11918169710416666
INC4,0.07102719066666667
INC5,-0.045414804479166675
INC6,-0.010849388166666666
INC7,-0.010454120333333332
INC8,0.11212507104255319
K9M1U5,-1.2001663694583333
NT-proBNP,0.8537375002083333
O00141,-0.7665003011666666
O00144,-3.3337600445624997
O00148,-0.10910010531249999
O00151,2.249411090708333
O00161,2.2533638635833335
O00175,-0.8380523144166667
O00182,-0.7639162879166667
O00186,0.4973326372708333
O00192,-1.3207461198333335
O00194,2.735967189166667
O00203,0.4121720048125
O00206,-0.30537307291666665
O00213,-0.16192523379166668
O00214,0.05285597177083335
O00220,-0.41468312779166666
O00221,0.1608134781875
O00233,1.0323824048124999
O00238,-0.6242858236250001
O00241,-0.34505480931250004
O00244,0.8712514071875
O00253,-1.6969593583541667
O00257,-0.41276743750000006
O00273,0.8030732155833333
O00291,-0.3364698724375
O00292,-2.0638712299583335
O00299,-1.9847557899583332
O00300,-0.5019498246249999
O00305,0.33880272637500003
O00308,0.8322630951666667
O00327,1.44278953975
O00329,-0.19307241274999998
O00337,-0.6576412774166667
O00338,-2.4367267773541665
O00339,-0.2554512570833333
O00399,0.542564625875
O00401,-1.7248414559791667
O00408,0.452775011
O00422,-0.29262081125
O00423,0.4037974853125
O00425,0.14636232160416668
O00451,-0.055718314354166666
O00468,-0.5217219512708333
O00499,-1.4657128535000001
O00522,-0.2530094682083333
O00533,-0.4410652645625
O00534,0.418968225125
O00548,-0.35673885224999996
O00559,1.6145437891041665
O00567,-0.7959784785416667
O00584,-0.2924543495208333
O00585,-0.04938883704166668
O00591,-0.26948422420833335
O00592,-0.5716854256458334
O00602,0.292133590875
O00622,-1.2877167243125
O00626,-1.08346038225
O00748,-1.2254662719166667
O00755,-0.2032351141458333
O14497,-0.472415608375
O14503,-0.7180444112500001
O14511,-0.3929449478125
O14513,2.6937086692916665
O14514,-0.1895675704791667
O14523,-0.4241907866458334
O14526,-0.19147158350000001
O14529,-0.2406616215
O14530,0.6755868585
O14545,0.9915639863333333
O14558,-0.43465990447916664
O14578,0.29712050500000003
O14579,-0.9955997640833334
O14594,-0.43127979752083334
O14618,1.3085800427708334
O14625,0.28166830152083333
O14639,1.3244917194583332
O14645,-2.0727901544375
O14647,-0.13623720941666667
O14662,0.37611477741666666
O14668,-0.24450847374999998
O14713,0.0021779633749999896
O14717,-3.3045287565624997
O14737,0.5558485411041666
O14745,0.9742066935208333
O14763,-0.5513531403541666
O14770,-0.4416762773333333
O14773,-1.2386129056875
O14776,-1.7023636822083335
O14786,-0.4372268985
O14788,0.07627660587500001
O14791,-3.5994399745625003
O14793,0.7413446197291668
O14798,-0.27397626833333333
O14813,-0.10519472216666666
O14828,1.1616245049166667
O14836,-0.8644174927083333
O14841,1.1542322620208334
O14867,0.7063093094791667
O14879,0.13481847029166663
O14893,0.250542521625
O14904,0.42721841947916667
O14917,-0.2712326372083333
O14924,0.16082164841666666
O14931,-0.21891635010416666
O14933,0.6203213784166667
O14944,0.7272527051250001
O14958,0.01719091062500001
O14960,-4.8765077380625
O14964,1.6797560613750002
O14967,-0.378216292125
O14974,1.6581383567708334
O14976,1.777209402166667
O15013,0.24570320835416667
O15018,0.2790691242291667
O15020,-0.3221685975208333
O15021,0.17360438985416668
O15031,-0.8103927247499999
O15033,-2.61859626175
O15049,-0.33976667916666664
O15061,-0.18346271125000002
O15063,-0.5260523155416666
O15066,-0.2906711200625
O15068,1.0789986985833333
O15069,0.17246137268749998
O15078,0.6948612900416666
O15083,0.56004927425
O15084,-0.29083684683333333
O15111,0.9485409744166667
O15116,-0.7745434477916667
O15117,2.7614981723125
O15123,-0.2916907822916667
O15127,1.846665161625
O15156,-3.1443896266458338
O15164,0.13818345604166668
O15169,1.7898735929583334
O15182,0.9744682198333333
O15194,-0.07639861133333332
O15197,-0.5300923518541667
O15211,-0.04828434504166665
O15212,-2.170138753208333
O15213,-0.23101520275
O15226,-1.6875392038958335
O15232,-0.06070926183333333
O15234,0.22897351095833332
O15240,0.07025942912499998
O15263,-4.473438700958334
O15264,-0.30610354841666665
O15265,1.6584683974791667
O15266,0.1391941504166667
O15269,0.5308706781666667
O15294,-1.0094443953958334
O15305,0.3974453068958333
O15327,2.3541785529166668
O15335,-0.28897317722916666
O15350,0.8572267907083333
O15353,-1.7237594408541668
O15354,0.5419258790416667
O15357,2.1283270591666668
O15381,-0.9606425136875001
O15382,-1.3939019042291667
O15389,-0.9581252565625
O15391,-0.5097230119791667
O15394,-0.45411138475
O15400,1.862307267875
O15405,0.47275807118749996
O15417,-0.388126956
O15444,-0.44746503795833337
O15455,-1.133163674625
O15467,-2.0461572086666666
O15479,-0.35502363899999995
O15480,-0.9346180503125
O15481,-0.6778818077916666
O15496,-1.3820391120208333
O15498,-1.2688025801458334
O15527,-2.3649076536458336
O15539,1.4941481744583331
O15553,-2.4107932538333334
O43150,2.6576492308125
O43155,-0.5150748470833334
O43164,0.32290102329166664
O43167,1.7143233556666668
O43184,-0.36389858989583335
O43186,-5.141493764979167
O43240,-0.9195580166666667
O43247,-2.920033369395833
O43278,-0.7221778216666667
O43280,-1.1981875369166666
O43283,-0.7141972053958333
O43290,-0.8510432858958333
O43291,0.22068136472916666
O43295,0.7502209799375
O43296,-2.580286364145833
O43301,-1.368423574125
O43303,-0.7668070345833334
O43310,2.1756614715
O43312,0.8206171960833334
O43316,-0.48828845616666666
O43320,0.27176278422916667
O43364,-3.524540370958333
O43396,-0.339162098
O43399,1.9662643841041667
O43405,-0.02095046177083334
O43422,-2.4430608679375
O43423,-0.30717975035416667
O43432,0.8696831065416667
O43464,0.2750278011458333
O43474,-1.4012997119583332
O43490,-1.3080980467291667
O43491,-0.03762127824999998
O43493,-0.025597776354166685
O43504,-1.2266846180416666
O43505,-0.6299077193541667
O43508,-0.07908644872916669
O43521,-0.3818060107916667
O43524,-0.336274461875
O43543,-0.37672454860416665
O43548,-0.14647988120833336
O43557,0.6130434168958333
O43561,2.8140023704791663
O43570,-0.07852490958333332
O43583,1.7062640478958333
O43586,-0.24988142566666668
O43597,-0.22750406916666666
O43598,1.0607544395833333
O43639,1.3753726400833333
O43653,-0.9575899639583333
O43660,-0.4265670012291667
O43663,-2.7303398703333333
O43665,2.3846174742916664
O43670,0.012075448500000025
O43681,0.1086656435
O43687,-1.0845103402916667
O43699,-0.44333079964583333
O43707,0.352127363375
O43715,-0.020634718
O43716,0.18161025622916668
O43734,-0.48851759945833334
O43736,1.6485317922291667
O43739,0.3426891205
O43747,-1.0939909524791667
O43752,0.5155367333541666
O43765,1.3237930811875
O43768,0.26191208804166666
O43776,1.14360697
O43805,0.7578115165
O43815,0.014844405291666663
O43822,1.0773064511041668
O43823,-0.5632545194791666
O43827,0.7902288719166667
