gene,ENSG ID,conc [pg/L],sample type,number_of_samples,pubmed id
A1BG,ENSG00000121410,2.00E+11,Plasma,10-100,25276097
A2M,ENSG00000175899,9.50E+11,Plasma,10-100,22641612
ACE,ENSG00000159640,9.40E+07,Plasma,10-100,22641612
ACP3,ENSG00000014257,1.90E+05,Plasma,10-100,22641612
ADIPOQ,ENSG00000181092,5.00E+09,Plasma,10-100,22641612
ADM,ENSG00000148926,3.90E+04,Plasma,10-100,25433141
ADM2,ENSG00000128165,1.20E+05,Plasma,10-100,25495100
AFP,ENSG00000081051,2.00E+06,Plasma,10-100,22641612
AGGF1,ENSG00000164252,2.70E+05,Plasma,10-100,38529068
AGT,ENSG00000135744,7.90E+06,Plasma,10-100,22641612
AHSG,ENSG00000145192,1.30E+12,Plasma,10-100,22641612
ALB,ENSG00000163631,4.00E+13,Plasma,01-Sep,16038022
ANGPT2,ENSG00000091879,3.80E+06,Plasma,10-100,22641612
ANXA2,ENSG00000182718,7.80E+03,Plasma,10-100,38088940
APOA1,ENSG00000118137,1.40E+12,Plasma,N/A,16038022
APOA2,ENSG00000158874,3.00E+11,Plasma,N/A,16038022
APOA4,ENSG00000110244,1.50E+10,Plasma,10-100,22641612
APOA5,ENSG00000110243,1.10E+08,Plasma,100+,16917759
APOB,ENSG00000084674,7.20E+11,Plasma,01-Sep,16038022
APOC1,ENSG00000130208,6.00E+10,Plasma,10-100,7471419
APOC2,ENSG00000234906,4.30E+10,Plasma,10-100,7471419
APOC3,ENSG00000110245,1.30E+11,Plasma,10-100,22641612
APOC4,ENSG00000267467,1.00E+09,Plasma,10-100,12700345
APOD,ENSG00000189058,1.50E+11,Plasma,10-100,22641612
APOE,ENSG00000130203,7.00E+10,Plasma,10-100,22641612
APOF,ENSG00000175336,1.80E+10,Plasma,01-Sep,6816269
APOH,ENSG00000091583,2.80E+11,Plasma,10-100,22641612
APOL1,ENSG00000100342,3.20E+09,Plasma,10-100,24231663
APOM,ENSG00000204444,8.60E+06,Plasma,100+,23660425
APOO,ENSG00000184831,2.20E+09,Plasma,100+,22693255
AZGP1,ENSG00000160862,5.10E+10,Plasma,10-100,25708842
B2M,ENSG00000166710,1.60E+09,Plasma,10-100,22641612
BDNF,ENSG00000176697,2.40E+06,Plasma,10-100,22641612
BGLAP,ENSG00000242252,1.60E+07,Plasma,10-100,18854347
BMP10,ENSG00000163217,8.10E+03,Plasma,10-100,33606840
BMP2,ENSG00000125845,1.70E+04,Plasma,10-100,26003174
BMP6,ENSG00000153162,1.40E+07,Plasma,10-100,22641612
BPI,ENSG00000101425,4.60E+06,Plasma,10-100,19765220
BTC,ENSG00000174808,3.20E+05,Plasma,10-100,22641612
C1QC,ENSG00000159189,5.10E+08,Plasma,10-100,24647646
C1QTNF1,ENSG00000173918,3.10E+08,Plasma,10-100,24945145
C1QTNF3,ENSG00000082196,4.40E+07,Plasma,10-100,28754090
C1QTNF5,ENSG00000223953,1.60E+08,Plasma,10-100,26613006
C1S,ENSG00000182326,9.30E+10,Plasma,01-Sep,9574573
C3,ENSG00000125730,9.20E+11,Plasma,100+,16363249
C4A,ENSG00000244731,3.40E+08,Plasma,10-100,16293803
C4B,ENSG00000224389,2.90E+11,Plasma,10-100,7665439
C4BPB,ENSG00000123843,2.60E+11,Plasma,100+,19563958
C5,ENSG00000106804,2.60E+10,Plasma,100+,29110694
C9,ENSG00000113600,5.80E+10,Plasma,10-100,3871890
CALCA,ENSG00000110680,1.90E+05,Plasma,N/A,16038022
CAMP,ENSG00000164047,1.20E+09,Plasma,10-100,9328568
CCK,ENSG00000187094,4.40E+07,Plasma,10-100,31541684
CCL1,ENSG00000108702,2.70E+05,Plasma,10-100,22641612
CCL11,ENSG00000172156,5.20E+04,Plasma,100+,17845580
CCL13,ENSG00000181374,3.80E+05,Plasma,10-100,22641612
CCL16,ENSG00000275152,5.40E+06,Plasma,10-100,22641612
CCL17,ENSG00000102970,2.40E+04,Plasma,10-100,14677179
CCL18,ENSG00000275385,2.30E+07,Plasma,10-100,14578205
CCL2,ENSG00000108691,1.80E+05,Plasma,10-100,22641612
CCL20,ENSG00000115009,8.30E+04,Plasma,10-100,22641612
CCL21,ENSG00000137077,2.90E+04,Plasma,10-100,30214382
CCL22,ENSG00000102962,3.80E+05,Plasma,10-100,22641612
CCL23,ENSG00000274736,1.50E+06,Plasma,10-100,22641612
