Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
A2M,ENSG00000175899,2.9E12,Serum,10-100,29037141
A2M,ENSG00000175899,1.0E12,Serum,10-100,22641612
ACE,ENSG00000159640,1.7E8,Serum,10-100,28066203
ACE,ENSG00000159640,8.0E7,Serum,10-100,22641612
ACE2,ENSG00000130234,4.5E6,Serum,10-100,36082632
ACP3,ENSG00000014257,7.3E5,Serum,10-100,22641612
ADA2,ENSG00000093072,1.1E8,Serum,10-100,35967411
ADAM28,ENSG00000042980,3.7E6,Serum,10-100,31565100
ADAMTS13,ENSG00000160323,1.3E9,Serum,10-100,29849584
ADGRE5,ENSG00000123146,1.0E7,Serum,10-100,28373465
ADIPOQ,ENSG00000181092,1.5E10,Serum,10-100,28281237
ADIPOQ,ENSG00000181092,8.0E9,Serum,10-100,30159092
ADIPOQ,ENSG00000181092,5.8E9,Serum,10-100,22641612
AFM,ENSG00000079557,4.7E10,Serum,10-100,23267165
AFM,ENSG00000079557,6.2E10,Serum,10-100,25208973
AFP,ENSG00000081051,6.0E6,Serum,100+,11394657
AFP,ENSG00000081051,1.0E6,Serum,10-100,22641612
AGT,ENSG00000135744,2.4E6,Serum,10-100,27982687
AGT,ENSG00000135744,7.5E6,Serum,10-100,22641612
AHSG,ENSG00000145192,1.1E12,Serum,10-100,22641612
AIMP1,ENSG00000164022,6.5E6,Serum,10-100,29352840
ALCAM,ENSG00000170017,6.0E7,Serum,100+,19322904
AMBP,ENSG00000106927,3.3E9,Serum,10-100,35021178
AMH,ENSG00000104899,2.1E6,Serum,10-100,24365018
AMH,ENSG00000104899,1.0E6,Serum,100+,22503280
ANG,ENSG00000214274,2.4E8,Serum,10-100,18996696
ANG,ENSG00000214274,2.3E8,Serum,10-100,20618328
ANG,ENSG00000214274,4.5E8,Serum,10-100,21539846
ANGPT1,ENSG00000154188,6.7E7,Serum,10-100,19416526
ANGPT1,ENSG00000154188,2.9E7,Serum,10-100,27109807
ANGPT1,ENSG00000154188,5.8E4,Serum,10-100,28584715
ANGPT2,ENSG00000091879,5.7E5,Serum,10-100,19416526
ANGPT2,ENSG00000091879,2.6E6,Serum,100+,29707992
ANGPT2,ENSG00000091879,2.3E6,Serum,10-100,22641612
ANGPTL1,ENSG00000116194,8.0E6,Serum,10-100,32973954
ANGPTL2,ENSG00000136859,2.5E6,Serum,1-9,30157689
ANGPTL3,ENSG00000132855,2.2E8,Serum,10-100,18063851
ANGPTL4,ENSG00000167772,7.8E6,Serum,100+,26944173
ANGPTL6,ENSG00000130812,1.4E5,Serum,10-100,29033485
ANGPTL6,ENSG00000130812,7.6E5,Serum,10-100,30002695
ANGPTL8,ENSG00000130173,8.7E5,Serum,10-100,30054251
ANGPTL8,ENSG00000130173,8.0E5,Serum,10-100,30072957
ANXA1,ENSG00000135046,1.7E6,Serum,10-100,34159129
ANXA1,ENSG00000135046,3.3E7,Serum,10-100,34228870
ANXA2,ENSG00000182718,8.0E10,Serum,10-100,33380663
ANXA2,ENSG00000182718,1.1E6,Serum,10-100,36464090
APCS,ENSG00000132703,2.8E10,Serum,100+,15194579
APOA1,ENSG00000118137,7.4E11,Serum,10-100,22641612
APOA2,ENSG00000158874,3.6E8,Serum,10-100,22641612
APOA4,ENSG00000110244,1.5E11,Serum,100+,12676816
APOA4,ENSG00000110244,2.0E10,Serum,10-100,22641612
APOB,ENSG00000084674,1.5E12,Serum,10-100,22641612
APOC1,ENSG00000130208,3.8E8,Serum,10-100,22641612
APOC3,ENSG00000110245,1.2E11,Serum,10-100,22641612
APOD,ENSG00000189058,1.5E11,Serum,10-100,22641612
APOE,ENSG00000130203,6.2E10,Serum,10-100,22641612
APOH,ENSG00000091583,2.9E11,Serum,10-100,22641612
APOL1,ENSG00000100342,3.3E7,Serum,10-100,27112635
ASGR1,ENSG00000141505,1.7E6,Serum,10-100,38539180
AVP,ENSG00000101200,9.2E2,Serum,10-100,16424705
AVP,ENSG00000101200,3.8E4,Serum,10-100,30038496
AZU1,ENSG00000172232,1.4E7,Serum,10-100,31215423
B2M,ENSG00000166710,2.0E9,Serum,10-100,22641612
BCHE,ENSG00000114200,3.8E9,Serum,10-100,31653081
BDNF,ENSG00000176697,1.8E7,Serum,10-100,30364485
BDNF,ENSG00000176697,4.0E7,Serum,1-9,30453773
BDNF,ENSG00000176697,2.0E7,Serum,10-100,22641612
BMP4,ENSG00000125378,1.6E8,Serum,10-100,29943307
BMP6,ENSG00000153162,8.8E5,Serum,10-100,22641612
BMP7,ENSG00000101144,2.7E4,Serum,10-100,22778059
BMP7,ENSG00000101144,4.7E5,Serum,10-100,23902471
BTC,ENSG00000174808,3.1E5,Serum,10-100,22641612
C17orf99,ENSG00000187997,2.9E6,Serum,10-100,37137540
C17orf99,ENSG00000187997,1.5E6,Serum,10-100,37208028
C1QTNF12,ENSG00000184163,3.8E7,Serum,10-100,27657997
C1QTNF2,ENSG00000145861,1.1E6,Serum,10-100,32147289
C1QTNF5,ENSG00000223953,3.4E8,Serum,10-100,23430573
C1QTNF5,ENSG00000223953,1.5E8,Serum,100+,27863353
C1QTNF6,ENSG00000133466,3.5E8,Serum,100+,30083983
C1QTNF7,ENSG00000163145,2.4E8,Serum,10-100,28223291
C1QTNF9,ENSG00000240654,4.2E8,Serum,100+,24357853
C1QTNF9,ENSG00000240654,4.7E6,Serum,100+,25105737
C1RL,ENSG00000139178,5.5E9,Serum,10-100,15527420
C2,ENSG00000166278,3.8E10,Serum,100+,6409476
