# Gene	ENSG ID	Conc [pg/L]
Gene,ENSG_ID,Concentration
A1BG,ENSG00000121410,7.2E10
A2M,ENSG00000175899,2.7E11
A2ML1,ENSG00000166535,1.5E7
A4GALT,ENSG00000128274,1.0E4
AARS1,ENSG00000090861,9.7E5
AASS,ENSG00000008311,2.0E4
ABAT,ENSG00000183044,1.6E6
ABCD3,ENSG00000117528,1.1E4
ABCE1,ENSG00000164163,1.5E5
ABCF1,ENSG00000204574,1.6E5
ABCF2,ENSG00000033050,1.3E4
ABHD10,ENSG00000144827,3.2E4
ABHD11,ENSG00000106077,1.2E4
ABHD14A,ENSG00000248487,1.7E5
ABHD14B,ENSG00000114779,2.7E6
ABHD16A,ENSG00000204427,1.0E4
ABI1,ENSG00000136754,4.1E5
ABI3BP,ENSG00000154175,3.3E8
ABLIM3,ENSG00000173210,8.3E3
ABRACL,ENSG00000146386,5.3E6
ACAA1,ENSG00000060971,3.2E6
ACAA2,ENSG00000167315,2.7E6
ACACA,ENSG00000278540,6.9E4
ACADM,ENSG00000117054,5.6E5
ACADS,ENSG00000122971,9.1E3
ACADSB,ENSG00000196177,2.0E4
ACADVL,ENSG00000072778,8.3E4
ACAN,ENSG00000157766,6.7E7
ACAT1,ENSG00000075239,6.6E5
ACAT2,ENSG00000120437,8.6E6
ACBD3,ENSG00000182827,1.3E4
ACE,ENSG00000159640,1.3E8
ACE2,ENSG00000130234,2.1E5
ACHE,ENSG00000087085,1.2E6
ACIN1,ENSG00000100813,1.2E4
ACLY,ENSG00000131473,3.6E6
ACO1,ENSG00000122729,9.3E6
ACO2,ENSG00000100412,1.8E6
ACOT13,ENSG00000112304,1.4E4
ACOT7,ENSG00000097021,4.4E4
ACOT9,ENSG00000123130,4.6E3
ACOX1,ENSG00000161533,1.3E5
ACOX2,ENSG00000168306,1.9E4
ACP1,ENSG00000143727,2.0E6
ACP2,ENSG00000134575,2.2E4
ACP3,ENSG00000014257,4.7E5
ACP5,ENSG00000102575,3.1E6
ACP6,ENSG00000162836,5.0E4
ACSL1,ENSG00000151726,2.0E4
ACSL3,ENSG00000123983,1.8E4
ACSL4,ENSG00000068366,8.8E3
ACSS2,ENSG00000131069,1.0E4
ACTA1,ENSG00000143632,3.2E9
ACTA2,ENSG00000107796,2.8E9
ACTBL2,ENSG00000169067,1.6E9
ACTC1,ENSG00000159251,3.2E9
ACTG1,ENSG00000184009,6.4E9
ACTL6A,ENSG00000136518,4.8E3
ACTN1,ENSG00000072110,2.6E8
ACTN2,ENSG00000077522,2.7E7
