string_external_id,abundance,raw_spectral_count
9606.ENSP00000355780,7922,974
9606.ENSP00000254810,7922,974
9606.ENSP00000345347,6645,783
9606.ENSP00000494750,6004,4263
9606.ENSP00000458162,6004,4263
9606.ENSP00000370010,5674,49
9606.ENSP00000380070,4980,986
9606.ENSP00000357721,3945,393
9606.ENSP00000225655,3659,578
9606.ENSP00000381581,3553,2251
9606.ENSP00000419425,3492,530
9606.ENSP00000446007,3478,1564
9606.ENSP00000495530,3269,1214
9606.ENSP00000355315,3042,14
9606.ENSP00000346694,3012,751
9606.ENSP00000273258,2968,175
9606.ENSP00000318195,2879,1007
9606.ENSP00000353408,2841,1711
9606.ENSP00000346550,2831,1683
9606.ENSP00000357727,2823,361
9606.ENSP00000362413,2753,1037
9606.ENSP00000339063,2726,992
9606.ENSP00000320171,2718,1257
9606.ENSP00000216181,2699,4719
9606.ENSP00000219150,2686,704
9606.ENSP00000296503,2599,366
9606.ENSP00000391481,2578,881
9606.ENSP00000228945,2519,295
9606.ENSP00000399888,2388,153
9606.ENSP00000330074,2337,350
9606.ENSP00000320866,2313,546
9606.ENSP00000307705,2250,742
9606.ENSP00000360609,2249,1710
9606.ENSP00000261366,2191,1182
9606.ENSP00000432660,2142,396
9606.ENSP00000259469,2123,62
9606.ENSP00000339566,2119,721
9606.ENSP00000491215,2063,1132
9606.ENSP00000385479,2024,840
9606.ENSP00000333277,2024,840
9606.ENSP00000358154,2024,840
9606.ENSP00000244534,2019,704
9606.ENSP00000388107,1947,725
9606.ENSP00000355759,1907,1311
9606.ENSP00000313199,1903,346
9606.ENSP00000375978,1822,906
9606.ENSP00000262030,1809,799
9606.ENSP00000296930,1797,324
9606.ENSP00000309830,1793,62
9606.ENSP00000340019,1762,798
9606.ENSP00000338934,1753,1200
9606.ENSP00000325376,1728,999
9606.ENSP00000335153,1722,1631
9606.ENSP00000451291,1706,543
9606.ENSP00000261623,1700,120
9606.ENSP00000365458,1692,608
9606.ENSP00000437125,1656,1082
9606.ENSP00000484789,1632,1826
9606.ENSP00000479794,1632,1826
9606.ENSP00000347168,1632,1826
9606.ENSP00000481486,1632,1826
9606.ENSP00000479106,1632,1826
9606.ENSP00000244537,1632,1826
9606.ENSP00000479461,1632,1826
9606.ENSP00000366974,1632,1826
9606.ENSP00000462355,1632,1826
9606.ENSP00000443017,1632,1826
9606.ENSP00000462667,1632,1826
9606.ENSP00000480960,1632,1826
9606.ENSP00000367034,1632,1826
9606.ENSP00000489236,1632,1826
9606.ENSP00000379287,1631,454
9606.ENSP00000229270,1609,494
9606.ENSP00000262746,1607,312
9606.ENSP00000308405,1559,501
9606.ENSP00000296417,1559,501
9606.ENSP00000320176,1545,382
9606.ENSP00000216802,1530,263
9606.ENSP00000272317,1515,723
9606.ENSP00000352257,1479,682
9606.ENSP00000361777,1475,219
9606.ENSP00000304229,1471,85
9606.ENSP00000484638,1470,870
9606.ENSP00000366999,1470,870
9606.ENSP00000352252,1470,870
9606.ENSP00000358160,1470,870
9606.ENSP00000489282,1470,870
9606.ENSP00000483283,1470,870
9606.ENSP00000484658,1470,870
9606.ENSP00000484095,1470,870
9606.ENSP00000480826,1470,870
9606.ENSP00000484841,1470,870
9606.ENSP00000263168,1462,364
9606.ENSP00000361883,1448,631
9606.ENSP00000009530,1439,315
9606.ENSP00000385958,1416,86
9606.ENSP00000463939,1414,187
9606.ENSP00000423563,1412,364
9606.ENSP00000346001,1399,349
9606.ENSP00000346032,1392,454
9606.ENSP00000307940,1370,969
9606.ENSP00000401010,1364,353
9606.ENSP00000321259,1363,407
9606.ENSP00000324173,1361,743
9606.ENSP00000345848,1354,239
9606.ENSP00000311430,1354,323
9606.ENSP00000370125,1320,79
9606.ENSP00000372155,1315,340
9606.ENSP00000399700,1301,8
9606.ENSP00000262428,1291,155
9606.ENSP00000339001,1280,1216
9606.ENSP00000381736,1241,575
9606.ENSP00000316029,1238,2386
9606.ENSP00000389103,1236,112
9606.ENSP00000359991,1231,318
9606.ENSP00000367220,1220,298
9606.ENSP00000295685,1219,315
9606.ENSP00000427687,1208,425
9606.ENSP00000476136,1206,1953
9606.ENSP00000358151,1201,1955
9606.ENSP00000477527,1201,1955
9606.ENSP00000482674,1201,1955
9606.ENSP00000263238,1190,410
9606.ENSP00000342374,1188,94
9606.ENSP00000357704,1183,97
9606.ENSP00000411355,1176,1154
9606.ENSP00000349430,1171,2054
9606.ENSP00000483903,1166,2056
9606.ENSP00000477907,1166,2056
9606.ENSP00000479169,1166,2056
9606.ENSP00000366962,1166,2056
9606.ENSP00000289316,1166,2056
9606.ENSP00000489317,1166,2056
9606.ENSP00000445633,1166,2056
9606.ENSP00000348924,1166,2056
9606.ENSP00000321744,1166,2056
9606.ENSP00000481622,1156,2018
9606.ENSP00000491341,1156,2018
9606.ENSP00000366618,1152,2017
9606.ENSP00000417864,1145,199
9606.ENSP00000479284,1142,1793
9606.ENSP00000397843,1137,30
9606.ENSP00000371194,1137,286
9606.ENSP00000493701,1125,608
9606.ENSP00000249071,1123,208
9606.ENSP00000464813,1118,79
