string_external_id,abundance,raw_spectral_count
9606.ENSP00000380070,8223,1213
9606.ENSP00000494750,6982,3933
9606.ENSP00000458162,6982,3933
9606.ENSP00000355780,6007,844
9606.ENSP00000254810,6007,844
9606.ENSP00000228945,5644,445
9606.ENSP00000225655,5476,625
9606.ENSP00000419425,5024,523
9606.ENSP00000446007,4871,1513
9606.ENSP00000432660,4434,547
9606.ENSP00000346694,4273,734
9606.ENSP00000270792,4242,122
9606.ENSP00000345347,4229,306
9606.ENSP00000273258,4014,144
9606.ENSP00000219150,3946,628
9606.ENSP00000495530,3911,1105
9606.ENSP00000381581,3192,1447
9606.ENSP00000262428,3138,252
9606.ENSP00000216181,3111,3650
9606.ENSP00000362413,3050,751
9606.ENSP00000346550,2951,1187
9606.ENSP00000379287,2873,608
9606.ENSP00000270142,2841,123
9606.ENSP00000366109,2803,509
9606.ENSP00000296930,2721,270
9606.ENSP00000339063,2614,577
9606.ENSP00000229270,2571,521
9606.ENSP00000366974,2517,1799
9606.ENSP00000479794,2517,1799
9606.ENSP00000480960,2517,1799
9606.ENSP00000443017,2517,1799
9606.ENSP00000489236,2517,1799
9606.ENSP00000479106,2517,1799
9606.ENSP00000244537,2517,1799
9606.ENSP00000347168,2517,1799
9606.ENSP00000367034,2517,1799
9606.ENSP00000479461,2517,1799
9606.ENSP00000462667,2517,1799
9606.ENSP00000484789,2517,1799
9606.ENSP00000481486,2517,1799
9606.ENSP00000462355,2517,1799
9606.ENSP00000385479,2360,793
9606.ENSP00000333277,2360,793
9606.ENSP00000358154,2360,793
9606.ENSP00000262746,2328,311
9606.ENSP00000301522,2282,247
9606.ENSP00000320171,2220,681
9606.ENSP00000261313,2177,207
9606.ENSP00000484095,2174,845
9606.ENSP00000484658,2174,845
9606.ENSP00000366999,2174,845
9606.ENSP00000484638,2174,845
9606.ENSP00000484841,2174,845
9606.ENSP00000358160,2174,845
9606.ENSP00000489282,2174,845
9606.ENSP00000483283,2174,845
9606.ENSP00000352252,2174,845
9606.ENSP00000480826,2174,845
9606.ENSP00000265073,2025,156
9606.ENSP00000296503,1929,173
9606.ENSP00000249071,1904,255
9606.ENSP00000362820,1870,130
9606.ENSP00000346032,1823,412
9606.ENSP00000433760,1819,77
9606.ENSP00000271638,1807,84
9606.ENSP00000216802,1766,218
9606.ENSP00000353408,1729,712
9606.ENSP00000261366,1687,547
9606.ENSP00000357704,1678,88
9606.ENSP00000357076,1675,280
9606.ENSP00000352257,1652,501
9606.ENSP00000365458,1646,364
9606.ENSP00000451291,1602,339
9606.ENSP00000361930,1596,426
9606.ENSP00000262030,1570,487
9606.ENSP00000305556,1550,275
9606.ENSP00000263238,1547,375
9606.ENSP00000244534,1536,344
9606.ENSP00000307705,1523,350
9606.ENSP00000327070,1512,311
9606.ENSP00000340278,1510,141
9606.ENSP00000258962,1508,191
9606.ENSP00000361883,1500,412
9606.ENSP00000295685,1478,253
9606.ENSP00000381736,1469,429
9606.ENSP00000391481,1466,338
9606.ENSP00000321259,1459,287
9606.ENSP00000437125,1450,621
9606.ENSP00000446955,1440,178
9606.ENSP00000318195,1433,331
9606.ENSP00000463559,1429,306
9606.ENSP00000372155,1427,265
9606.ENSP00000358866,1424,1955
9606.ENSP00000369314,1404,54
9606.ENSP00000445175,1397,454
9606.ENSP00000349428,1392,244
9606.ENSP00000375978,1390,509
9606.ENSP00000307940,1370,598
9606.ENSP00000325905,1361,105
9606.ENSP00000367615,1353,167
9606.ENSP00000367220,1351,211
9606.ENSP00000493536,1332,535
9606.ENSP00000464359,1322,306
9606.ENSP00000330074,1322,158
9606.ENSP00000449328,1318,181
9606.ENSP00000339001,1311,786
9606.ENSP00000320176,1294,203
9606.ENSP00000388107,1292,316
9606.ENSP00000313199,1284,183
9606.ENSP00000497733,1277,131
9606.ENSP00000419545,1276,228
9606.ENSP00000291568,1274,70
9606.ENSP00000399888,1262,47
9606.ENSP00000336702,1257,137
9606.ENSP00000340019,1251,359
9606.ENSP00000296417,1250,553
9606.ENSP00000308405,1250,553
9606.ENSP00000427687,1224,305
9606.ENSP00000263168,1212,198
9606.ENSP00000355657,1202,762
9606.ENSP00000376309,1200,192
9606.ENSP00000400433,1195,230
9606.ENSP00000496166,1187,433
9606.ENSP00000431240,1187,65
9606.ENSP00000342026,1183,185
9606.ENSP00000300026,1163,136
9606.ENSP00000230050,1163,93
9606.ENSP00000338413,1163,611
9606.ENSP00000385958,1157,48
9606.ENSP00000426909,1141,212
9606.ENSP00000485952,1141,416
9606.ENSP00000348056,1136,65
9606.ENSP00000215909,1135,97
9606.ENSP00000466818,1126,53
9606.ENSP00000360609,1123,613
9606.ENSP00000423563,1122,214
9606.ENSP00000486361,1114,59
9606.ENSP00000272317,1108,330
9606.ENSP00000389351,1105,128
9606.ENSP00000413436,1104,64
9606.ENSP00000364935,1089,157
9606.ENSP00000381607,1072,119
9606.ENSP00000228825,1066,107
9606.ENSP00000379888,1065,114
9606.ENSP00000401010,1054,194
9606.ENSP00000304229,1052,44
9606.ENSP00000316176,1040,103
9606.ENSP00000371267,1039,340
9606.ENSP00000464849,1034,105
9606.ENSP00000359991,1032,215
9606.ENSP00000463939,1027,100
9606.ENSP00000344547,1026,38
9606.ENSP00000369757,1020,87
9606.ENSP00000497910,999,64
9606.ENSP00000354876,996,80
9606.ENSP00000491215,995,347
9606.ENSP00000294742,987,68
9606.ENSP00000388169,978,181
9606.ENSP00000411355,973,639
9606.ENSP00000290378,973,1805
9606.ENSP00000320866,972,129
9606.ENSP00000312999,969,239
9606.ENSP00000325376,967,365
9606.ENSP00000355645,966,1802
9606.ENSP00000375632,965,88
9606.ENSP00000358151,964,962
9606.ENSP00000477527,964,962
9606.ENSP00000482674,964,962
9606.ENSP00000476136,964,962
9606.ENSP00000479284,956,933
9606.ENSP00000335153,954,625
9606.ENSP00000398610,953,225
9606.ENSP00000215829,944,58
9606.ENSP00000366618,939,995
9606.ENSP00000359345,938,108
9606.ENSP00000479488,938,158
9606.ENSP00000420065,935,105
9606.ENSP00000301329,931,148
9606.ENSP00000400175,924,149
9606.ENSP00000309830,917,26
9606.ENSP00000349168,912,249
9606.ENSP00000331897,911,219
9606.ENSP00000224784,911,1662
9606.ENSP00000316029,905,1104
9606.ENSP00000386857,904,1659
9606.ENSP00000489317,896,1004
9606.ENSP00000445633,896,1004
9606.ENSP00000289316,896,1004
9606.ENSP00000349430,896,1004
9606.ENSP00000479169,896,1004
9606.ENSP00000348924,896,1004
9606.ENSP00000321744,896,1004
9606.ENSP00000366962,896,1004
9606.ENSP00000483903,896,1004
9606.ENSP00000477907,896,1003
9606.ENSP00000354532,891,186
9606.ENSP00000248437,886,643
9606.ENSP00000357801,885,34
9606.ENSP00000481622,877,971
9606.ENSP00000491341,877,971
9606.ENSP00000385616,875,267
9606.ENSP00000356632,874,44
9606.ENSP00000300289,872,264
9606.ENSP00000339566,870,291
9606.ENSP00000472469,866,32
9606.ENSP00000216714,864,164
9606.ENSP00000351777,864,374
9606.ENSP00000233893,863,85
9606.ENSP00000296511,860,186
9606.ENSP00000348849,860,32
9606.ENSP00000446215,857,102
9606.ENSP00000371194,855,139
9606.ENSP00000376652,846,193
9606.ENSP00000252699,844,682
9606.ENSP00000298159,841,179
9606.ENSP00000495273,839,57
9606.ENSP00000299300,839,266
9606.ENSP00000370125,837,28
9606.ENSP00000483688,835,86
9606.ENSP00000276079,832,173
9606.ENSP00000168216,830,121
9606.ENSP00000464813,830,31
9606.ENSP00000445831,829,1004
9606.ENSP00000389103,824,47
9606.ENSP00000349748,822,242
9606.ENSP00000463154,821,71
9606.ENSP00000362308,819,64
9606.ENSP00000222247,819,65
9606.ENSP00000338934,814,469
9606.ENSP00000439189,814,1764
9606.ENSP00000364813,812,44
9606.ENSP00000340466,810,358
9606.ENSP00000290541,809,81
9606.ENSP00000221801,808,158
9606.ENSP00000270625,803,65
9606.ENSP00000437402,800,361
9606.ENSP00000420195,797,64
9606.ENSP00000355011,785,161
9606.ENSP00000346050,785,125
9606.ENSP00000264335,784,309
9606.ENSP00000416269,777,261
9606.ENSP00000370010,774,18
9606.ENSP00000342374,762,43
9606.ENSP00000261479,753,129
9606.ENSP00000341524,743,145
9606.ENSP00000393241,742,60
9606.ENSP00000325589,740,46
9606.ENSP00000324173,729,273
9606.ENSP00000346037,725,27
9606.ENSP00000417864,724,78
9606.ENSP00000331901,722,179
9606.ENSP00000376800,720,41
9606.ENSP00000428085,718,50
9606.ENSP00000379506,711,56
9606.ENSP00000311430,711,116
9606.ENSP00000271308,710,98
9606.ENSP00000225430,707,29
9606.ENSP00000297185,705,291
9606.ENSP00000435096,704,36
9606.ENSP00000386636,703,156
9606.ENSP00000342056,703,150
9606.ENSP00000219169,701,42
9606.ENSP00000341826,699,257
9606.ENSP00000216254,699,280
9606.ENSP00000369538,696,264
9606.ENSP00000253024,695,176
9606.ENSP00000345957,692,39
9606.ENSP00000499797,692,150
9606.ENSP00000291295,692,150
9606.ENSP00000493701,690,245
9606.ENSP00000431049,690,113
9606.ENSP00000499717,687,150
9606.ENSP00000318646,687,63
9606.ENSP00000250559,685,131
9606.ENSP00000487444,685,1096
9606.ENSP00000361635,681,108
9606.ENSP00000346088,678,31
9606.ENSP00000356864,678,44
9606.ENSP00000307786,676,45
9606.ENSP00000341289,673,688
9606.ENSP00000279227,673,275
9606.ENSP00000441875,671,133
9606.ENSP00000430706,671,99
9606.ENSP00000265866,670,106
9606.ENSP00000377958,668,198
9606.ENSP00000322439,667,218
9606.ENSP00000444357,664,101
9606.ENSP00000339467,663,91
9606.ENSP00000327054,662,230
9606.ENSP00000044462,660,76
9606.ENSP00000267113,658,354
9606.ENSP00000416429,658,34
9606.ENSP00000301785,658,228
9606.ENSP00000356520,658,445
9606.ENSP00000336799,656,715
9606.ENSP00000227524,655,91
9606.ENSP00000479606,654,671
9606.ENSP00000262193,653,99
9606.ENSP00000278572,653,130
9606.ENSP00000358723,649,127
9606.ENSP00000495672,649,24
9606.ENSP00000266735,648,24
9606.ENSP00000419665,646,53
9606.ENSP00000252244,645,265
9606.ENSP00000357283,645,273
9606.ENSP00000221419,645,159
9606.ENSP00000339795,642,75
9606.ENSP00000499935,642,100
9606.ENSP00000483254,641,151
9606.ENSP00000263697,640,47
9606.ENSP00000359804,637,175
9606.ENSP00000359910,637,115
9606.ENSP00000332887,637,25
9606.ENSP00000349259,633,982
9606.ENSP00000316042,631,65
9606.ENSP00000413507,631,141
9606.ENSP00000376276,630,50
9606.ENSP00000323856,629,1897
9606.ENSP00000332790,629,424
9606.ENSP00000322421,628,90
9606.ENSP00000251595,628,90
9606.ENSP00000447001,628,48
9606.ENSP00000389631,626,197
9606.ENSP00000354394,625,295
9606.ENSP00000378731,622,147
9606.ENSP00000370115,622,139
