string_external_id,abundance,raw_spectral_count
9606.ENSP00000357721,26400,1128
9606.ENSP00000357727,19408,1055
9606.ENSP00000494750,8944,2745
9606.ENSP00000458162,8944,2745
9606.ENSP00000261623,7219,196
9606.ENSP00000446007,7163,1477
9606.ENSP00000225655,6482,412
9606.ENSP00000380070,5973,522
9606.ENSP00000495530,5500,903
9606.ENSP00000270792,4931,82
9606.ENSP00000381581,4731,1375
9606.ENSP00000261267,4598,245
9606.ENSP00000228945,4231,184
9606.ENSP00000273258,3919,99
9606.ENSP00000391481,3898,496
9606.ENSP00000225275,3867,1295
9606.ENSP00000236850,3618,454
9606.ENSP00000419425,3317,244
9606.ENSP00000265983,3208,423
9606.ENSP00000303276,3051,80
9606.ENSP00000320866,3001,263
9606.ENSP00000216181,2953,2098
9606.ENSP00000466090,2866,148
9606.ENSP00000362413,2863,423
9606.ENSP00000381607,2699,200
9606.ENSP00000364935,2609,197
9606.ENSP00000366694,2558,252
9606.ENSP00000215909,2515,154
9606.ENSP00000365227,2435,58
9606.ENSP00000261366,2365,498
9606.ENSP00000433999,2357,376
9606.ENSP00000357704,2329,74
9606.ENSP00000367851,2317,411
9606.ENSP00000385519,2225,192
9606.ENSP00000237014,2203,61
9606.ENSP00000320171,2175,427
9606.ENSP00000259396,2147,195
9606.ENSP00000234347,2136,121
9606.ENSP00000379287,2132,232
9606.ENSP00000323929,2101,925
9606.ENSP00000353408,2067,439
9606.ENSP00000262428,2047,85
9606.ENSP00000361930,2017,215
9606.ENSP00000367220,1975,207
9606.ENSP00000229270,1973,253
9606.ENSP00000262746,1953,151
9606.ENSP00000357801,1951,39
9606.ENSP00000356969,1951,51
9606.ENSP00000321259,1945,224
9606.ENSP00000312999,1935,302
9606.ENSP00000228740,1931,452
9606.ENSP00000358866,1915,1519
9606.ENSP00000273784,1910,106
9606.ENSP00000380948,1901,616
9606.ENSP00000262030,1894,364
9606.ENSP00000370115,1866,249
9606.ENSP00000270142,1851,52
9606.ENSP00000372155,1836,217
9606.ENSP00000366109,1832,198
9606.ENSP00000339063,1830,317
9606.ENSP00000346694,1826,192
9606.ENSP00000219150,1825,181
9606.ENSP00000346032,1812,246
9606.ENSP00000362308,1809,80
9606.ENSP00000432660,1789,135
9606.ENSP00000367265,1705,379
9606.ENSP00000245907,1688,899
9606.ENSP00000421725,1683,221
9606.ENSP00000365147,1644,123
9606.ENSP00000249071,1641,139
9606.ENSP00000263238,1631,221
9606.ENSP00000247461,1630,266
9606.ENSP00000295685,1624,169
9606.ENSP00000327801,1589,341
9606.ENSP00000429150,1583,204
9606.ENSP00000493536,1572,391
9606.ENSP00000345347,1569,65
9606.ENSP00000264335,1556,215
9606.ENSP00000359991,1534,173
9606.ENSP00000496166,1531,334
9606.ENSP00000263100,1530,158
9606.ENSP00000270776,1510,219
9606.ENSP00000362820,1496,59
9606.ENSP00000290378,1492,1317
9606.ENSP00000355645,1492,1317
9606.ENSP00000357726,1468,25
9606.ENSP00000388107,1444,235
9606.ENSP00000224784,1436,1247
9606.ENSP00000265062,1423,147
9606.ENSP00000410452,1421,57
9606.ENSP00000386857,1416,1244
9606.ENSP00000427687,1415,203
9606.ENSP00000485952,1413,319
9606.ENSP00000479606,1410,889
9606.ENSP00000354876,1401,62
9606.ENSP00000405573,1396,241
9606.ENSP00000339001,1367,551
9606.ENSP00000304229,1347,31
9606.ENSP00000450540,1338,209
9606.ENSP00000205948,1334,114
9606.ENSP00000378786,1332,91
9606.ENSP00000446955,1331,112
9606.ENSP00000357123,1326,157
9606.ENSP00000306099,1299,217
9606.ENSP00000464849,1292,82
9606.ENSP00000305556,1284,116
9606.ENSP00000381736,1276,214
9606.ENSP00000356864,1274,42
9606.ENSP00000241052,1257,255
9606.ENSP00000371194,1254,119
9606.ENSP00000411355,1249,522
9606.ENSP00000263867,1240,105
9606.ENSP00000486361,1237,40
9606.ENSP00000296503,1235,71
9606.ENSP00000339467,1229,87
9606.ENSP00000263168,1226,109
9606.ENSP00000327070,1225,154
9606.ENSP00000272317,1207,241
9606.ENSP00000463559,1205,141
9606.ENSP00000271638,1204,40
9606.ENSP00000346550,1200,285
9606.ENSP00000426909,1197,130
9606.ENSP00000360671,1196,215
9606.ENSP00000216802,1184,90
9606.ENSP00000263368,1183,68
9606.ENSP00000228318,1166,153
9606.ENSP00000319713,1163,41
9606.ENSP00000336799,1163,759
9606.ENSP00000354532,1154,148
9606.ENSP00000336829,1153,178
9606.ENSP00000252699,1151,619
9606.ENSP00000340278,1134,66
9606.ENSP00000350425,1119,168
9606.ENSP00000497382,1115,31
9606.ENSP00000464359,1106,141
9606.ENSP00000248437,1101,603
9606.ENSP00000371267,1097,153
9606.ENSP00000325905,1096,47
9606.ENSP00000354632,1093,17
9606.ENSP00000309565,1092,16
9606.ENSP00000324173,1089,216
9606.ENSP00000498577,1082,156
9606.ENSP00000203407,1073,144
9606.ENSP00000359675,1072,11
9606.ENSP00000375649,1069,56
9606.ENSP00000346954,1068,34
9606.ENSP00000360609,1068,365
9606.ENSP00000298510,1062,98
9606.ENSP00000324422,1061,142
9606.ENSP00000401010,1061,102
9606.ENSP00000367196,1061,42
9606.ENSP00000367263,1060,2302
9606.ENSP00000291568,1060,35
9606.ENSP00000264613,1052,268
9606.ENSP00000357981,1052,112
9606.ENSP00000358727,1051,86
9606.ENSP00000378394,1044,186
9606.ENSP00000394936,1044,121
9606.ENSP00000261733,1042,209
9606.ENSP00000366525,1040,53
9606.ENSP00000299427,1039,148
9606.ENSP00000340019,1038,192
9606.ENSP00000252244,1036,292
9606.ENSP00000477639,1036,141
9606.ENSP00000300289,1035,202
9606.ENSP00000307940,1030,266
9606.ENSP00000233997,1026,90
9606.ENSP00000360871,1024,98
9606.ENSP00000331901,1019,162
9606.ENSP00000439020,1018,713
9606.ENSP00000377941,1017,584
9606.ENSP00000338413,993,320
9606.ENSP00000331897,991,159
9606.ENSP00000370808,989,201
9606.ENSP00000438689,982,274
9606.ENSP00000271308,982,70
9606.ENSP00000341289,981,526
9606.ENSP00000497733,979,74
9606.ENSP00000457513,970,65
9606.ENSP00000289473,969,142
9606.ENSP00000222005,967,68
9606.ENSP00000433760,966,22
9606.ENSP00000445175,965,173
9606.ENSP00000379038,959,154
9606.ENSP00000391592,956,228
9606.ENSP00000342026,955,94
9606.ENSP00000225665,951,103
9606.ENSP00000437125,950,250
9606.ENSP00000362924,946,140
9606.ENSP00000237530,928,129
9606.ENSP00000325376,920,207
9606.ENSP00000463939,915,52
9606.ENSP00000316029,912,646
9606.ENSP00000356671,912,149
9606.ENSP00000300026,911,69
9606.ENSP00000232003,909,110
9606.ENSP00000340466,903,259
9606.ENSP00000297258,900,37
9606.ENSP00000439189,899,1140
9606.ENSP00000344547,899,22
9606.ENSP00000303145,897,76
9606.ENSP00000496959,894,381
9606.ENSP00000376345,892,75
9606.ENSP00000242285,884,17
9606.ENSP00000320176,877,86
9606.ENSP00000342056,876,118
9606.ENSP00000465356,874,10
9606.ENSP00000365458,866,133
9606.ENSP00000296255,865,191
9606.ENSP00000362592,864,83
9606.ENSP00000263864,863,30
9606.ENSP00000295897,862,205
9606.ENSP00000296930,854,48
9606.ENSP00000363641,853,39
9606.ENSP00000420641,853,20
9606.ENSP00000466818,852,28
9606.ENSP00000422473,849,55
9606.ENSP00000385385,848,85
9606.ENSP00000258962,848,68
9606.ENSP00000308541,846,162
9606.ENSP00000415743,845,92
9606.ENSP00000431240,840,27
9606.ENSP00000433138,838,104
9606.ENSP00000349181,836,51
