string_external_id,abundance,raw_spectral_count
9606.ENSP00000458162,13827,11313
9606.ENSP00000494750,13827,11313
9606.ENSP00000225655,10938,1554
9606.ENSP00000380070,9339,1927
9606.ENSP00000219150,8000,1701
9606.ENSP00000381581,7163,4247
9606.ENSP00000419425,6644,896
9606.ENSP00000432660,6198,1065
9606.ENSP00000355228,5854,119
9606.ENSP00000355780,5418,812
9606.ENSP00000254810,5418,812
9606.ENSP00000446007,5192,2212
9606.ENSP00000370010,5086,41
9606.ENSP00000357727,4946,533
9606.ENSP00000353408,4685,2616
9606.ENSP00000346694,4677,1140
9606.ENSP00000379287,4524,1091
9606.ENSP00000228945,4416,489
9606.ENSP00000345347,4327,484
9606.ENSP00000365147,4273,651
9606.ENSP00000495530,4096,1804
9606.ENSP00000346550,3752,2098
9606.ENSP00000339063,3393,1215
9606.ENSP00000252244,3228,1800
9606.ENSP00000367220,3216,665
9606.ENSP00000216181,3139,5671
9606.ENSP00000229270,2957,862
9606.ENSP00000398568,2907,1307
9606.ENSP00000361883,2898,1157
9606.ENSP00000273258,2867,179
9606.ENSP00000366109,2817,763
9606.ENSP00000358154,2775,774
9606.ENSP00000333277,2775,774
9606.ENSP00000385479,2775,774
9606.ENSP00000330074,2625,374
9606.ENSP00000357721,2616,232
9606.ENSP00000381607,2562,446
9606.ENSP00000295685,2503,516
9606.ENSP00000427687,2484,1040
9606.ENSP00000269576,2464,1269
9606.ENSP00000362413,2447,879
9606.ENSP00000246662,2410,1017
9606.ENSP00000358866,2408,5349
9606.ENSP00000307705,2351,779
9606.ENSP00000497733,2313,320
9606.ENSP00000372155,2215,511
9606.ENSP00000365458,2198,706
9606.ENSP00000249071,2167,446
9606.ENSP00000318195,2081,693
9606.ENSP00000388107,2077,813
9606.ENSP00000262030,2066,995
9606.ENSP00000381736,2001,837
9606.ENSP00000261366,1998,974
9606.ENSP00000391481,1983,738
9606.ENSP00000216802,1954,357
9606.ENSP00000320171,1937,917
9606.ENSP00000364935,1934,470
9606.ENSP00000296503,1893,251
9606.ENSP00000270142,1866,123
9606.ENSP00000339001,1864,1601
9606.ENSP00000355645,1831,4860
9606.ENSP00000290378,1830,4884
9606.ENSP00000244534,1824,688
9606.ENSP00000361930,1813,591
9606.ENSP00000437125,1799,1227
9606.ENSP00000416706,1783,2221
9606.ENSP00000259469,1750,46
9606.ENSP00000339566,1749,693
9606.ENSP00000316029,1748,3528
9606.ENSP00000360609,1731,1448
9606.ENSP00000346032,1708,574
9606.ENSP00000307940,1689,1124
9606.ENSP00000252699,1688,1862
9606.ENSP00000263238,1680,616
9606.ENSP00000388169,1675,411
9606.ENSP00000362820,1671,147
9606.ENSP00000296930,1644,262
9606.ENSP00000244537,1639,1712
9606.ENSP00000489236,1639,1712
9606.ENSP00000479106,1639,1712
9606.ENSP00000481486,1639,1712
9606.ENSP00000479794,1639,1712
9606.ENSP00000347168,1639,1712
9606.ENSP00000443017,1639,1712
9606.ENSP00000462667,1639,1712
9606.ENSP00000480960,1639,1712
9606.ENSP00000367034,1639,1712
9606.ENSP00000479461,1639,1712
9606.ENSP00000484789,1639,1712
9606.ENSP00000366974,1639,1712
9606.ENSP00000462355,1639,1712
9606.ENSP00000272317,1636,823
9606.ENSP00000270792,1633,81
9606.ENSP00000304229,1570,103
9606.ENSP00000327070,1557,485
9606.ENSP00000338934,1552,1265
9606.ENSP00000357704,1548,157
9606.ENSP00000340278,1538,242
9606.ENSP00000265073,1536,147
9606.ENSP00000305556,1533,381
9606.ENSP00000224784,1533,4505
9606.ENSP00000386857,1525,4499
9606.ENSP00000320176,1521,358
9606.ENSP00000366798,1492,34
9606.ENSP00000491215,1485,839
9606.ENSP00000300026,1483,248
9606.ENSP00000250559,1480,369
9606.ENSP00000274306,1474,418
9606.ENSP00000320866,1470,400
9606.ENSP00000276079,1458,432
9606.ENSP00000300289,1457,697
9606.ENSP00000355315,1445,6
9606.ENSP00000313199,1434,251
9606.ENSP00000296417,1432,933
9606.ENSP00000308405,1432,933
9606.ENSP00000376309,1424,332
9606.ENSP00000401010,1413,352
9606.ENSP00000325240,1407,309
9606.ENSP00000310861,1401,1055
9606.ENSP00000400175,1378,333
9606.ENSP00000324173,1366,743
9606.ENSP00000309830,1364,43
9606.ENSP00000493536,1364,843
9606.ENSP00000335153,1357,1401
9606.ENSP00000263168,1324,319
9606.ENSP00000446955,1318,242
9606.ENSP00000233143,1312,29
9606.ENSP00000439189,1304,4391
9606.ENSP00000493701,1293,717
9606.ENSP00000261267,1292,165
9606.ENSP00000371267,1283,471
9606.ENSP00000375978,1269,720
9606.ENSP00000228825,1267,187
9606.ENSP00000369314,1260,63
9606.ENSP00000325905,1243,124
9606.ENSP00000357076,1236,323
9606.ENSP00000262746,1224,256
9606.ENSP00000342374,1220,68
9606.ENSP00000268182,1218,1682
9606.ENSP00000325376,1216,711
9606.ENSP00000362924,1214,490
9606.ENSP00000476136,1208,2035
9606.ENSP00000349430,1207,2118
9606.ENSP00000477527,1200,2036
9606.ENSP00000358151,1200,2036
9606.ENSP00000482674,1200,2036
9606.ENSP00000289316,1199,2119
9606.ENSP00000477907,1199,2119
9606.ENSP00000479169,1199,2119
9606.ENSP00000321744,1199,2119
9606.ENSP00000366962,1199,2119
9606.ENSP00000483903,1199,2119
9606.ENSP00000489317,1199,2119
9606.ENSP00000348924,1199,2119
9606.ENSP00000445633,1199,2119
9606.ENSP00000366618,1192,2092
9606.ENSP00000400433,1190,314
9606.ENSP00000367022,1190,1218
9606.ENSP00000483842,1187,1191
9606.ENSP00000355656,1187,1191
9606.ENSP00000303373,1187,1191
9606.ENSP00000411355,1181,1239
9606.ENSP00000358155,1177,1310
9606.ENSP00000475814,1177,1310
9606.ENSP00000271638,1174,76
9606.ENSP00000332194,1170,1306
9606.ENSP00000451291,1162,395
9606.ENSP00000491341,1157,2001
9606.ENSP00000481622,1157,2001
9606.ENSP00000479284,1157,1911
9606.ENSP00000445175,1153,445
9606.ENSP00000377192,1147,638
9606.ENSP00000479488,1144,265
9606.ENSP00000358723,1138,315
9606.ENSP00000340019,1115,524
9606.ENSP00000445831,1110,2119
9606.ENSP00000344547,1095,61
9606.ENSP00000349748,1091,473
9606.ENSP00000423563,1085,324
9606.ENSP00000463939,1077,158
9606.ENSP00000496166,1071,665
9606.ENSP00000359991,1070,309
9606.ENSP00000446215,1065,183
9606.ENSP00000485952,1051,645
9606.ENSP00000389351,1041,184
9606.ENSP00000332790,1035,891
9606.ENSP00000289902,1034,36
9606.ENSP00000349428,1025,348
9606.ENSP00000327054,1022,541
9606.ENSP00000278572,1019,248
9606.ENSP00000447001,1019,105
9606.ENSP00000417864,1015,153
9606.ENSP00000262613,1008,275
9606.ENSP00000217456,1002,352
9606.ENSP00000376652,999,325
9606.ENSP00000482431,996,1302
9606.ENSP00000482538,996,1302
9606.ENSP00000352119,996,1302
9606.ENSP00000352627,996,1302
9606.ENSP00000366679,996,1302
9606.ENSP00000328484,996,1302
9606.ENSP00000351589,996,1302
9606.ENSP00000358160,994,727
