string_external_id,abundance
9606.ENSP00000295897,343168
9606.ENSP00000431254,48749
9606.ENSP00000251595,37554
9606.ENSP00000322421,36446
9606.ENSP00000306099,22629
9606.ENSP00000236850,19458
9606.ENSP00000385834,19102
9606.ENSP00000356969,15785
9606.ENSP00000498441,15041
9606.ENSP00000273784,14627
9606.ENSP00000416066,12606
9606.ENSP00000360522,12515
9606.ENSP00000348170,11665
9606.ENSP00000465356,11452
9606.ENSP00000237014,10602
9606.ENSP00000265983,10505
9606.ENSP00000227667,9446
9606.ENSP00000259396,9241
9606.ENSP00000323929,8541
9606.ENSP00000245907,8147
9606.ENSP00000421725,8086
9606.ENSP00000466775,7867
9606.ENSP00000336829,7849
9606.ENSP00000370010,7587
9606.ENSP00000345179,7540
9606.ENSP00000494175,7256
9606.ENSP00000356671,7194
9606.ENSP00000264613,6596
9606.ENSP00000338082,6575
9606.ENSP00000362924,6419
9606.ENSP00000263100,5920
9606.ENSP00000350425,5648
9606.ENSP00000292401,5533
9606.ENSP00000262962,4818
9606.ENSP00000327431,4536
9606.ENSP00000205948,4465
9606.ENSP00000265132,3864
9606.ENSP00000394936,3724
9606.ENSP00000308938,3495
9606.ENSP00000356399,3432
9606.ENSP00000252244,3428
9606.ENSP00000255040,3420
9606.ENSP00000355627,3395
9606.ENSP00000493985,3300
9606.ENSP00000450540,3198
9606.ENSP00000308541,3129
9606.ENSP00000252486,3123
9606.ENSP00000321853,3054
9606.ENSP00000246662,2950
9606.ENSP00000496470,2870
9606.ENSP00000226218,2685
9606.ENSP00000315130,2682
9606.ENSP00000254722,2631
9606.ENSP00000440066,2581
9606.ENSP00000416561,2573
9606.ENSP00000215727,2556
9606.ENSP00000351190,2523
9606.ENSP00000302621,2518
9606.ENSP00000232003,2497
9606.ENSP00000266041,2479
9606.ENSP00000292609,2390
9606.ENSP00000296130,2385
9606.ENSP00000441828,2306
9606.ENSP00000263408,2294
9606.ENSP00000313967,2171
9606.ENSP00000278407,2161
9606.ENSP00000396688,2101
9606.ENSP00000410815,2082
9606.ENSP00000415941,2055
9606.ENSP00000273283,2049
9606.ENSP00000356037,1985
9606.ENSP00000357156,1980
9606.ENSP00000452662,1910
9606.ENSP00000269576,1824
9606.ENSP00000266718,1780
9606.ENSP00000363770,1767
9606.ENSP00000233242,1751
9606.ENSP00000222381,1717
9606.ENSP00000278222,1714
9606.ENSP00000480035,1698
9606.ENSP00000296028,1616
9606.ENSP00000322061,1610
9606.ENSP00000365081,1605
9606.ENSP00000329374,1589
9606.ENSP00000384906,1509
9606.ENSP00000485552,1406
9606.ENSP00000342850,1403
9606.ENSP00000363773,1317
9606.ENSP00000346839,1306
9606.ENSP00000226355,1245
9606.ENSP00000478725,1224
9606.ENSP00000475107,1224
9606.ENSP00000314299,1165
9606.ENSP00000331544,1136
9606.ENSP00000494708,1133
9606.ENSP00000373477,1083
9606.ENSP00000270879,1066
9606.ENSP00000416683,1059
9606.ENSP00000319464,974
9606.ENSP00000385035,971
9606.ENSP00000317674,968
9606.ENSP00000478893,937
9606.ENSP00000310861,926
9606.ENSP00000255030,905
9606.ENSP00000223642,886
9606.ENSP00000451172,866
9606.ENSP00000474135,837
9606.ENSP00000299367,818
9606.ENSP00000359446,802
9606.ENSP00000364709,790
9606.ENSP00000444271,785
9606.ENSP00000376637,770
9606.ENSP00000296029,768
9606.ENSP00000356385,744
9606.ENSP00000385519,742
9606.ENSP00000436126,728
9606.ENSP00000380070,719
9606.ENSP00000479032,717
9606.ENSP00000482678,717
9606.ENSP00000497910,699
9606.ENSP00000263413,665
9606.ENSP00000266542,644
9606.ENSP00000253496,642
9606.ENSP00000479675,642
9606.ENSP00000218099,629
9606.ENSP00000381448,622
9606.ENSP00000181383,620
9606.ENSP00000261267,619
9606.ENSP00000360687,610
9606.ENSP00000369816,607
9606.ENSP00000217182,603
9606.ENSP00000360697,602
9606.ENSP00000370473,602
9606.ENSP00000468253,599
9606.ENSP00000354458,596
9606.ENSP00000468236,584
9606.ENSP00000430656,582
9606.ENSP00000264381,564
9606.ENSP00000264690,560
9606.ENSP00000360281,548
9606.ENSP00000262919,543
9606.ENSP00000357727,523
9606.ENSP00000358045,521
9606.ENSP00000247153,515
9606.ENSP00000378131,492
9606.ENSP00000452347,480
9606.ENSP00000377783,469
9606.ENSP00000488437,468
9606.ENSP00000415769,461
9606.ENSP00000277903,460
9606.ENSP00000421801,451
9606.ENSP00000481152,444
9606.ENSP00000246635,442
9606.ENSP00000308720,438
9606.ENSP00000494750,415
9606.ENSP00000498227,411
9606.ENSP00000261994,405
9606.ENSP00000414287,396
9606.ENSP00000256178,382
9606.ENSP00000262776,375
9606.ENSP00000483567,374
9606.ENSP00000265029,371
9606.ENSP00000301522,371
9606.ENSP00000234071,371
9606.ENSP00000493607,359
9606.ENSP00000491969,357
9606.ENSP00000366109,347
9606.ENSP00000292896,345
9606.ENSP00000301653,345
9606.ENSP00000381057,338
9606.ENSP00000226524,337
9606.ENSP00000357721,333
9606.ENSP00000363079,327
9606.ENSP00000406773,326
9606.ENSP00000448220,326
9606.ENSP00000264005,322
9606.ENSP00000399679,318
9606.ENSP00000458162,314
9606.ENSP00000381250,312
9606.ENSP00000384957,310
9606.ENSP00000252242,306
9606.ENSP00000356395,298
9606.ENSP00000261336,297
9606.ENSP00000167586,295
9606.ENSP00000452747,295
9606.ENSP00000483585,295
9606.ENSP00000391826,294
9606.ENSP00000372139,292
9606.ENSP00000252252,291
9606.ENSP00000425915,290
9606.ENSP00000372136,285
9606.ENSP00000328359,285
9606.ENSP00000243611,282
9606.ENSP00000500193,273
9606.ENSP00000356382,270
9606.ENSP00000369317,268
9606.ENSP00000356771,267
9606.ENSP00000336762,260
9606.ENSP00000260356,256
9606.ENSP00000497550,249
9606.ENSP00000252250,241
9606.ENSP00000478289,229
9606.ENSP00000219302,228
9606.ENSP00000389026,226
9606.ENSP00000351682,225
9606.ENSP00000168148,217
9606.ENSP00000329312,207
9606.ENSP00000260118,206
9606.ENSP00000225655,206
9606.ENSP00000347933,204
9606.ENSP00000352458,204
9606.ENSP00000241052,199
9606.ENSP00000363064,195
9606.ENSP00000378058,188
9606.ENSP00000389814,187
9606.ENSP00000233809,183
9606.ENSP00000379138,182
9606.ENSP00000256509,181
9606.ENSP00000376886,181
9606.ENSP00000230036,180
9606.ENSP00000337060,170
9606.ENSP00000333203,167
9606.ENSP00000291744,163
9606.ENSP00000356574,160
9606.ENSP00000264832,157
9606.ENSP00000217407,153
9606.ENSP00000230050,151
9606.ENSP00000242465,149
9606.ENSP00000348933,149
9606.ENSP00000381581,148
9606.ENSP00000263368,147
9606.ENSP00000419425,147
9606.ENSP00000321334,146
9606.ENSP00000329380,145
9606.ENSP00000233143,145
9606.ENSP00000432660,145
9606.ENSP00000480132,144
9606.ENSP00000308452,144
9606.ENSP00000306864,143
9606.ENSP00000261405,142
9606.ENSP00000415283,139
9606.ENSP00000222271,134
9606.ENSP00000264036,133
9606.ENSP00000362108,131
9606.ENSP00000364731,130
9606.ENSP00000269593,127
9606.ENSP00000216968,127
9606.ENSP00000285379,126
9606.ENSP00000299578,125
9606.ENSP00000452245,121
9606.ENSP00000355645,121
9606.ENSP00000418009,120
9606.ENSP00000223061,120
9606.ENSP00000252951,119
9606.ENSP00000494125,118
9606.ENSP00000433642,118
9606.ENSP00000376776,117
9606.ENSP00000376889,114
9606.ENSP00000290378,112
9606.ENSP00000305988,112
9606.ENSP00000244137,111
9606.ENSP00000357711,111
9606.ENSP00000296280,110
9606.ENSP00000416330,107
9606.ENSP00000416126,107
9606.ENSP00000348888,106
9606.ENSP00000342710,105
9606.ENSP00000264870,104
9606.ENSP00000407685,103
9606.ENSP00000301656,103
9606.ENSP00000224784,103
9606.ENSP00000371554,102
9606.ENSP00000234313,102
9606.ENSP00000386857,102
9606.ENSP00000307786,99.5
9606.ENSP00000497767,99.4
9606.ENSP00000218388,99.3
9606.ENSP00000270792,98.3
9606.ENSP00000379287,95.8
9606.ENSP00000256785,95.5
9606.ENSP00000344458,94.8
9606.ENSP00000204679,93.8
9606.ENSP00000270142,93.6
9606.ENSP00000356905,91.9
9606.ENSP00000297258,90.2
9606.ENSP00000497290,90.1
9606.ENSP00000233813,89.1
9606.ENSP00000324173,87.7
9606.ENSP00000294728,87.5
9606.ENSP00000286301,86.2
9606.ENSP00000398632,84.7
9606.ENSP00000256404,82.4
9606.ENSP00000357448,82.2
9606.ENSP00000231061,81.5
9606.ENSP00000388107,79.8
9606.ENSP00000355568,79.5
9606.ENSP00000301464,79.4
9606.ENSP00000359664,79.4
9606.ENSP00000446955,79.3
9606.ENSP00000411770,78.7
9606.ENSP00000211998,78.3
9606.ENSP00000358866,77.5
9606.ENSP00000383690,77
9606.ENSP00000252245,75.9
9606.ENSP00000402060,75.7
9606.ENSP00000262746,75.6
9606.ENSP00000381607,75.1
9606.ENSP00000357076,73.9
9606.ENSP00000305675,73
9606.ENSP00000216181,72.5
9606.ENSP00000352071,72.4
9606.ENSP00000316029,72.2
9606.ENSP00000356030,71.4
9606.ENSP00000498684,71.2
9606.ENSP00000356275,69
9606.ENSP00000300060,67.3
9606.ENSP00000366525,67
9606.ENSP00000350364,66.9
9606.ENSP00000296435,66.2
9606.ENSP00000358727,65
9606.ENSP00000356946,64.9
9606.ENSP00000291568,64.5
9606.ENSP00000265371,64.3
9606.ENSP00000295666,63.2
9606.ENSP00000320171,62.5
9606.ENSP00000369689,62.3
9606.ENSP00000475216,60.9
9606.ENSP00000445175,60.6
9606.ENSP00000387654,59.3
9606.ENSP00000366460,59.3
9606.ENSP00000342026,58.3
9606.ENSP00000361064,58.1
9606.ENSP00000259486,58
9606.ENSP00000408411,57.8
9606.ENSP00000352835,57.7
9606.ENSP00000246006,57.1
9606.ENSP00000498577,56.6
9606.ENSP00000496166,56.2
9606.ENSP00000414856,55
9606.ENSP00000417138,53.9
9606.ENSP00000231751,53.4
9606.ENSP00000416706,53.3
9606.ENSP00000320866,53.3
9606.ENSP00000303276,53.1
9606.ENSP00000369071,52.7
9606.ENSP00000379975,51.6
9606.ENSP00000359629,51.6
9606.ENSP00000264474,50.7
9606.ENSP00000257901,50.3
9606.ENSP00000383931,50.1
9606.ENSP00000229270,49.7
9606.ENSP00000200676,48.4
9606.ENSP00000221476,47.5
9606.ENSP00000377546,46.9
9606.ENSP00000357453,46.9
9606.ENSP00000228945,46.5
9606.ENSP00000272317,46.4
9606.ENSP00000331736,46.4
9606.ENSP00000333298,46.3
9606.ENSP00000251645,46.3
9606.ENSP00000339730,45.9
9606.ENSP00000364711,45.1
9606.ENSP00000257192,44.9
9606.ENSP00000357791,44.9
9606.ENSP00000357542,44.8
9606.ENSP00000378431,43.9
9606.ENSP00000323313,43.6
9606.ENSP00000248553,43.1
9606.ENSP00000495530,43
9606.ENSP00000362413,43
9606.ENSP00000485952,42.3
9606.ENSP00000444533,41.8
9606.ENSP00000217133,41.8
9606.ENSP00000265627,41.7
9606.ENSP00000307705,40.8
9606.ENSP00000498879,40.6
9606.ENSP00000261769,40.4
9606.ENSP00000378957,40.1
9606.ENSP00000274793,39.3
9606.ENSP00000160262,39.2
9606.ENSP00000303208,39.2
9606.ENSP00000478771,39
9606.ENSP00000261313,38.9
9606.ENSP00000376475,38.8
9606.ENSP00000284322,38.3
9606.ENSP00000312134,37.9
9606.ENSP00000479097,37.9
9606.ENSP00000217456,37.8
9606.ENSP00000458977,37.4
9606.ENSP00000345347,37.4
9606.ENSP00000265016,37.4
9606.ENSP00000262584,37.1
9606.ENSP00000233156,37
9606.ENSP00000484998,37
9606.ENSP00000255409,36.8
9606.ENSP00000357709,36.4
9606.ENSP00000376840,36.2
9606.ENSP00000305263,35.9
9606.ENSP00000262768,35.5
9606.ENSP00000351022,35.3
9606.ENSP00000311313,35.1
9606.ENSP00000359910,34.4
9606.ENSP00000330382,34.3
9606.ENSP00000356632,34.2
9606.ENSP00000329165,34.1
9606.ENSP00000367615,33.9
9606.ENSP00000293670,33.8
9606.ENSP00000329797,33.8
9606.ENSP00000324422,33.8
9606.ENSP00000474412,33.8
9606.ENSP00000419000,33.5
9606.ENSP00000251646,33.5
9606.ENSP00000340278,33.5
9606.ENSP00000363827,33.4
9606.ENSP00000228938,33.2
9606.ENSP00000354280,33
9606.ENSP00000299767,33
9606.ENSP00000360305,32.8
9606.ENSP00000360858,32.7
9606.ENSP00000369129,32.5
9606.ENSP00000362299,32.5
9606.ENSP00000307975,32.5
9606.ENSP00000377508,32.5
9606.ENSP00000447006,32
9606.ENSP00000501093,31.9
9606.ENSP00000314807,31.9
9606.ENSP00000405338,31.7
9606.ENSP00000376800,31.7
9606.ENSP00000360532,31.7
9606.ENSP00000327801,31.7
9606.ENSP00000367545,31.6
9606.ENSP00000300289,31.6
9606.ENSP00000279227,31.3
9606.ENSP00000339251,31
9606.ENSP00000311502,30.9
9606.ENSP00000353408,30.9
9606.ENSP00000439189,30.8
9606.ENSP00000342082,30.7
9606.ENSP00000300026,30.6
9606.ENSP00000319281,30.6
9606.ENSP00000369349,30.5
9606.ENSP00000496494,30.4
9606.ENSP00000355124,30.4
9606.ENSP00000362352,30.1
9606.ENSP00000479488,30.1
9606.ENSP00000449404,30.1
9606.ENSP00000353731,30.1
9606.ENSP00000451206,30
9606.ENSP00000304355,29.9
9606.ENSP00000219070,29.7
9606.ENSP00000306261,29.7
9606.ENSP00000233735,29.4
9606.ENSP00000378731,29
9606.ENSP00000264335,29
9606.ENSP00000295834,29
9606.ENSP00000360797,28.9
9606.ENSP00000391481,28.5
9606.ENSP00000310573,28.3
9606.ENSP00000221515,28.3
9606.ENSP00000400010,28.2
9606.ENSP00000383382,28.2
9606.ENSP00000236671,28.1
9606.ENSP00000500990,28
9606.ENSP00000268613,27.7
9606.ENSP00000349493,27.7
9606.ENSP00000370588,27.7
9606.ENSP00000378517,27.7
9606.ENSP00000332723,27.4
9606.ENSP00000346032,27.2
9606.ENSP00000349320,27.2
9606.ENSP00000385080,27.1
9606.ENSP00000253039,27
9606.ENSP00000363641,26.9
9606.ENSP00000271638,26.9
9606.ENSP00000007735,26.8
9606.ENSP00000321106,26.4
9606.ENSP00000264606,26.4
9606.ENSP00000379350,26.2
9606.ENSP00000304945,26.2
9606.ENSP00000486361,26
9606.ENSP00000296695,25.9
9606.ENSP00000216492,25.9
9606.ENSP00000367154,25.7
9606.ENSP00000332613,25.6
9606.ENSP00000322323,25.5
9606.ENSP00000478024,25.5
9606.ENSP00000418112,25.5
9606.ENSP00000386786,25.4
9606.ENSP00000359991,25.3
9606.ENSP00000353025,25
9606.ENSP00000244537,25
9606.ENSP00000295550,25
9606.ENSP00000305595,24.9
9606.ENSP00000337598,24.8
9606.ENSP00000278282,24.8
9606.ENSP00000219150,24.8
9606.ENSP00000296503,24.7
9606.ENSP00000264025,24.6
9606.ENSP00000225927,24.4
9606.ENSP00000373364,24.3
9606.ENSP00000367123,24.3
9606.ENSP00000275525,24.2
9606.ENSP00000413479,24
