string_external_id,abundance
9606.ENSP00000468236,109720
9606.ENSP00000295897,100346
9606.ENSP00000227667,59665
9606.ENSP00000465356,57511
9606.ENSP00000236850,38158
9606.ENSP00000278222,34749
9606.ENSP00000485552,21741
9606.ENSP00000252486,21313
9606.ENSP00000360522,19938
9606.ENSP00000356969,18938
9606.ENSP00000356671,16721
9606.ENSP00000246662,14438
9606.ENSP00000466775,13742
9606.ENSP00000252244,13437
9606.ENSP00000348170,13165
9606.ENSP00000345179,12062
9606.ENSP00000416066,11796
9606.ENSP00000237014,11314
9606.ENSP00000265983,10751
9606.ENSP00000259396,10713
9606.ENSP00000431254,10516
9606.ENSP00000362924,10102
9606.ENSP00000255040,9857
9606.ENSP00000226218,9659
9606.ENSP00000264613,9643
9606.ENSP00000292401,9135
9606.ENSP00000273784,9062
9606.ENSP00000306099,8676
9606.ENSP00000350425,8232
9606.ENSP00000205948,7207
9606.ENSP00000385834,7023
9606.ENSP00000488437,6837
9606.ENSP00000245907,6681
9606.ENSP00000315130,6527
9606.ENSP00000308541,6139
9606.ENSP00000269576,5893
9606.ENSP00000421725,5559
9606.ENSP00000308720,5472
9606.ENSP00000450540,5217
9606.ENSP00000452347,5018
9606.ENSP00000323929,4873
9606.ENSP00000440066,4858
9606.ENSP00000394936,4840
9606.ENSP00000321853,4735
9606.ENSP00000254722,4597
9606.ENSP00000498441,4551
9606.ENSP00000336829,4504
9606.ENSP00000370010,4414
9606.ENSP00000215727,4412
9606.ENSP00000302621,4296
9606.ENSP00000355627,4066
9606.ENSP00000263408,3942
9606.ENSP00000263100,3886
9606.ENSP00000296130,3767
9606.ENSP00000292609,3740
9606.ENSP00000356399,3611
9606.ENSP00000265132,3602
9606.ENSP00000384906,3537
9606.ENSP00000266041,3511
9606.ENSP00000357156,3501
9606.ENSP00000493985,3427
9606.ENSP00000361366,3314
9606.ENSP00000346839,2995
9606.ENSP00000416561,2984
9606.ENSP00000329374,2865
9606.ENSP00000313967,2845
9606.ENSP00000441828,2822
9606.ENSP00000308938,2817
9606.ENSP00000222381,2699
9606.ENSP00000266718,2653
9606.ENSP00000278407,2479
9606.ENSP00000362817,2471
9606.ENSP00000232003,2435
9606.ENSP00000356037,2424
9606.ENSP00000273283,2343
9606.ENSP00000494175,2338
9606.ENSP00000410815,2271
9606.ENSP00000322061,2242
9606.ENSP00000351190,2232
9606.ENSP00000310861,2192
9606.ENSP00000342850,2109
9606.ENSP00000251595,1994
9606.ENSP00000322421,1994
9606.ENSP00000356771,1982
9606.ENSP00000396688,1901
9606.ENSP00000415941,1899
9606.ENSP00000270879,1816
9606.ENSP00000226355,1809
9606.ENSP00000416683,1748
9606.ENSP00000319464,1706
9606.ENSP00000365081,1698
9606.ENSP00000299367,1627
9606.ENSP00000373477,1624
9606.ENSP00000385035,1549
9606.ENSP00000233242,1453
9606.ENSP00000317674,1421
9606.ENSP00000436126,1416
9606.ENSP00000451172,1374
9606.ENSP00000217407,1360
9606.ENSP00000223642,1332
9606.ENSP00000314299,1321
9606.ENSP00000406773,1268
9606.ENSP00000359446,1221
9606.ENSP00000331544,1203
9606.ENSP00000444271,1188
9606.ENSP00000363770,1180
9606.ENSP00000385519,1149
9606.ENSP00000364709,1116
9606.ENSP00000363773,1101
9606.ENSP00000430656,1092
9606.ENSP00000296028,1068
9606.ENSP00000266542,1027
9606.ENSP00000356385,968
9606.ENSP00000181383,949
9606.ENSP00000218099,937
9606.ENSP00000480035,920
9606.ENSP00000369816,902
9606.ENSP00000262919,855
9606.ENSP00000475107,842
9606.ENSP00000478725,842
9606.ENSP00000421801,838
9606.ENSP00000452662,814
9606.ENSP00000478893,795
9606.ENSP00000247153,776
9606.ENSP00000468253,761
9606.ENSP00000357727,760
9606.ENSP00000264381,741
9606.ENSP00000358045,738
9606.ENSP00000253496,736
9606.ENSP00000497910,713
9606.ENSP00000261336,706
9606.ENSP00000494708,696
9606.ENSP00000360281,685
9606.ENSP00000263413,674
9606.ENSP00000498227,652
9606.ENSP00000265029,638
9606.ENSP00000354458,637
9606.ENSP00000414287,611
9606.ENSP00000415769,599
9606.ENSP00000478289,579
9606.ENSP00000262776,578
9606.ENSP00000234071,572
9606.ENSP00000264690,570
9606.ENSP00000378131,567
9606.ENSP00000377783,565
9606.ENSP00000264005,560
9606.ENSP00000255030,548
9606.ENSP00000261994,541
9606.ENSP00000360687,537
9606.ENSP00000360697,530
9606.ENSP00000384957,527
9606.ENSP00000493607,518
9606.ENSP00000452747,496
9606.ENSP00000483585,496
9606.ENSP00000370473,478
9606.ENSP00000479032,465
9606.ENSP00000482678,465
9606.ENSP00000356382,435
9606.ENSP00000277903,433
9606.ENSP00000474135,418
9606.ENSP00000381250,407
9606.ENSP00000252252,380
9606.ENSP00000425915,363
9606.ENSP00000252242,355
9606.ENSP00000399679,341
9606.ENSP00000233156,329
9606.ENSP00000167586,323
9606.ENSP00000497550,317
9606.ENSP00000389814,316
9606.ENSP00000391826,311
9606.ENSP00000301653,304
9606.ENSP00000381448,301
9606.ENSP00000481152,294
9606.ENSP00000500193,290
9606.ENSP00000333203,283
9606.ENSP00000356395,276
9606.ENSP00000351682,274
9606.ENSP00000301522,266
9606.ENSP00000243611,259
9606.ENSP00000230036,259
9606.ENSP00000494750,253
9606.ENSP00000256785,249
9606.ENSP00000306864,248
9606.ENSP00000291744,246
9606.ENSP00000458162,234
9606.ENSP00000260118,222
9606.ENSP00000363079,221
9606.ENSP00000321334,197
9606.ENSP00000369317,196
9606.ENSP00000380070,194
9606.ENSP00000479955,183
9606.ENSP00000256509,180
9606.ENSP00000377681,178
9606.ENSP00000261267,175
9606.ENSP00000252250,175
9606.ENSP00000342710,173
9606.ENSP00000356574,171
9606.ENSP00000376776,168
9606.ENSP00000378058,165
9606.ENSP00000347933,165
9606.ENSP00000352458,165
9606.ENSP00000364731,160
9606.ENSP00000244137,158
9606.ENSP00000296029,156
9606.ENSP00000223061,154
9606.ENSP00000296280,153
9606.ENSP00000264832,150
9606.ENSP00000479675,143
9606.ENSP00000356905,139
9606.ENSP00000264036,135
9606.ENSP00000241052,135
9606.ENSP00000376637,129
9606.ENSP00000416330,126
9606.ENSP00000389026,125
9606.ENSP00000357721,123
9606.ENSP00000301656,122
9606.ENSP00000344458,118
