Majority_Protein_IDs,Gene_names,Copy_Number_CD4,Copy_Number_CD8
A0A023T6R1;Q96A72,FLJ10292;MAGOHB,718782,857380
A0A023T787;Q9Y5S9-2;Q9Y5S9;A0A0J9YW13,RBM8;RBM8A,592455,611854
A0A024DAK3,,2364,NA
A0A024QYW3;Q04941,PLP2,173366,181605
A0A024QYX0;Q15125;C9J719;C9JJ78;A0A494C0F3,EBP,631652,755815
A0A024QYX3;P98179,RBM3,785510,892920
A0A024QYX8;P42768,WAS,579490,574277
A0A024QYY3;O60256;B2R7R5;O60256-4;O60256-2;O60256-3;E7EPA1;I3L0S1;C9K0K7,PRPSAP2,255170,256027
A0A024QYZ0;P60059,SEC61G,352540,415173
A0A024QYZ6;O60645;Q69YP2;D6RB59,EXOC3;DKFZp762K123,21359,18782
A0A024QZ30;P31040;D6RFM5;P31040-2;B3KT34;A0A087X1I3;Q0QF12;B4DYN5;P31040-3,SDHA,623422,665251
A0A024QZ62;Q14254;Q6FG43;J3QLD9;E7EMK3;Q9BTI6,hCG_1998851;FLOT2,130245,181122
A0A024QZ64;P09972;B7Z1Y2;B7Z3K9;B7Z1N6;A8MVZ9;B7Z3K7;B7Z1Z9;J3KSV6;J3QKP5,ALDOC,2798333,2582524
A0A024QZ77;Q96C19,EFHD2,1643374,1342839
A0A024QZ78;Q9BSE5,AGMAT,4485,NA
A0A024QZB4;H3BRY5;P50225;H3BNY7;H3BQX5;E9PKR8;P50226,hCG_1993905;SULT1A1;SULT1A4;SULT1A2,6790,NA
A0A024QZC1;O95400,CD2BP2,45907,33044
A0A024QZD1;J3QQ67;Q07020;Q0QEW2;G3V203;H0YHA7;Q07020-2;F8VYV2;F8VUA6;B4DDY5;A0A075B7A0,RPL18,2136533,2311569
A0A024QZD5;P08621;A8KAQ5;P08621-2;P08621-3,SNRP70;SNRNP70,362559,379901
A0A024QZE1;Q14653;M0R205;M0QZB8;M0QZB7;Q96GL3;Q14653-4;M0QYT9;E2GIM7;E2GIM5;M0QXC8;E2GIM9;Q14653-2,IRF3,53710,49430
A0A024QZE9;M0QYA2;Q9NWS0;M0R3A4,FLJ20643;PIH1D1,18460,19301
A0A024QZF1;P37198;M0QXN5,hCG_19665;NUP62,111463,101545
A0A024QZF2;P10301,RRAS,13311,10940
A0A024QZF6;Q96B36;M0R2V8;H9KV91;Q96B36-2;Q96B36-3,AKT1S1,7021,5987
A0A024QZH6;Q9H7N4,SR-A1;SCAF1,4183,4949
A0A024QZI4;Q8IV63-3;Q8IV63;M0QXV1;M0QXD7;M0QX88;M0R025;M0R200;B4DGW1;M0QYG0;B4E0U5;M0R073;M0QYA8;Q8IV63-2,VRK3,3734,3721
A0A024QZJ7;Q16204;Q05CP8,CCDC6,22576,20251
A0A024QZK8;P31942-2;P31942;Q53F48;P31942-3;B4DHY1;A0A024QZP1;P31942-4,HNRPH3;HNRNPH3,556670,562284
A0A024QZL1;P10124,PRG1;SRGN,24815,11057
A0A024QZM0;Q8N9N2-2;Q8N9N2;B3KU20;H0YCB3;B7Z518;H0YE76,ASCC1,16794,21033
A0A024QZM6;P53992;B4DSN3;G5EA31,SEC24C,140794,129867
A0A024QZN2;Q8WXX5,hCG_2024613;DNAJC9,431392,413123
A0A024QZN5;O95229-2;O95229;A6NH27;A0A024QZJ1;B4DP12,ZWINT,3873,2244
A0A024QZN7;Q9NZ45,C10orf70;CISD1,828770,827243
A0A024QZN8;Q5GLZ8-2;Q5GLZ8;Q5GLZ8-3;Q5GLZ8-6,HERC4,27419,35984
A0A024QZP7;Q5H9N4;P06493;A0A024QZJ8;P06493-2;A0A087WZZ9;I6L9I5;E5RIU6,CDC2;DKFZp686L20222;CDK1,375384,263059
A0A024QZR5;Q9Y2T2;Q8NDP0;B4DRN6,AP3M1;DKFZp586G1518,122060,130919
A0A024QZS1;O96007,MOCS2,6468,8858
A0A024QZS3;A0A024QZU7;O14494;O14494-2,PPAP2A,21103,9820
A0A024QZT0;P45880;A0A0A0MR02;A0A024QZN9;P45880-2;P45880-1;B4DKM5;Q5JSD2;Q5JSD1,VDAC2,1749006,1840284
