ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
Q969E1,MSV000079033-Sample-1,blood plasma,16.982520597781576,0.39355166853653,9.595001758009522,39355166.853653
P01225,MSV000079033-Sample-1,blood plasma,4.9324459005640415,0.11430413423945564,9.058061938574738,11430413.423945563
Q01524,MSV000079033-Sample-1,blood plasma,4.365653811560213,0.10116933654812231,9.005048901971517,10116933.654812232
P55273,MSV000079033-Sample-1,blood plasma,3.861071340494105,0.08947617991339445,8.9517074340975,8947617.991339445
Q8N386,MSV000079033-Sample-1,blood plasma,3.367345981469053,0.07803462518514706,8.892287348718142,7803462.518514706
Q7Z3D4,MSV000079033-Sample-1,blood plasma,2.1762241563245657,0.050431656649538456,8.702703234705549,5043165.664953846
Q9UQV4,MSV000079033-Sample-1,blood plasma,1.6986177106359697,0.039363640419421114,8.595095255942146,3936364.041942111
Q29983,MSV000079033-Sample-1,blood plasma,1.5479616561107707,0.03587234822329873,8.554759806757962,3587234.822329873
Q86X27,MSV000079033-Sample-1,blood plasma,1.455761886962571,0.03373571763433323,8.528089953006685,3373571.7634333232
Q01344,MSV000079033-Sample-1,blood plasma,1.0908010519784759,0.02527814240387902,8.402745156106134,2527814.240387902
Q76KX8,MSV000079033-Sample-1,blood plasma,0.9544464091470571,0.022118270058073215,8.34475115637529,2211827.0058073215
Q8N895,MSV000079033-Sample-1,blood plasma,0.7190961293748058,0.01666428018880682,8.22178655911382,1666428.018880682
Q969E1,MSV000079033-Sample-2,blood plasma,16.878644328056602,0.3960885384894502,9.597792275520161,39608853.84894502
P01225,MSV000079033-Sample-2,blood plasma,4.870668918433306,0.11429923493093523,9.058043323427782,11429923.493093522
Q01524,MSV000079033-Sample-2,blood plasma,4.286012761343889,0.10057919922904726,9.002508173621452,10057919.922904726
P55273,MSV000079033-Sample-2,blood plasma,3.7414179997607815,0.0877992781055301,8.943490945107998,8779927.81055301
Q8N386,MSV000079033-Sample-2,blood plasma,3.310958298722279,0.07769774681254994,8.890408424707417,7769774.681254994
Q7Z3D4,MSV000079033-Sample-2,blood plasma,2.150453270619654,0.05046435463029093,8.70298472359549,5046435.463029093
Q9UQV4,MSV000079033-Sample-2,blood plasma,1.6529032576203384,0.03878842535280038,8.588702149425515,3878842.535280038
Q29983,MSV000079033-Sample-2,blood plasma,1.525959455151539,0.035809454754635664,8.553997708365833,3580945.4754635664
Q86X27,MSV000079033-Sample-2,blood plasma,1.4528420629929084,0.03409362021038074,8.532673118973543,3409362.021038074
Q01344,MSV000079033-Sample-2,blood plasma,1.0891775116450257,0.02555956037452249,8.40755337966786,2555956.0374522493
Q76KX8,MSV000079033-Sample-2,blood plasma,0.9461327528831986,0.022202751122824035,8.346406790821598,2220275.1122824037
