ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P21741,MSV000079033-Sample-1,blood plasma,46.532338085905664,0.16728150313354487,9.223447922246674,16728150.313354487
P01350,MSV000079033-Sample-1,blood plasma,25.062000971722785,0.09009668042779916,8.954708789886414,9009668.042779915
Q15782,MSV000079033-Sample-1,blood plasma,23.6224165232361,0.08492144401509309,8.929017370355652,8492144.40150931
P21246,MSV000079033-Sample-1,blood plasma,20.800957032455365,0.07477843371165926,8.873776364301655,7477843.371165927
P50461,MSV000079033-Sample-1,blood plasma,15.561067089250786,0.05594128299003876,8.747732422512888,5594128.299003876
Q15274,MSV000079033-Sample-1,blood plasma,11.394938855812919,0.04096425364219094,8.612405046537516,4096425.3642190937
O43508,MSV000079033-Sample-1,blood plasma,10.404094527088716,0.03740221623985079,8.572897336751845,3740221.6239850787
Q96C11,MSV000079033-Sample-1,blood plasma,10.340210813643028,0.03717255738215018,8.570222440534785,3717255.738215018
Q8N4T8,MSV000079033-Sample-1,blood plasma,10.254254025850502,0.03686354689056648,8.56659711929577,3686354.689056648
P19429,MSV000079033-Sample-1,blood plasma,9.914449154299685,0.03564196482477428,8.551961637257003,3564196.4824774284
P12532,MSV000079033-Sample-1,blood plasma,8.136796953074752,0.02925139120432617,8.466146526076116,2925139.1204326167
Q9UHP9,MSV000079033-Sample-1,blood plasma,7.9274679575579725,0.02849886359750711,8.45482754270424,2849886.359750711
P56470,MSV000079033-Sample-1,blood plasma,7.92703867064068,0.028497320331818038,8.454804024225394,2849732.0331818038
O95711,MSV000079033-Sample-1,blood plasma,7.664118810844227,0.027552136161849726,8.44015527604947,2755213.6161849727
A6NLP5,MSV000079033-Sample-1,blood plasma,7.571473263263105,0.02721907990257926,8.434873440485745,2721907.9902579263
Q9UBY9,MSV000079033-Sample-1,blood plasma,6.6611060987273065,0.02394635401019393,8.379239398594349,2394635.401019393
P16860,MSV000079033-Sample-1,blood plasma,5.872567248507737,0.02111159501097053,8.324521046111778,2111159.501097053
P53609,MSV000079033-Sample-1,blood plasma,4.6516307719965,0.01672238747438993,8.22329828224967,1672238.7474389928
P15692,MSV000079033-Sample-1,blood plasma,4.6388508704286515,0.01667644434683374,8.222103458462353,1667644.4346833741
Q9H6B4,MSV000079033-Sample-1,blood plasma,4.009448069488024,0.014413771742172546,8.158777640250145,1441377.1742172546
Q10589,MSV000079033-Sample-1,blood plasma,3.4070867202430795,0.01224831184748126,8.088076235162134,1224831.184748126
O95631,MSV000079033-Sample-1,blood plasma,2.1982667813815038,0.00790266267727949,7.897773444608756,790266.2677279491
Q9BVM4,MSV000079033-Sample-1,blood plasma,2.166024074901304,0.007786751708113399,7.8913563268066635,778675.17081134
Q14896,MSV000079033-Sample-1,blood plasma,1.8758755771371343,0.006743681902587516,7.828897076561956,674368.1902587515
Q8IWW8,MSV000079033-Sample-1,blood plasma,1.7907604976528082,0.006437697311630934,7.808730553123317,643769.7311630934
Q86VL8,MSV000079033-Sample-1,blood plasma,1.6207223349101225,0.005826418346857007,7.7654016645018595,582641.8346857007
P56817,MSV000079033-Sample-1,blood plasma,1.6017955117622884,0.0057583773337476435,7.760300119832645,575837.7333747643
Q8WYN0,MSV000079033-Sample-1,blood plasma,1.433270008425765,0.00515253630632225,7.712021060631718,515253.63063222496
P24394,MSV000079033-Sample-1,blood plasma,1.424363168675437,0.005120516648533857,7.709313782516331,512051.6648533857
O75884,MSV000079033-Sample-1,blood plasma,1.3970201395528148,0.005022219782311226,7.700895714381764,502221.9782311226
A7XYQ1,MSV000079033-Sample-1,blood plasma,1.2687895745888544,0.004561237107956158,7.659082648868969,456123.7107956158
P47989,MSV000079033-Sample-1,blood plasma,1.1822509358604445,0.004250134890421037,7.628402713870516,425013.48904210376
Q9Y264,MSV000079033-Sample-1,blood plasma,1.0856326286504958,0.003902796752576759,7.5913759349520795,390279.67525767593
Q99985,MSV000079033-Sample-1,blood plasma,1.0455626887838487,0.0037587472582446923,7.575043124319845,375874.72582446923
Q9Y653,MSV000079033-Sample-1,blood plasma,1.005393845395551,0.0036143422105394778,7.55802926972822,361434.22105394775
Q9NP99,MSV000079033-Sample-1,blood plasma,0.9707793945722254,0.0034899049352583988,7.542813596972071,348990.4935258399
Q9C0B1,MSV000079033-Sample-1,blood plasma,0.9288389015701337,0.003339130892944009,7.523633443603371,333913.08929440094
Q8N0Z9,MSV000079033-Sample-1,blood plasma,0.8734331255784783,0.003139949810036595,7.496922706226604,313994.9810036595
Q8IZF4,MSV000079033-Sample-1,blood plasma,0.8495803401063631,0.0030542002008007336,7.48489750136917,305420.0200800734
Q16549,MSV000079033-Sample-1,blood plasma,0.4405828958820133,0.0015838741853463182,7.199720680548954,158387.4185346318
Q6IE36,MSV000079033-Sample-1,blood plasma,0.25008322990828524,0.0008990371068463713,6.953777617168205,89903.71068463713
P49454,MSV000079033-Sample-1,blood plasma,0.20541595062708412,0.0007384603998420784,6.868327211102015,73846.03998420785
O60242,MSV000079033-Sample-1,blood plasma,0.19910792248997064,0.0007157833440140014,6.85478158831639,71578.33440140015
P21741,MSV000079033-Sample-10,blood plasma,52.21499874464589,0.25891334717550313,9.413154439215319,25891334.71755031
P21246,MSV000079033-Sample-10,blood plasma,33.62895314790458,0.1667525621155925,9.222072515476835,16675256.211559251
P50461,MSV000079033-Sample-10,blood plasma,14.883980936732017,0.07380372337978502,8.86807827242608,7380372.337978503
P16860,MSV000079033-Sample-10,blood plasma,14.497880070852784,0.07188920322397628,8.856663670183408,7188920.322397628
Q9UHP9,MSV000079033-Sample-10,blood plasma,8.440572978271893,0.041853433963887035,8.621731096508126,4185343.3963887035
P12532,MSV000079033-Sample-10,blood plasma,8.24715913590007,0.04089437188359351,8.61166354203943,4089437.188359351
O43508,MSV000079033-Sample-10,blood plasma,7.477755269781026,0.03707920507145065,8.569130414879602,3707920.507145065
P19429,MSV000079033-Sample-10,blood plasma,7.421199892561966,0.03679876951904988,8.565833296933812,3679876.951904988
Q13938,MSV000079033-Sample-10,blood plasma,6.25838672562775,0.031032842938010625,8.491821563393838,3103284.2938010627
O95711,MSV000079033-Sample-10,blood plasma,6.156576687920756,0.030528007578965732,8.484698460843138,3052800.7578965733
P01350,MSV000079033-Sample-10,blood plasma,5.943619175846294,0.02947203623772309,8.469410142509476,2947203.623772309
Q15782,MSV000079033-Sample-10,blood plasma,3.7582776181339255,0.01863579931284802,8.270348024925358,1863579.931284802
O95631,MSV000079033-Sample-10,blood plasma,3.7323993233008346,0.0185074791731273,8.267347269333397,1850747.91731273
Q10589,MSV000079033-Sample-10,blood plasma,3.183190583918416,0.015784172145831405,8.19822180878601,1578417.2145831406
Q96C11,MSV000079033-Sample-10,blood plasma,3.0370700236619177,0.01505961858350753,8.17781397258343,1505961.858350753
P53609,MSV000079033-Sample-10,blood plasma,2.404401042565333,0.01192246551469455,8.076366074926453,1192246.551469455
Q9H6B4,MSV000079033-Sample-10,blood plasma,2.386092620783083,0.011831681355370417,8.073046464955388,1183168.1355370418
Q9NP99,MSV000079033-Sample-10,blood plasma,1.7951342247693916,0.008901354437205727,7.949456094268497,890135.4437205726
P15692,MSV000079033-Sample-10,blood plasma,1.6817030757106333,0.008338894623304496,7.921108485791767,833889.4623304496
Q9UBY9,MSV000079033-Sample-10,blood plasma,1.3503827746550925,0.006696009433303766,7.825816056817475,669600.9433303766
Q8N4T8,MSV000079033-Sample-10,blood plasma,1.335388241967792,0.006621657527898434,7.820966715287976,662165.7527898434
P24394,MSV000079033-Sample-10,blood plasma,1.3136448587319178,0.00651384076513164,7.81383713776126,651384.076513164
P56470,MSV000079033-Sample-10,blood plasma,1.0261607159171766,0.005088321595054529,7.706574552039697,508832.1595054529
Q9Y264,MSV000079033-Sample-10,blood plasma,1.023370781611546,0.005074487423899931,7.7053921805331616,507448.74238999304
Q9C0B1,MSV000079033-Sample-10,blood plasma,0.8475637402056608,0.004202730445219786,7.623531536113519,420273.04452197865
O60242,MSV000079033-Sample-10,blood plasma,0.8237338943811882,0.004084567746887383,7.611146103689894,408456.77468873834
Q86VL8,MSV000079033-Sample-10,blood plasma,0.8173166512388489,0.004052747198355962,7.6077495142319,405274.71983559616
A7XYQ1,MSV000079033-Sample-10,blood plasma,0.8083300173350098,0.004008186066117642,7.60294787394016,400818.60661176423
Q8WYN0,MSV000079033-Sample-10,blood plasma,0.6856664470858633,0.0033999463588829364,7.531472065211398,339994.6358882936
Q14896,MSV000079033-Sample-10,blood plasma,0.6629974982260098,0.0032875400854487768,7.516871056945137,328754.0085448777
O15041,MSV000079033-Sample-10,blood plasma,0.6343907090917723,0.003145690431043705,7.497715981254647,314569.04310437053
Q9Y653,MSV000079033-Sample-10,blood plasma,0.5098099987859213,0.0025279443911264475,7.40276751625095,252794.43911264476
Q7Z304,MSV000079033-Sample-10,blood plasma,0.4985758024769266,0.002472238493604296,7.39309036425667,247223.84936042962
Q6IE36,MSV000079033-Sample-10,blood plasma,0.49320371135111335,0.0024456004369509147,7.388385503312632,244560.04369509147
Q16549,MSV000079033-Sample-10,blood plasma,0.44502483900673123,0.002206700630348806,7.34374341906727,220670.0630348806
O43196,MSV000079033-Sample-10,blood plasma,0.3699391789351175,0.0018343807980895554,7.26348949564284,183438.07980895555
Q99985,MSV000079033-Sample-10,blood plasma,0.3496780616533511,0.0017339140008271023,7.239027553409831,173391.40008271023
Q8IWJ2,MSV000079033-Sample-10,blood plasma,0.24462874507055715,0.0012130163501738174,7.083866654735008,121301.63501738173
A4D0S4,MSV000079033-Sample-10,blood plasma,0.2049343398768157,0.0010161876312244347,7.0069739044852515,101618.76312244347
P49454,MSV000079033-Sample-10,blood plasma,0.07569150125516026,0.00037532395698318134,6.57440628637827,37532.395698318134
P21741,MSV000079033-Sample-11,blood plasma,49.53965387332758,0.2554361749011835,9.407282402118662,25543617.490118347
P21246,MSV000079033-Sample-11,blood plasma,32.06097244308179,0.1653126641823865,9.218306125040613,16531266.41823865
P16860,MSV000079033-Sample-11,blood plasma,14.437030402961105,0.07444016125938206,8.871807305269906,7444016.125938206
P50461,MSV000079033-Sample-11,blood plasma,13.285876565432746,0.06850458622018345,8.835719647455123,6850458.622018345
Q9UHP9,MSV000079033-Sample-11,blood plasma,8.229426446433818,0.04243253734639983,8.627699002131747,4243253.734639984
P12532,MSV000079033-Sample-11,blood plasma,7.796765294868063,0.04020165156211702,8.604243895113834,4020165.1562117017
O43508,MSV000079033-Sample-11,blood plasma,7.472174903841,0.038527999822328164,8.585776463238963,3852799.9822328165
P19429,MSV000079033-Sample-11,blood plasma,6.374741136390233,0.03286941600416493,8.516791987975092,3286941.600416493
Q13938,MSV000079033-Sample-11,blood plasma,6.318885376808752,0.03258141274903167,8.51296991164243,3258141.2749031666
O95711,MSV000079033-Sample-11,blood plasma,6.017181348915225,0.03102576758779457,8.491722534893405,3102576.758779457
P01350,MSV000079033-Sample-11,blood plasma,5.935036194648464,0.03060221105576425,8.485752806044555,3060221.1055764253
Q15782,MSV000079033-Sample-11,blood plasma,3.763424932663623,0.019404957325406688,8.287912691994315,1940495.732540669
O95631,MSV000079033-Sample-11,blood plasma,3.659077586909338,0.018866921938063854,8.275701052557435,1886692.1938063854
Q10589,MSV000079033-Sample-11,blood plasma,3.1567574289322664,0.016276860649837847,8.211570645398098,1627686.0649837847
Q96C11,MSV000079033-Sample-11,blood plasma,2.9598215908956917,0.015261420830705282,8.183594968101836,1526142.0830705282
Q9H6B4,MSV000079033-Sample-11,blood plasma,2.3874922762678867,0.01231037859520323,8.090271409493402,1231037.859520323
P53609,MSV000079033-Sample-11,blood plasma,2.3691089814244997,0.01221559072024386,8.086914473383883,1221559.072024386
Q9NP99,MSV000079033-Sample-11,blood plasma,1.7801690678478022,0.009178900977612028,7.962790684694509,917890.0977612028
P15692,MSV000079033-Sample-11,blood plasma,1.6853873458941295,0.008690187823331617,7.939029163071795,869018.7823331617
Q9UBY9,MSV000079033-Sample-11,blood plasma,1.360978437378396,0.007017471842977497,7.8461806787394615,701747.1842977497
P24394,MSV000079033-Sample-11,blood plasma,1.305451620105743,0.006731164678926034,7.828090215764589,673116.4678926034
Q8N4T8,MSV000079033-Sample-11,blood plasma,1.2820313832022714,0.006610405342472066,7.82022809074155,661040.5342472066
O15041,MSV000079033-Sample-11,blood plasma,1.022862315354518,0.005274078780461537,7.722146612689913,527407.8780461537
Q9Y264,MSV000079033-Sample-11,blood plasma,0.9973530574387303,0.00514254804180846,7.711178357575291,514254.80418084597
P56470,MSV000079033-Sample-11,blood plasma,0.9810081601841049,0.005058270544744188,7.704002054139916,505827.0544744188
O60242,MSV000079033-Sample-11,blood plasma,0.8253994150909945,0.004255921325078808,7.6289935909975295,425592.1325078808
Q9C0B1,MSV000079033-Sample-11,blood plasma,0.8228474826828589,0.004242763060901039,7.627648779064174,424276.30609010387
Q86VL8,MSV000079033-Sample-11,blood plasma,0.8210888193028797,0.004233695047469428,7.626719572632155,423369.5047469428
A7XYQ1,MSV000079033-Sample-11,blood plasma,0.8088990326956922,0.004170842116123493,7.62022375028838,417084.2116123493
Q8WYN0,MSV000079033-Sample-11,blood plasma,0.7024741672848109,0.0036220946298281716,7.558959792382056,362209.46298281715
Q14896,MSV000079033-Sample-11,blood plasma,0.6153936837609536,0.0031730905718515843,7.501482468663278,317309.0571851584
