ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
O60941,PXD004242-Sample-1,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-10,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-11,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-12,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-14,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-14,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
Q8IVH2,PXD004242-Sample-15,blood plasma,0.7374610962967734,1.0,10.0,100000000.0
O60941,PXD004242-Sample-16,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-17,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-19,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-2,blood plasma,0.5794337185188934,0.7835051546391752,9.894041858014546,78350515.46391752
Q6ZS30,PXD004242-Sample-2,blood plasma,0.16010668538022052,0.21649484536082472,9.335447560467674,21649484.536082473
Q8IVH2,PXD004242-Sample-20,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-20,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
O60941,PXD004242-Sample-21,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-22,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-23,blood plasma,0.7123969499898585,0.5431825799686698,9.734945833539028,54318257.99686698
O60941,PXD004242-Sample-23,blood plasma,0.5991269763314693,0.45681742003133013,9.659742656707213,45681742.003133014
O60941,PXD004242-Sample-25,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-26,blood plasma,0.6276350814611035,0.8104551471666959,9.9087289847897,81045514.71666959
Q6ZS30,PXD004242-Sample-26,blood plasma,0.14678788772513612,0.18954485283330402,9.27771199548129,18954485.283330403
O60941,PXD004242-Sample-27,blood plasma,0.583211923875039,0.7857090881959826,9.89526177660237,78570908.81959826
Q6ZS30,PXD004242-Sample-27,blood plasma,0.15906270758444346,0.2142909118040174,9.331003752763431,21429091.180401742
O60941,PXD004242-Sample-28,blood plasma,1.1588674370377867,0.8786127167630059,9.943797484815978,87861271.67630059
Q6ZS30,PXD004242-Sample-28,blood plasma,0.16010668538022052,0.12138728323699421,9.084173191605124,12138728.323699422
O60941,PXD004242-Sample-29,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-3,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-3,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
O60941,PXD004242-Sample-30,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-31,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-33,blood plasma,0.5794337185188934,0.7835051546391752,9.894041858014546,78350515.46391752
Q6ZS30,PXD004242-Sample-33,blood plasma,0.16010668538022052,0.21649484536082472,9.335447560467674,21649484.536082473
O60941,PXD004242-Sample-34,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-35,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-36,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-37,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-39,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-40,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-41,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-42,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-43,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-44,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-45,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-46,blood plasma,0.655569215240952,0.505789479153902,9.703969791412248,50578947.9153902
Q8IVH2,PXD004242-Sample-46,blood plasma,0.6405613731959714,0.494210520846098,9.693911986506713,49421052.0846098
O60941,PXD004242-Sample-47,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-48,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-48,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
O60941,PXD004242-Sample-49,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-5,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-50,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-52,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-53,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-54,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-57,blood plasma,0.7374610962967734,0.4992961051149695,9.698358178244828,49929610.51149695
O60941,PXD004242-Sample-57,blood plasma,0.5794337185188934,0.3923040825903332,9.593622827724815,39230408.25903332
Q6ZS30,PXD004242-Sample-57,blood plasma,0.16010668538022052,0.10839981229469732,9.035028530177943,10839981.229469731
O60941,PXD004242-Sample-58,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-6,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-60,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-64,blood plasm,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-64,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
O60941,PXD004242-Sample-7,blood plasma,0.5794337185188934,1.0,10.0,100000000.0
Q8IVH2,PXD004242-Sample-8,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-8,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
Q8IVH2,PXD004242-Sample-9,blood plasma,0.7374610962967734,0.56,9.7481880270062,56000000.00000001
O60941,PXD004242-Sample-9,blood plasma,0.5794337185188934,0.44,9.643452676486188,44000000.0
