ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
Q9NRJ3,PXD008468-Sample-1,blood plasma,5.584558324587173,0.2387828086263787,9.378003056178192,23878280.86263787
Q8N474,PXD008468-Sample-1,blood plasma,5.423495647419448,0.23189614074976805,9.365293521104453,23189614.074976806
O95715,PXD008468-Sample-1,blood plasma,3.9985426790451095,0.17096844474006212,9.232915961036179,17096844.474006213
Q92765,PXD008468-Sample-1,blood plasma,3.29122170952722,0.14072503462860983,9.148371364200333,14072503.462860983
Q6UXB2,PXD008468-Sample-1,blood plasma,2.757336270917341,0.11789732702732572,9.071503958865724,11789732.702732572
P11678,PXD008468-Sample-1,blood plasma,0.6558161006829261,0.028041180942459797,8.447796299807951,2804118.0942459796
P14210,PXD008468-Sample-1,blood plasma,0.6118383982610561,0.026160796014793118,8.417650954467696,2616079.601479312
O95210,PXD008468-Sample-1,blood plasma,0.5607613533905618,0.02397685960986466,8.379792300388397,2397685.9609864657
Q9H0B8,PXD008468-Sample-1,blood plasma,0.5040358380517435,0.02155140766073795,8.333475641982838,2155140.766073795
Q9NRJ3,PXD008468-Sample-10,blood plasma,6.44688687289826,0.2443928400973284,9.388088478363603,24439284.00973284
Q8N474,PXD008468-Sample-10,blood plasma,6.327195342214552,0.2398554946007977,9.379949671717798,23985549.46007977
O95715,PXD008468-Sample-10,blood plasma,4.864016943786306,0.18438836272600165,9.265733508022574,18438836.272600166
Q92765,PXD008468-Sample-10,blood plasma,3.326953317110029,0.1261203408823301,9.100785135903292,12612034.088233009
Q6UXB2,PXD008468-Sample-10,blood plasma,2.988588741927194,0.1132933933729994,9.054204585015144,11329339.33729994
P14210,PXD008468-Sample-10,blood plasma,0.6742448062483394,0.0255597168631293,8.407556038631055,2555971.68631293
P11678,PXD008468-Sample-10,blood plasma,0.6452898099294937,0.024462071763272114,8.388493235907722,2446207.1763272113
O95210,PXD008468-Sample-10,blood plasma,0.5746571472515478,0.02178448219549684,8.338147241466585,2178448.219549684
Q9H0B8,PXD008468-Sample-10,blood plasma,0.5313640128294195,0.020143297498644422,8.304130566924716,2014329.7498644423
Q9NRJ3,PXD008468-Sample-100,blood plasma,9.665483454324743,0.30162266415001593,9.479463971632343,30162266.415001594
Q8N474,PXD008468-Sample-100,blood plasma,6.998526379871478,0.21839716365936046,9.33924699385373,21839716.365936045
Q92765,PXD008468-Sample-100,blood plasma,6.619296529338513,0.20656285465831561,9.315052226828753,20656285.465831563
O95715,PXD008468-Sample-100,blood plasma,4.470481199003744,0.13950657053504514,9.14459466266276,13950657.053504514
Q9H772,PXD008468-Sample-100,blood plasma,1.7354989179607752,0.0541582642749834,8.733664737141707,5415826.427498341
P14210,PXD008468-Sample-100,blood plasma,1.0027594511161824,0.031292276126336914,8.495437153851098,3129227.612633691
Q9H0B8,PXD008468-Sample-100,blood plasma,0.9447019580970136,0.029480524463725843,8.469535205431113,2948052.4463725844
O95210,PXD008468-Sample-100,blood plasma,0.6082029814776935,0.018979682132216825,8.278288934678198,1897968.2132216825
Q8N474,PXD008468-Sample-101,blood plasma,2.1665984902757676,0.4185564343562158,9.62175402260915,41855643.43562158
O95210,PXD008468-Sample-101,blood plasma,1.2743462264425744,0.24618581387786928,9.39126302368845,24618581.38778693
Q92765,PXD008468-Sample-101,blood plasma,1.1399935697453913,0.22023076536018102,9.342877988081973,22023076.536018103
Q9BWF2,PXD008468-Sample-101,blood plasma,0.5954210104808372,0.11502698640573385,9.060799741850767,11502698.640573384
Q8N474,PXD008468-Sample-102,blood plasma,2.115494826306743,0.43497928251144186,9.638468572574808,43497928.251144186
Q92765,PXD008468-Sample-102,blood plasma,1.147363778151383,0.23591618698080433,9.372757740272046,23591618.69808043
O95210,PXD008468-Sample-102,blood plasma,1.0791596121276843,0.2218923289063918,9.34614228839149,22189232.89063918
Q9BWF2,PXD008468-Sample-102,blood plasma,0.5214199087715653,0.10721220160136206,9.030244214336147,10721220.160136206
Q8N474,PXD008468-Sample-103,blood plasma,2.008130003021303,0.4218795767431556,9.625188501626397,42187957.674315564
Q92765,PXD008468-Sample-103,blood plasma,1.1257254208075784,0.23649891358865063,9.3738291500483,23649891.358865064
O95210,PXD008468-Sample-103,blood plasma,1.0943657385635788,0.22991068999157604,9.361559164816123,22991068.999157604
Q9BWF2,PXD008468-Sample-103,blood plasma,0.5317390578290364,0.11171081967661754,9.048095238453907,11171081.967661755
Q8N474,PXD008468-Sample-104,blood plasma,2.0157869321195183,0.41639015721837164,9.61950045494928,41639015.72183716
O95210,PXD008468-Sample-104,blood plasma,1.1470600955825234,0.2369419733445362,9.374642001107924,23694197.33445362
Q92765,PXD008468-Sample-104,blood plasma,1.1373702212109187,0.2349403886290443,9.370957682809703,23494038.86290443
Q9BWF2,PXD008468-Sample-104,blood plasma,0.5408840527740514,0.11172748080804792,9.04816000655714,11172748.080804793
Q8N474,PXD008468-Sample-105,blood plasma,2.1564919767461364,0.4224789422108404,9.625805067109273,42247894.22108404
Q92765,PXD008468-Sample-105,blood plasma,1.2388500346347624,0.24270345442234448,9.38507595773237,24270345.44223445
O95210,PXD008468-Sample-105,blood plasma,1.167429493697915,0.22871143640767352,9.35928788146099,22871143.64076735
Q9BWF2,PXD008468-Sample-105,blood plasma,0.541605923678161,0.10610616695914149,9.025740626111446,10610616.69591415
Q8N474,PXD008468-Sample-106,blood plasma,2.1776258295517334,0.43098531976759213,9.634462477463495,43098531.97675921
