ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P00751,PXD010271-Sample-100,blood plasma,2.137981032201313,0.146940775960057,9.167142328922548,14694077.5960057
P06727,PXD010271-Sample-100,blood plasma,1.9383914077303614,0.133223229428252,9.12457995706345,13322322.942825198
P02760,PXD010271-Sample-100,blood plasma,1.9122988854252734,0.13142992283828794,9.118694252926252,13142992.283828795
P02750,PXD010271-Sample-100,blood plasma,1.281540945704075,0.08807871452089228,8.94487096762858,8807871.452089228
P01009,PXD010271-Sample-100,blood plasma,1.2317005071779439,0.0846532431996249,8.927643601272118,8465324.31996249
P67936,PXD010271-Sample-100,blood plasma,1.1052136738960527,0.07595996054124939,8.880584730463056,7595996.054124938
P04004,PXD010271-Sample-100,blood plasma,0.9581535335544249,0.06585270008892236,8.818573586582225,6585270.008892235
P43652,PXD010271-Sample-100,blood plasma,0.6379051922075034,0.04384243008714111,8.641894618108314,4384243.008714111
P01023,PXD010271-Sample-100,blood plasma,0.6365433410089991,0.043748831748878815,8.640966460288857,4374883.174887882
P0C0L5,PXD010271-Sample-100,blood plasma,0.5395151878816336,0.03708020752080201,8.569142156024967,3708020.752080201
P00450,PXD010271-Sample-100,blood plasma,0.5367113243191007,0.03688750146711897,8.566879239781121,3688750.146711897
P00747,PXD010271-Sample-100,blood plasma,0.5169733833146869,0.03553093734266733,8.55060666477552,3553093.7342667333
Q14624,PXD010271-Sample-100,blood plasma,0.5023186458738035,0.034523735473885014,8.538117780320288,3452373.5473885015
P07996,PXD010271-Sample-100,blood plasma,0.4321987098151261,0.02970447952186988,8.472821947126434,2970447.9521869877
P04114,PXD010271-Sample-100,blood plasma,0.1825048357207351,0.012543330260351163,8.098412857202698,1254333.0260351163
P02753,PXD010271-Sample-101,blood plasma,2.4862547136020714,0.20153090138827967,9.304341647367803,20153090.13882797
P19823,PXD010271-Sample-101,blood plasma,1.602644992775736,0.12990724089229455,9.113633358863062,12990724.089229455
P19827,PXD010271-Sample-101,blood plasma,1.3497946150584275,0.10941168818043674,9.039063719082634,10941168.818043673
P02748,PXD010271-Sample-101,blood plasma,1.0700367465545544,0.08673506735731658,8.938194720090681,8673506.735731658
P01023,PXD010271-Sample-101,blood plasma,0.9526470440665491,0.07721968969843038,8.88772805211152,7721968.969843037
P00734,PXD010271-Sample-101,blood plasma,0.736402114332634,0.059691302372908685,8.775911054636307,5969130.237290869
P06681,PXD010271-Sample-101,blood plasma,0.6964606353481747,0.05645372489603902,8.751692602566127,5645372.489603902
P01042,PXD010271-Sample-101,blood plasma,0.6896267830986869,0.055899786316753915,8.747410147749893,5589978.631675391
P0C0L5,PXD010271-Sample-101,blood plasma,0.5818904972644953,0.047166895564408805,8.673637292747397,4716689.5564408805
P03952,PXD010271-Sample-101,blood plasma,0.5776669767921944,0.046824545328466374,8.670473569020114,4682454.532846637
Q14624,PXD010271-Sample-101,blood plasma,0.5688546963705691,0.04611023926523786,8.663797375771846,4611023.926523786
Q68E01,PXD010271-Sample-101,blood plasma,0.49433083227078917,0.040069481886358095,8.602813726876164,4006948.1886358093
P07996,PXD010271-Sample-101,blood plasma,0.37426740409866344,0.03033737729911742,8.481978032820042,3033737.7299117423
O75962,PXD010271-Sample-101,blood plasma,0.15596308029751713,0.012642059553952003,8.101817831862002,1264205.9553952003
P02753,PXD010271-Sample-102,blood plasma,2.9059728452468887,0.16755012563958468,9.224144757832633,16755012.563958468
P0DOX7,PXD010271-Sample-102,blood plasma,2.5068092928317443,0.14453549098210966,9.159974502076096,14453549.098210966
P00751,PXD010271-Sample-102,blood plasma,1.930123187187167,0.11128541102579036,9.04643823417944,11128541.102579035
Q14624,PXD010271-Sample-102,blood plasma,1.598706809575153,0.09217688570053348,8.964622030910206,9217688.570053348
P01023,PXD010271-Sample-102,blood plasma,1.008435406389878,0.058143516143446525,8.764501291547287,5814351.614344653
P01019,PXD010271-Sample-102,blood plasma,0.9905279740977332,0.057111024551056475,8.756719951320068,5711102.455105647
P06727,PXD010271-Sample-102,blood plasma,0.9609258392272587,0.05540424968395459,8.743543077788127,5540424.9683954595
P19823,PXD010271-Sample-102,blood plasma,0.8936497405197001,0.05152530125901331,8.712020539699084,5152530.125901331
P02748,PXD010271-Sample-102,blood plasma,0.849261310411791,0.04896599068125317,8.689894545588743,4896599.068125317
P09871,PXD010271-Sample-102,blood plasma,0.635304575338987,0.036629854126667444,8.563835189150225,3662985.4126667446
P43652,PXD010271-Sample-102,blood plasma,0.5898135073836804,0.03400696858805776,8.53156792025512,3400696.858805776
P00450,PXD010271-Sample-102,blood plasma,0.5634806903556348,0.032488693285275844,8.511732244111787,3248869.328527584
P0C0L5,PXD010271-Sample-102,blood plasma,0.5194670751433965,0.029950993467906653,8.476411232417284,2995099.3467906653
P03952,PXD010271-Sample-102,blood plasma,0.5021978110002565,0.02895529683515286,8.461728021461006,2895529.683515286
P10643,PXD010271-Sample-102,blood plasma,0.4802539069590921,0.027690073767038567,8.442324112718312,2769007.3767038565
P51805,PXD010271-Sample-102,blood plasma,0.3211835493799169,0.018518529565750574,8.267606499255558,1851852.9565750575
P04114,PXD010271-Sample-102,blood plasma,0.08778779895369158,0.005061594697408116,7.70428736647883,506159.46974081156
P02766,PXD010271-Sample-103,blood plasma,6.608815321050851,0.1288624366469702,9.110126339119038,12886243.66469702
P00450,PXD010271-Sample-103,blood plasma,3.767116698252115,0.0734533820795386,8.866011797194558,7345338.207953859
P00751,PXD010271-Sample-103,blood plasma,3.1544295154884567,0.06150685922516134,8.78892355085716,6150685.922516134
P02753,PXD010271-Sample-103,blood plasma,3.1286176986483034,0.06100356575262131,8.785355220935813,6100356.575262131
P25311,PXD010271-Sample-103,blood plasma,2.9835838769799476,0.05817561388099377,8.764740974747276,5817561.388099377
P01023,PXD010271-Sample-103,blood plasma,2.837144377177932,0.055320253298327245,8.742884159973316,5532025.329832724
P06727,PXD010271-Sample-103,blood plasma,2.22685046083907,0.043420395712695244,8.637693777088389,4342039.571269524
P02774,PXD010271-Sample-103,blood plasma,1.910629694463993,0.037254543514697175,8.57117924629319,3725454.3514697175
P01871,PXD010271-Sample-103,blood plasma,1.79751550890782,0.03504897884659744,8.544675369299874,3504897.884659744
P51884,PXD010271-Sample-103,blood plasma,1.7714029299841203,0.03453982094404173,8.538320081835488,3453982.094404173
P02790,PXD010271-Sample-103,blood plasma,1.631496904685457,0.03181185375994561,8.502588977320432,3181185.375994561
P02765,PXD010271-Sample-103,blood plasma,1.5711886942567004,0.030635930002337556,8.486231068567202,3063593.0002337554
Q14624,PXD010271-Sample-103,blood plasma,1.4586677811489321,0.028441933297569073,8.453959113574237,2844193.329756907
P19823,PXD010271-Sample-103,blood plasma,1.4351613308408275,0.027983591171715626,8.446903447324534,2798359.1171715627
P01042,PXD010271-Sample-103,blood plasma,1.425264590741273,0.027790618909345373,8.443898218814812,2779061.890934537
P01019,PXD010271-Sample-103,blood plasma,1.4232048365394774,0.027750456651445418,8.443270134109907,2775045.6651445418
P04217,PXD010271-Sample-103,blood plasma,1.4091707974245626,0.02747681298181731,8.43896635776604,2747681.2981817313
P05155,PXD010271-Sample-103,blood plasma,1.1273168676599619,0.021981064893305854,8.342048728400655,2198106.4893305856
P01011,PXD010271-Sample-103,blood plasma,1.0203075776055368,0.019894536946859474,8.298733835225855,1989453.6946859474
P22792,PXD010271-Sample-103,blood plasma,0.9524506358499053,0.0185714237362074,8.268845199220495,1857142.3736207401
P05543,PXD010271-Sample-103,blood plasma,0.8824787769671046,0.01720707266958962,8.235706992838955,1720707.266958962
Q96PD5,PXD010271-Sample-103,blood plasma,0.8531292450525675,0.016634798818191715,8.221017552864742,1663479.8818191716
P0C0L5,PXD010271-Sample-103,blood plasma,0.8112070669320407,0.015817376366553226,8.199134448566081,1581737.6366553227
P07954,PXD010271-Sample-103,blood plasma,0.8028758025371145,0.015654928639067082,8.194651092283179,1565492.8639067083
P02748,PXD010271-Sample-103,blood plasma,0.7036284019919553,0.013719746425033982,8.137346084604976,1371974.6425033982
Q14520,PXD010271-Sample-103,blood plasma,0.6986520574408442,0.013622714831125093,8.13426366548321,1362271.4831125094
P43652,PXD010271-Sample-103,blood plasma,0.641994928183294,0.012517981928952034,8.097534320267119,1251798.1928952034
P03952,PXD010271-Sample-103,blood plasma,0.5926245166067027,0.011555329588863383,8.062782337230384,1155532.9588863384
P13671,PXD010271-Sample-103,blood plasma,0.4848123850996182,0.009453147383551372,7.975576429010145,945314.7383551372
