ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P0DML2,PXD010899-Sample 1,blood plasma,15.760188487509417,0.014810171880823626,8.170560098795352,1481017.1880823625
P02771,PXD010899-Sample 1,blood plasma,12.421108891013498,0.011672370401669444,8.067159060657906,1167237.0401669445
Q07654,PXD010899-Sample 1,blood plasma,10.339748589048412,0.009716473500914978,7.987508670585944,971647.3500914978
P11464,PXD010899-Sample 1,blood plasma,9.686946836115714,0.009103022324699757,7.959185607817649,910302.2324699757
O43504,PXD010899-Sample 1,blood plasma,9.418057008029331,0.008850341046546226,7.946960006492094,885034.1046546226
P62987,PXD010899-Sample 1,blood plasma,9.248784929093546,0.008691272607380656,7.939083372064076,869127.2607380656
P31431,PXD010899-Sample 1,blood plasma,8.574870946217754,0.008057981836322232,7.90622628410052,805798.1836322233
Q8TAD7,PXD010899-Sample 1,blood plasma,8.169283274320515,0.007676842794850625,7.8851826472855056,767684.2794850625
Q8N257,PXD010899-Sample 1,blood plasma,7.946581671755814,0.0074675655381266914,7.87317904282245,746756.5538126691
O95969,PXD010899-Sample 1,blood plasma,7.76665052146189,0.007298480551314555,7.863232455070467,729848.0551314555
P48307,PXD010899-Sample 1,blood plasma,7.54190708936648,0.007087284545565182,7.850479869489053,708728.4545565181
P31025,PXD010899-Sample 1,blood plasma,7.066414435055727,0.006640454360507912,7.822197796161751,664045.4360507912
Q9BS40,PXD010899-Sample 1,blood plasma,6.748194832156528,0.006341416882718879,7.80218630450587,634141.6882718878
Q13219,PXD010899-Sample 1,blood plasma,6.603942728900246,0.006205860227093279,7.7928019898614735,620586.0227093279
P01040,PXD010899-Sample 1,blood plasma,6.416932134928108,0.006030122542074007,7.780326137812753,603012.2542074007
P01036,PXD010899-Sample 1,blood plasma,6.02437940182495,0.005661232699534845,7.752911006509202,566123.2699534845
Q9ULZ3,PXD010899-Sample 1,blood plasma,5.935919444909738,0.005578105066415301,7.746486690162133,557810.5066415301
P31944,PXD010899-Sample 1,blood plasma,5.811985064235974,0.005461641390795142,7.737323181136615,546164.1390795142
Q9UIQ6,PXD010899-Sample 1,blood plasma,5.775915307132694,0.005427745901358419,7.73461950807006,542774.5901358419
Q9Y2Y8,PXD010899-Sample 1,blood plasma,5.657821867503924,0.005316771077657174,7.725647961451928,531677.1077657174
Q8WWY7,PXD010899-Sample 1,blood plasma,5.569896048764227,0.005234145385119988,7.718845781559203,523414.5385119988
P20933,PXD010899-Sample 1,blood plasma,5.520724879476028,0.005187938230344113,7.714994796559999,518793.8230344113
O75711,PXD010899-Sample 1,blood plasma,5.496063837193722,0.005164763743868227,7.713050460012256,516476.3743868227
P05120,PXD010899-Sample 1,blood plasma,5.48000923071414,0.00514967690137075,7.711779981593882,514967.690137075
Q9UQ72,PXD010899-Sample 1,blood plasma,5.352651317705739,0.0050299960623038644,7.7015676450717585,502999.6062303864
O60234,PXD010899-Sample 1,blood plasma,5.268795424139007,0.004951194961801316,7.694710027758962,495119.49618013157
Q8TAC1,PXD010899-Sample 1,blood plasma,5.261737354735363,0.004944562349437726,7.694127857584238,494456.23494377255
Q9NPD7,PXD010899-Sample 1,blood plasma,5.183167669464659,0.004870728807129297,7.687593949558214,487072.8807129297
P04271,PXD010899-Sample 1,blood plasma,5.159413474665016,0.004848406503804556,7.685599025134732,484840.6503804556
P28676,PXD010899-Sample 1,blood plasma,5.102216886565126,0.00479465769861562,7.680757607354685,479465.769861562
P18827,PXD010899-Sample 1,blood plasma,5.004526438474986,0.004702855983904131,7.672361679500194,470285.59839041304
Q8TD06,PXD010899-Sample 1,blood plasma,4.818095452908566,0.004527662968773741,7.65587409127,452766.2968773741
Q6P4E1,PXD010899-Sample 1,blood plasma,4.641204692907546,0.004361435098985196,7.6396294142732,436143.5098985196
P15086,PXD010899-Sample 1,blood plasma,4.627049845778102,0.004348133499254965,7.638302869613825,434813.3499254965
Q9Y5Z4,PXD010899-Sample 1,blood plasma,4.526188126382001,0.004253351675951549,7.6287312925684665,425335.1675951549
P47929,PXD010899-Sample 1,blood plasma,4.464841019360642,0.004195702543131996,7.622804691043076,419570.2543131996
Q8TDQ7,PXD010899-Sample 1,blood plasma,4.404717815447356,0.004139203537127894,7.616916782495988,413920.3537127894
Q8NFP4,PXD010899-Sample 1,blood plasma,4.342418359029544,0.004080659462076957,7.610730353677541,408065.9462076957
Q16820,PXD010899-Sample 1,blood plasma,4.334947218435915,0.004073638678256691,7.609982505518756,407363.8678256691
P48745,PXD010899-Sample 1,blood plasma,4.311639109764255,0.004051735571201989,7.607641094211649,405173.5571201989
Q13951,PXD010899-Sample 1,blood plasma,4.201317057022577,0.003948063678911839,7.596384148854995,394806.3678911839
P01037,PXD010899-Sample 1,blood plasma,4.182100519176214,0.00393000550475456,7.594393158691675,393000.55047545594
P62166,PXD010899-Sample 1,blood plasma,3.8995884960196636,0.003664523170919291,7.564017472098316,366452.3170919291
Q9UN70,PXD010899-Sample 1,blood plasma,3.890087575068527,0.0036555949609284035,7.562958069999821,365559.49609284033
P49862,PXD010899-Sample 1,blood plasma,3.884757583727704,0.003650586258910439,7.562362614748105,365058.6258910439
Q5T750,PXD010899-Sample 1,blood plasma,3.87929894013577,0.0036454566597373854,7.561751939343058,364545.66597373853
Q92956,PXD010899-Sample 1,blood plasma,3.7989710773082184,0.0035699709219723756,7.552664678723294,356997.09219723754
P25445,PXD010899-Sample 1,blood plasma,3.7406356188712016,0.003515151897004268,7.545944096526666,351515.18970042677
Q00887,PXD010899-Sample 1,blood plasma,3.714737564909655,0.0034908149653201494,7.542926829143552,349081.4965320149
P01178,PXD010899-Sample 1,blood plasma,3.6661944031917826,0.0034451979621193253,7.537214181653212,344519.79621193255
P04216,PXD010899-Sample 1,blood plasma,3.6518477298087113,0.003431716099330075,7.535511352138707,343171.6099330075
P10746,PXD010899-Sample 1,blood plasma,3.6486794454074887,0.0034287387975937013,7.535134401684059,342873.8797593701
P08397,PXD010899-Sample 1,blood plasma,3.6379085767207835,0.0034186171917079396,7.533850472297987,341861.71917079395
Q9Y5Y6,PXD010899-Sample 1,blood plasma,3.6378198567865936,0.003418533819768851,7.533839880759777,341853.3819768851
Q1L6U9,PXD010899-Sample 1,blood plasma,3.5988874151970873,0.0033819482070943777,7.529166952302128,338194.8207094378
P04054,PXD010899-Sample 1,blood plasma,3.5867264564049046,0.003370520305068296,7.527696947808456,337052.03050682956
P09466,PXD010899-Sample 1,blood plasma,3.5501926949811664,0.003336188781269111,7.523250617608319,333618.8781269111
Q9GZP4,PXD010899-Sample 1,blood plasma,3.5478392945956045,0.0033339772427305845,7.522962631067793,333397.72427305847
Q6PUV4,PXD010899-Sample 1,blood plasma,3.495591769341594,0.0032848791732517308,7.516519399662892,328487.9173251731
Q9NU53,PXD010899-Sample 1,blood plasma,3.4659515428322933,0.0032570256453870613,7.512821178155367,325702.56453870615
Q9BUH6,PXD010899-Sample 1,blood plasma,3.4653455902366423,0.003256456219323386,7.512745243777081,325645.6219323386
Q9UHG2,PXD010899-Sample 1,blood plasma,3.4001102823324745,0.0031951532645062603,7.504491695149474,319515.326450626
P31937,PXD010899-Sample 1,blood plasma,3.3846566102746003,0.0031806311323916356,7.502513305556346,318063.11323916353
Q9BRT3,PXD010899-Sample 1,blood plasma,3.348109292618121,0.0031462868695229206,7.49779831783303,314628.68695229205
Q99519,PXD010899-Sample 1,blood plasma,3.3427923689613217,0.0031412904474752514,7.497108093642723,314129.0447475251
O95393,PXD010899-Sample 1,blood plasma,3.325745658362615,0.0031252713044193424,7.494887724367409,312527.1304419342
P48426,PXD010899-Sample 1,blood plasma,3.3084200921440448,0.0031089901150266534,7.4926193412145645,310899.01150266535
Q9UHF0,PXD010899-Sample 1,blood plasma,3.294465401885444,0.0030958766068070447,7.49078364256294,309587.66068070446
Q96D15,PXD010899-Sample 1,blood plasma,3.263473426235768,0.0030667528125921614,7.486678772248048,306675.28125921614
P78318,PXD010899-Sample 1,blood plasma,3.2510008882680985,0.003055032113233922,7.485015779726523,305503.21132339217
P19526,PXD010899-Sample 1,blood plasma,3.2366239820119564,0.0030415218399946964,7.483090939311231,304152.1839994696
Q5BLP8,PXD010899-Sample 1,blood plasma,3.22970437601662,0.0030350193445315404,7.4821614635155695,303501.93445315404
P36222,PXD010899-Sample 1,blood plasma,3.1805292101388583,0.002988808434078606,7.475498080081527,298880.8434078606
Q6JBY9,PXD010899-Sample 1,blood plasma,3.1420309008776073,0.002952630784443761,7.470209143441959,295263.0784443761
Q9GZM7,PXD010899-Sample 1,blood plasma,3.1270776904187545,0.002938578946342887,7.468137362738192,293857.89463428874
Q6P9A2,PXD010899-Sample 1,blood plasma,3.1122003998733003,0.002924598451739428,7.466066245746353,292459.8451739428
P09958,PXD010899-Sample 1,blood plasma,3.105037049576368,0.002917866904764327,7.4650654781521215,291786.69047643273
Q8TF66,PXD010899-Sample 1,blood plasma,3.102913328384688,0.0029158712004679816,7.464768336463005,291587.12004679814
Q9NQX5,PXD010899-Sample 1,blood plasma,3.0830963977146713,0.002897248824878634,7.461985795387127,289724.8824878634
P01909,PXD010899-Sample 1,blood plasma,3.078596864052839,0.0028930205209488874,7.461351514222907,289302.05209488876
Q92187,PXD010899-Sample 1,blood plasma,3.071476433335223,0.0028863293063814367,7.460345879004715,288632.9306381437
P57087,PXD010899-Sample 1,blood plasma,3.0670913338164256,0.0028822085385594417,7.459725400443659,288220.8538559442
Q9Y275,PXD010899-Sample 1,blood plasma,3.0444278870239874,0.002860911233474929,7.45650438300272,286091.1233474929
P55808,PXD010899-Sample 1,blood plasma,3.043516114771744,0.002860054422416953,7.456374297160687,286005.4422416953
O14558,PXD010899-Sample 1,blood plasma,3.016884296845678,0.0028350279577083336,7.452557346057351,283502.7957708334
Q9BX97,PXD010899-Sample 1,blood plasma,3.0117289718965283,0.0028301833932756863,7.45181457831831,283018.33932756865
Q9BRN9,PXD010899-Sample 1,blood plasma,2.993476948006684,0.0028130315926360094,7.449174609673356,281303.15926360094
Q9BSL1,PXD010899-Sample 1,blood plasma,2.9824112834552317,0.0028026329610389045,7.447566225326153,280263.29610389046
P05408,PXD010899-Sample 1,blood plasma,2.9570217144041777,0.002778773863038639,7.443853205276639,277877.3863038639
P54317,PXD010899-Sample 1,blood plasma,2.951851774997745,0.0027739155651011873,7.443093237498362,277391.5565101187
Q9H8M7,PXD010899-Sample 1,blood plasma,2.934768427814667,0.0027578619938966493,7.440572529864218,275786.1993896649
Q14032,PXD010899-Sample 1,blood plasma,2.928052309399019,0.0027515507198794292,7.439577522657166,275155.0719879429
O95998,PXD010899-Sample 1,blood plasma,2.927921988775862,0.0027514282549209613,7.43955819281566,275142.82549209613
