ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P04211,PXD011839-Sample-1,blood plasma,14.611669610100638,0.3101213138642889,9.491531615239435,31012131.38642889
P54710,PXD011839-Sample-1,blood plasma,5.425184446907051,0.11514531696418039,9.06124627961703,11514531.69641804
P16104,PXD011839-Sample-1,blood plasma,4.846788875262714,0.10286932117464839,9.012285873974035,10286932.117464839
Q92686,PXD011839-Sample-1,blood plasma,4.359182370590522,0.09252025266209583,8.966236810108139,9252025.266209584
P02810,PXD011839-Sample-1,blood plasma,4.209437722072276,0.089342039057367,8.951055860171383,8934203.9057367
P51397,PXD011839-Sample-1,blood plasma,2.697003957928976,0.057241809680116405,8.757713355375387,5724180.968011641
Q9HCY8,PXD011839-Sample-1,blood plasma,2.4871088938262838,0.052786950325223854,8.722526572113,5278695.032522385
P10163,PXD011839-Sample-1,blood plasma,2.146173963557656,0.04555087181137301,8.65849669347686,4555087.181137301
P62736,PXD011839-Sample-1,blood plasma,2.0646741253550998,0.04382110118436458,8.641683286786627,4382110.118436458
P02585,PXD011839-Sample-1,blood plasma,1.7695775320544265,0.03755790569245322,8.57470136709861,3755790.569245322
Q9NQ25,PXD011839-Sample-1,blood plasma,1.3994677589717297,0.029702613849344736,8.472794669195904,2970261.384934474
P02812,PXD011839-Sample-1,blood plasma,0.749209462095077,0.0159013876541438,8.201435025216123,1590138.76541438
O15231,PXD011839-Sample-1,blood plasma,0.3505012441858751,0.007439116080399991,7.87152133551761,743911.6080399991
P04211,PXD011839-Sample-10,blood plasma,12.85025912329271,0.3134709200880013,9.496197258624187,31347092.00880013
P54710,PXD011839-Sample-10,blood plasma,5.06406768287001,0.12353353661637406,9.091784874925631,12353353.661637407
P16104,PXD011839-Sample-10,blood plasma,4.776656203364398,0.11652238298436915,9.06640935774742,11652238.298436916
Q92686,PXD011839-Sample-10,blood plasma,4.063037564365733,0.09911427555147104,8.996136210960822,9911427.555147104
P62736,PXD011839-Sample-10,blood plasma,2.7491784334915654,0.0670638221972188,8.826488301730091,6706382.219721881
P51397,PXD011839-Sample-10,blood plasma,2.6105158071271317,0.06368126775600222,8.80401170067741,6368126.775600222
Q9HCY8,PXD011839-Sample-10,blood plasma,2.5003668578047646,0.060994279722568566,8.785289107118755,6099427.972256857
P10163,PXD011839-Sample-10,blood plasma,2.2714985969146735,0.05541123710593266,8.743597846284837,5541123.710593266
P02585,PXD011839-Sample-10,blood plasma,1.6310725886355597,0.0397886003841839,8.5997586625413,3978860.03841839
Q9NQ25,PXD011839-Sample-10,blood plasma,1.2930786076398113,0.03154353052291599,8.498910300305837,3154353.0522915986
P02812,PXD011839-Sample-10,blood plasma,0.8781458104839743,0.021421605007549444,8.330852007103143,2142160.5007549445
O15231,PXD011839-Sample-10,blood plasma,0.30558750755396463,0.007454542063412858,7.872420969661399,745454.2063412858
P04211,PXD011839-Sample-11,blood plasma,12.822900584772928,0.35751209579444465,9.553290739977422,35751209.57944447
Q92686,PXD011839-Sample-11,blood plasma,4.530868535114497,0.12632401655530529,9.101485925898855,12632401.65553053
P02810,PXD011839-Sample-11,blood plasma,4.0026228256616285,0.11159612956652361,9.047649132441613,11159612.95665236
P51397,PXD011839-Sample-11,blood plasma,2.8958614021129616,0.08073879011657155,8.907082237152155,8073879.011657155
Q8NDX9,PXD011839-Sample-11,blood plasma,2.5046912024086865,0.069832671256485,8.844058655097903,6983267.1256484995
P16104,PXD011839-Sample-11,blood plasma,2.3646526218842365,0.06592829048987221,8.819071814702587,6592829.048987221
Q9HCY8,PXD011839-Sample-11,blood plasma,2.255031878700536,0.06287198186616753,8.798457150504069,6287198.186616753
P02585,PXD011839-Sample-11,blood plasma,1.7264319681187237,0.0481342194839751,8.68245393394591,4813421.94839751
P10163,PXD011839-Sample-11,blood plasma,1.1568945479988748,0.03225508859979739,8.508598239172256,3225508.8599797385
P02812,PXD011839-Sample-11,blood plasma,0.8381945627368335,0.023369493729320685,8.368649304050594,2336949.3729320685
P62736,PXD011839-Sample-11,blood plasma,0.7688897150540912,0.02143722254153695,8.331168516420817,2143722.254153695
Q96DR8,PXD011839-Sample-12,blood plasma,10.97694601698903,0.2301421619812072,9.36199618858791,23014216.19812072
P04211,PXD011839-Sample-12,blood plasma,10.111521389318005,0.21199770772810855,9.326331165049432,21199770.772810854
P02810,PXD011839-Sample-12,blood plasma,8.120020623751836,0.17024399125129686,9.231071792464666,17024399.125129685
P54710,PXD011839-Sample-12,blood plasma,5.429381252247636,0.11383216585729829,9.056264999145622,11383216.585729828
Q92686,PXD011839-Sample-12,blood plasma,4.089126750464337,0.08573244958210961,8.93314523274102,8573244.958210962
P51397,PXD011839-Sample-12,blood plasma,2.571782247113658,0.05391987221031954,8.731748854253917,5391987.221031954
P16104,PXD011839-Sample-12,blood plasma,2.250696747942227,0.047188007915299736,8.673831643593127,4718800.791529974
Q9HCY8,PXD011839-Sample-12,blood plasma,2.088808276903253,0.04379386143165317,8.641413239883246,4379386.143165316
P02585,PXD011839-Sample-12,blood plasma,1.708637859451776,0.035823225367836546,8.554164685264897,3582322.5367836547
O15231,PXD011839-Sample-12,blood plasma,0.3494501677490593,0.007326556674870492,7.864899913460343,732655.6674870491
Q96DR8,PXD011839-Sample-13,blood plasma,10.603355509897469,0.2064895895454965,9.314898160995256,20648958.95454965
P04211,PXD011839-Sample-13,blood plasma,8.931209906971755,0.1739262506207436,9.24036513484547,17392625.06207436
P02810,PXD011839-Sample-13,blood plasma,8.17932399303831,0.15928403537027533,9.202172249761963,15928403.537027532
P54710,PXD011839-Sample-13,blood plasma,5.141197764877109,0.10011960980189409,9.000519148355139,10011960.98018941
P16104,PXD011839-Sample-13,blood plasma,4.668927714092458,0.09092262976570399,8.958671988383964,9092262.9765704
Q92686,PXD011839-Sample-13,blood plasma,3.8652094677341053,0.07527103243447697,8.876627872956304,7527103.243447697
P62736,PXD011839-Sample-13,blood plasma,2.6455831338643647,0.051520047112465765,8.711976251492178,5152004.711246576
Q9HCY8,PXD011839-Sample-13,blood plasma,2.2378702120655225,0.043580251658464984,8.639289733793833,4358025.165846499
P02585,PXD011839-Sample-13,blood plasma,1.5193862845075126,0.029588506200340255,8.47112304000601,2958850.6200340255
Q9NQ25,PXD011839-Sample-13,blood plasma,1.3502448469814619,0.026294648328906198,8.419867366827104,2629464.83289062
P10163,PXD011839-Sample-13,blood plasma,0.9731158252726897,0.018950443296296478,8.277619373611934,1895044.3296296478
