ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P41218,PXD017052-Sample-1,blood plasma,0.8285032427192615,1.0,10.0,100000000.0
O95379,PXD017052-Sample-10,blood plasma,1.8481995414506602,0.43555030052268345,9.639038317731664,43555030.05226835
P41218,PXD017052-Sample-10,blood plasma,1.6924746101034058,0.3988518601616746,9.600811621850623,39885186.01616746
Q9UM07,PXD017052-Sample-10,blood plasma,0.7026923189379133,0.1655978393156419,9.219054665906496,16559783.93156419
O95379,PXD017052-Sample-11,blood plasma,1.8481995414506602,0.4476787180015234,9.650966449142905,44767871.80015234
O60240,PXD017052-Sample-11,blood plasma,1.3524361441120676,0.3275928088910725,9.515334359836844,32759280.88910725
P41218,PXD017052-Sample-11,blood plasma,0.9277703948093369,0.22472847310740404,9.35165810103518,22472847.310740404
O95379,PXD017052-Sample-12,blood plasma,1.8481995414506602,1.0,10.0,100000000.0
P41218,PXD017052-Sample-13,blood plasma,0.8285032427192615,1.0,10.0,100000000.0
O95379,PXD017052-Sample-2,blood plasma,1.8931986398946192,0.6687708754052105,9.825277351562805,66877087.540521055
Q6UWY5,PXD017052-Sample-2,blood plasma,0.9376642303634849,0.3312291245947895,9.520128516804563,33122912.45947895
Q8N8K9,PXD017052-Sample-21,blood plasma,0.6864741153959595,1.0,10.0,100000000.0
Q8N8K9,PXD017052-Sample-22,blood plasma,0.6864741153959595,1.0,10.0,100000000.0
Q8N8K9,PXD017052-Sample-23,blood plasma,0.6864741153959595,1.0,10.0,100000000.0
Q6UWY5,PXD017052-Sample-24,blood plasma,0.9610637615543434,1.0,10.0,100000000.0
Q8N8K9,PXD017052-Sample-25,blood plasma,0.6864741153959595,1.0,10.0,100000000.0
P41218,PXD017052-Sample-26,blood plasma,0.8285032427192615,0.4503564597461311,9.653556396483527,45035645.97461311
Q8N8K9,PXD017052-Sample-26,blood plasma,0.6864741153959595,0.3731524952182229,9.571886350032207,37315249.52182229
Q8WWZ7,PXD017052-Sample-26,blood plasma,0.3246837032278187,0.17649104503564597,9.246722674651506,17649104.503564596
O95379,PXD017052-Sample-27,blood plasma,1.8481995414506602,0.6904761904761905,9.839148707501055,69047619.04761904
P41218,PXD017052-Sample-27,blood plasma,0.8285032427192615,0.30952380952380953,9.490694061908936,30952380.952380955
P41218,PXD017052-Sample-28,blood plasma,0.8285032427192615,1.0,10.0,100000000.0
O95379,PXD017052-Sample-29,blood plasma,1.8481995414506602,0.6718793499200403,9.827291293339185,67187934.99200402
P41218,PXD017052-Sample-29,blood plasma,0.9025912689390514,0.3281206500799597,9.516033563313712,32812065.00799597
P17213,PXD017052-Sample-3,blood plasma,1.001108084952441,1.0,10.0,100000000.0
O95379,PXD017052-Sample-30,blood plasma,1.6905074742615085,0.6503836753247079,9.813169631901243,65038367.532470785
P41218,PXD017052-Sample-30,blood plasma,0.9087389988568593,0.3496163246752922,9.54359170299805,34961632.46752922
O95379,PXD017052-Sample-31,blood plasma,1.703701011263554,0.65336941894057,9.815158803392908,65336941.894057
P41218,PXD017052-Sample-31,blood plasma,0.9038605945827725,0.34663058105942995,9.539866875168105,34663058.105942994
O95379,PXD017052-Sample-32,blood plasma,3.577896291450853,0.7879758131034977,9.89651288703664,78797581.31034978
P41218,PXD017052-Sample-32,blood plasma,0.9627206056072674,0.21202418689650232,9.326385406384041,21202418.689650234
O95379,PXD017052-Sample-33,blood plasma,3.629609340061898,0.7896249946798549,9.89742088697634,78962499.4679855
P41218,PXD017052-Sample-33,blood plasma,0.9670148353588468,0.2103750053201451,9.322994139966696,21037500.53201451
O95379,PXD017052-Sample-34,blood plasma,1.8481995414506602,0.6674134954145706,9.824394984046108,66741349.541457064
P41218,PXD017052-Sample-34,blood plasma,0.9209975966782781,0.3325865045854294,9.521904622805964,33258650.45854294
O95379,PXD017052-Sample-35,blood plasma,3.6301898313741883,0.7795384954520229,9.891837566541652,77953849.54520229
P41218,PXD017052-Sample-35,blood plasma,1.0266550230536713,0.22046150454797708,9.343332766947036,22046150.454797707
O95379,PXD017052-Sample-36,blood plasma,3.6081148930513955,0.7774674580519422,9.890682220098565,77746745.80519421
