ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
O60524,PXD020727-Sample-1,blood plasma,0.8158482942313773,1.0,10.0,100000000.0
Q53QZ3,PXD020727-Sample-10,blood plasma,0.7895306073206878,1.0,10.0,100000000.0
O60524,PXD020727-Sample-13,blood plasma,0.8158482942313773,1.0,10.0,100000000.0
O60524,PXD020727-Sample-14,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
Q53QZ3,PXD020727-Sample-15,blood plasma,0.7435062574604092,0.6326583994546162,9.801169278300959,63265839.94546162
O60524,PXD020727-Sample-15,blood plasma,0.43170339454349926,0.36734160054538384,9.565070113927243,36734160.054538384
O60524,PXD020727-Sample-16,blood plasma,0.8711223212920282,0.5313509418792501,9.725381454751243,53135094.18792501
Q53QZ3,PXD020727-Sample-16,blood plasma,0.7683258336526022,0.4686490581207499,9.670847748528887,46864905.81207499
O60524,PXD020727-Sample-17,blood plasma,0.8908856917611393,0.5348802617042414,9.728256571738548,53488026.17042414
Q53QZ3,PXD020727-Sample-17,blood plasma,0.7746939819448777,0.4651197382957587,9.667564770066317,46511973.82957587
O60524,PXD020727-Sample-18,blood plasma,0.8158482942313773,1.0,10.0,100000000.0
P29034,PXD020727-Sample-19,blood plasma,4.768411087002025,0.9193195615913474,9.963466501279324,91931956.15913475
O60524,PXD020727-Sample-19,blood plasma,0.41848070364787515,0.08068043840865263,8.906768249455718,8068043.840865264
O60524,PXD020727-Sample-2,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
P29034,PXD020727-Sample-20,blood plasma,4.770198426919135,0.9193737448385857,9.96349209715789,91937374.48385857
O60524,PXD020727-Sample-20,blood plasma,0.41833175865478267,0.08062625516141424,8.906476488640944,8062625.516141424
P29034,PXD020727-Sample-21,blood plasma,4.819859503883123,0.9208656564465684,9.96419627632103,92086565.64465684
O60524,PXD020727-Sample-21,blood plasma,0.4141933355744502,0.07913434355343169,8.898365004088639,7913434.355343169
P29034,PXD020727-Sample-22,blood plasma,4.823763127805554,0.9209818292223239,9.964251061742642,92098182.92223239
O60524,PXD020727-Sample-22,blood plasma,0.4138680335809143,0.07901817077767616,8.897726971810163,7901817.077767616
P29034,PXD020727-Sample-23,blood plasma,4.895089765388264,1.0,10.0,100000000.0
O60524,PXD020727-Sample-24,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
Q53QZ3,PXD020727-Sample-25,blood plasma,0.7895306073206878,1.0,10.0,100000000.0
O60524,PXD020727-Sample-26,blood plasma,1.608001880338281,0.6612911930873301,9.820392738915922,66129119.30873301
Q53QZ3,PXD020727-Sample-26,blood plasma,0.8236075182854933,0.33870880691266986,9.52982648906816,33870880.691266984
O60524,PXD020727-Sample-27,blood plasma,2.0283008747663813,0.5539330874131231,9.743457307106908,55393308.74131231
Q53QZ3,PXD020727-Sample-27,blood plasma,1.633334295356026,0.44606691258687686,9.649400010253792,44606691.25868769
Q53QZ3,PXD020727-Sample-28,blood plasma,1.6292845774086662,0.5050956220756628,9.703373604274335,50509562.20756628
O60524,PXD020727-Sample-28,blood plasma,1.5964107289834395,0.4949043779243373,9.694521295597319,49490437.79243373
O60524,PXD020727-Sample-29,blood plasma,2.010476733298122,0.5441491964057237,9.7357179921468,54414919.64057237
Q53QZ3,PXD020727-Sample-29,blood plasma,1.6842392500717924,0.4558508035942763,9.658822724730124,45585080.35942763
O60524,PXD020727-Sample-3,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
Q53QZ3,PXD020727-Sample-30,blood plasma,2.3839501313146583,0.593465217661952,9.773395270518682,59346521.7661952
O60524,PXD020727-Sample-30,blood plasma,1.6330504617556447,0.4065347823380478,9.609097708924558,40653478.23380478
Q53QZ3,PXD020727-Sample-32,blood plasma,0.7975377266119956,0.6638818123034033,9.822090770884506,66388181.230340324
O60524,PXD020727-Sample-32,blood plasma,0.4037871354818462,0.33611818769659685,9.52649201322092,33611818.76965968
O60524,PXD020727-Sample-33,blood plasma,0.8158482942313773,1.0,10.0,100000000.0
O60524,PXD020727-Sample-34,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
P29034,PXD020727-Sample-37,blood plasma,14.708416015008515,1.0,10.0,100000000.0
P29034,PXD020727-Sample-38,blood plasma,4.895089765388264,1.0,10.0,100000000.0
P29034,PXD020727-Sample-39,blood plasma,4.895089765388264,1.0,10.0,100000000.0
O60524,PXD020727-Sample-4,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
O60524,PXD020727-Sample-5,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
O60524,PXD020727-Sample-6,blood plasma,0.4079241471156887,1.0,10.0,100000000.0
