ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
Q9UHA4,PXD037340-Sample-1,blood plasma,2.1941194839034086,0.15645193068905752,9.194380926909698,15645193.068905752
Q5T013,PXD037340-Sample-1,blood plasma,1.3251845076126376,0.09449242680548219,8.975397002917877,9449242.680548219
P51575,PXD037340-Sample-1,blood plasma,1.08421478474259,0.07731005426050289,8.888235978082735,7731005.426050289
Q9NX57,PXD037340-Sample-1,blood plasma,1.0411340838078638,0.07423818015058202,8.870627317194545,7423818.015058202
Q8WU79,PXD037340-Sample-1,blood plasma,0.9677959613170546,0.06900879727468447,8.838904458336016,6900879.727468447
Q96BZ9,PXD037340-Sample-1,blood plasma,0.8568187352764304,0.06109555398782253,8.786009607152376,6109555.398782253
Q6ZVM7,PXD037340-Sample-1,blood plasma,0.8475342736090873,0.060433524429304504,8.7812779226543,6043352.442930451
Q13287,PXD037340-Sample-1,blood plasma,0.7882204221418649,0.056204143738449,8.749768335789737,5620414.3738449
O95219,PXD037340-Sample-1,blood plasma,0.7441890801885017,0.05306448406632467,8.724803946041693,5306448.406632467
Q6DHV5,PXD037340-Sample-1,blood plasma,0.6238565239001244,0.044484157929038017,8.648205373925673,4448415.792903801
Q684P5,PXD037340-Sample-1,blood plasma,0.448248131293923,0.031962382214451766,8.504639140605518,3196238.2214451768
Q9Y6N5,PXD037340-Sample-1,blood plasma,0.44048096979477497,0.03140854391100916,8.497047803126556,3140854.391100916
O43815,PXD037340-Sample-1,blood plasma,0.43398658965017817,0.03094546142178973,8.49059696275813,3094546.1421789727
P35611,PXD037340-Sample-1,blood plasma,0.42860860540201184,0.030561983664532822,8.485181539255803,3056198.366453282
Q93050,PXD037340-Sample-1,blood plasma,0.3782862222116365,0.026973740606318682,8.430941176784252,2697374.0606318684
Q92888,PXD037340-Sample-1,blood plasma,0.3529309201910189,0.02516577801201522,8.400810361361494,2516577.801201522
Q9Y3P9,PXD037340-Sample-1,blood plasma,0.2857342289266394,0.02037431056397741,8.309082921788647,2037431.056397741
O00534,PXD037340-Sample-1,blood plasma,0.26051656208663215,0.018576162061338143,8.268955991263892,1857616.2061338143
Q9H2G2,PXD037340-Sample-1,blood plasma,0.2545575625861769,0.01815125494772792,8.258906656811916,1815125.4947727919
