ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P13501,PXD038674-Sample-1,blood plasma,35.82729398165663,0.30116977391916183,9.478811382937613,30116977.391916182
Q07108,PXD038674-Sample-1,blood plasma,8.224833996200394,0.06913922654684876,8.839724516827527,6913922.654684876
Q70IA8,PXD038674-Sample-1,blood plasma,5.801228907259537,0.04876602735744414,8.688117377961612,4876602.735744414
P29965,PXD038674-Sample-1,blood plasma,5.442406437477445,0.04574971018437722,8.660388347239092,4574971.018437722
O15551,PXD038674-Sample-1,blood plasma,5.276491648311991,0.04435500480784533,8.646942630657001,4435500.480784533
P31645,PXD038674-Sample-1,blood plasma,4.160240765146662,0.03497162725518703,8.543715840816716,3497162.725518703
Q70IA6,PXD038674-Sample-1,blood plasma,4.143684338345391,0.03483245137103566,8.541984039472627,3483245.137103566
P43119,PXD038674-Sample-1,blood plasma,4.09521178230433,0.03442498356864889,8.536873741636388,3442498.356864889
P21731,PXD038674-Sample-1,blood plasma,3.9515764351791742,0.03321756262743487,8.521367762483525,3321756.2627434866
Q15049,PXD038674-Sample-1,blood plasma,3.859772193768089,0.03244584197656035,8.511159048675985,3244584.197656035
O95858,PXD038674-Sample-1,blood plasma,3.6950784545685087,0.031061400934877595,8.492221039433948,3106140.0934877596
Q9H3Z4,PXD038674-Sample-1,blood plasma,3.1295833997500346,0.026307762049973767,8.42008390507217,2630776.2049973765
Q92558,PXD038674-Sample-1,blood plasma,3.07612922797648,0.025858418015330235,8.412601951780708,2585841.8015330234
P0C7M8,PXD038674-Sample-1,blood plasma,3.074999766194331,0.02584892358491765,8.412442462677005,2584892.358491765
Q8WV99,PXD038674-Sample-1,blood plasma,3.052495855388836,0.025659752230445334,8.409252458528782,2565975.2230445333
Q13530,PXD038674-Sample-1,blood plasma,2.990520388148039,0.025138776868281455,8.400344143187704,2513877.6868281458
P57057,PXD038674-Sample-1,blood plasma,2.6779402356984954,0.022511179766109987,8.352398256106039,2251117.9766109986
Q9C0H2,PXD038674-Sample-1,blood plasma,2.448915618416867,0.020585963414466307,8.313571196608985,2058596.3414466307
P31641,PXD038674-Sample-1,blood plasma,2.3277924690200953,0.01956778348887998,8.291541634392491,1956778.348887998
Q8TBF2,PXD038674-Sample-1,blood plasma,2.0456334809573944,0.017195911399192958,8.235425198776865,1719591.1399192957
Q0VDG4,PXD038674-Sample-1,blood plasma,1.8066557192732364,0.015187027376442737,8.181472775815031,1518702.7376442738
P25942,PXD038674-Sample-1,blood plasma,1.6783377725677489,0.014108366872000257,8.149476744475297,1410836.6872000257
Q8IX19,PXD038674-Sample-1,blood plasma,1.668504660453357,0.014025708210870859,8.14692479964712,1402570.8210870859
Q96K49,PXD038674-Sample-1,blood plasma,1.5140835686021308,0.012727620631468537,8.104747221940595,1272762.0631468538
O60669,PXD038674-Sample-1,blood plasma,1.456850323341883,0.012246509120660215,8.08801231027669,1224650.9120660215
Q9H4A5,PXD038674-Sample-1,blood plasma,1.3400167430576273,0.011264387976417756,8.05170760034878,1126438.7976417756
Q8WUY3,PXD038674-Sample-1,blood plasma,0.1941789692175967,0.0016322984451201182,7.21279956692951,163229.84451201183
P13501,PXD038674-Sample-10,blood plasma,35.193809689711806,0.3675430926734509,9.565308265360704,36754309.26734509
Q07108,PXD038674-Sample-10,blood plasma,5.774028512938541,0.060300499307709254,8.780320908254332,6030049.930770925
P29965,PXD038674-Sample-10,blood plasma,4.958044805375226,0.051778853652034704,8.714152431226186,5177885.36520347
P31645,PXD038674-Sample-10,blood plasma,4.932499387117259,0.05151207258704205,8.711909024060493,5151207.258704205
O95858,PXD038674-Sample-10,blood plasma,4.891768433208248,0.0510867028729007,8.70830787429486,5108670.28729007
P0C7M8,PXD038674-Sample-10,blood plasma,4.656109966939154,0.04862562684075563,8.686865212929682,4862562.684075563
Q70IA6,PXD038674-Sample-10,blood plasma,4.077921717592293,0.042587374682606455,8.629280868625067,4258737.468260646
P21731,PXD038674-Sample-10,blood plasma,3.828397255796847,0.039981490488921495,8.601858980353587,3998149.0488921497
Q9UHQ4,PXD038674-Sample-10,blood plasma,3.1341946015579403,0.03273165329509039,8.514967942332163,3273165.329509039
Q13530,PXD038674-Sample-10,blood plasma,2.9959385287974754,0.03128778958691896,8.49537488228608,3128778.958691896
Q15049,PXD038674-Sample-10,blood plasma,2.811969918929506,0.029366531490058953,8.467852654603057,2936653.1490058955
P43119,PXD038674-Sample-10,blood plasma,2.789658271644713,0.029133521994412073,8.464392990301473,2913352.199441207
P57057,PXD038674-Sample-10,blood plasma,2.710759111968285,0.02830954637448116,8.45193291038813,2830954.6374481157
P25942,PXD038674-Sample-10,blood plasma,1.8429314001920736,0.019246472955998833,8.28435115378776,1924647.2955998832
Q70IA8,PXD038674-Sample-10,blood plasma,1.8376118288086158,0.01919091853505915,8.283095761872566,1919091.853505915
Q8IX19,PXD038674-Sample-10,blood plasma,1.6991231516427974,0.017744625645640597,8.249066841567663,1774462.5645640597
Q96K49,PXD038674-Sample-10,blood plasma,1.5407808686934796,0.01609099357541946,8.206582861438969,1609099.357541946
O60669,PXD038674-Sample-10,blood plasma,1.4397121696149668,0.015035492549548475,8.177117659775888,1503549.2549548475
