ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P0DJI8,PXD002854-Sample-Serum-1,Blood serum,50.2102651103186,0.12043777820453269,9.080762735196654,12043777.82045327
P05109,PXD002854-Sample-Serum-1,Blood serum,20.700839385654813,0.04965445008305253,8.695958176495212,4965445.008305253
P04259,PXD002854-Sample-Serum-1,Blood serum,18.09018687486988,0.04339236030176583,8.637413273963116,4339236.030176584
P01764,PXD002854-Sample-Serum-1,Blood serum,17.070405078330307,0.04094624189233699,8.612214047724823,4094624.189233699
P20742,PXD002854-Sample-Serum-1,Blood serum,14.632601559869727,0.03509875953355042,8.545291767826114,3509875.953355042
A0A0J9YXX1,PXD002854-Sample-Serum-1,Blood serum,14.311973530126185,0.03432967919813365,8.535669745076454,3432967.919813365
P01040,PXD002854-Sample-Serum-1,Blood serum,14.034415995994012,0.03366391070116672,8.527164566104535,3366391.070116672
A0A0C4DH33,PXD002854-Sample-Serum-1,Blood serum,13.873293032764238,0.03327743013456368,8.522149780314841,3327743.0134563684
Q71DI3,PXD002854-Sample-Serum-1,Blood serum,13.06949254103189,0.03134937926426346,8.496228945971392,3134937.9264263464
P01817,PXD002854-Sample-Serum-1,Blood serum,11.824781899834486,0.0283637311342649,8.452763359953856,2836373.11342649
Q96DA0,PXD002854-Sample-Serum-1,Blood serum,9.873805641125548,0.023683985958404288,8.374454794928567,2368398.595840429
P31151,PXD002854-Sample-Serum-1,Blood serum,9.672091582402702,0.02320014081216136,8.36549062082879,2320014.081216136
A0A075B6J1,PXD002854-Sample-Serum-1,Blood serum,8.750927844303787,0.020990574426971817,8.322024323625307,2099057.442697182
P54108,PXD002854-Sample-Serum-1,Blood serum,8.435744422933299,0.02023455390181901,8.306093634222323,2023455.3901819012
P0DP02,PXD002854-Sample-Serum-1,Blood serum,7.6838587489124714,0.01843102946624944,8.265549593440726,1843102.946624944
P62805,PXD002854-Sample-Serum-1,Blood serum,7.594277954453259,0.01821615484189205,8.260456709234967,1821615.484189205
P41222,PXD002854-Sample-Serum-1,Blood serum,6.738868121636832,0.016164310274006093,8.20855717813509,1616431.0274006093
Q01469,PXD002854-Sample-Serum-1,Blood serum,5.982930845859965,0.014351067389179283,8.156884203787156,1435106.7389179282
P67936,PXD002854-Sample-Serum-1,Blood serum,5.675045935109189,0.013612553571097414,8.133939601897804,1361255.3571097413
Q02985,PXD002854-Sample-Serum-1,Blood serum,5.423853416086337,0.013010026003751531,8.114278164607283,1301002.6003751531
