gene	category
A1BG	Both High
ACTA2	Both High
ADIPOQ	Both High
AFM	Both High
AFP	Both High
AGT	Both High
AHSG	Both High
AMBP	Both High
ANG	Both High
APCS	Both High
APOA1	Both High
APOA2	Both High
APOA4	Both High
APOB	Both High
APOC1	Both High
APOC2	Both High
APOC3	Both High
APOE	Both High
APOH	Both High
APOL1	Both High
APOM	Both High
AZGP1	Both High
BTD	Both High
C1QA	Both High
C1QB	Both High
C1QC	Both High
C1R	Both High
C1S	Both High
C2	Both High
C3	Both High
C4BPA	Both High
C4BPB	Both High
C6	Both High
C7	Both High
C8A	Both High
C8B	Both High
C8G	Both High
C9	Both High
CCL28	Both High
CD14	Both High
CFB	Both High
CFH	Both High
CFI	Both High
CLEC3B	Both High
CLU	Both High
CNDP1	Both High
CP	Both High
CPB2	Both High
CPN1	Both High
CPN2	Both High
CST3	Both High
EFEMP1	Both High
F10	Both High
F12	Both High
F13B	Both High
F2	Both High
FCN3	Both High
FETUB	Both High
FN1	Both High
GC	Both High
GP5	Both High
GPX3	Both High
H2AX	Both High
HABP2	Both High
HBZ	Both High
HPX	Both High
HRG	Both High
IGFALS	Both High
IGFBP3	Both High
IGKV1D-43	Both High
IGLV7-43	Both High
ITIH1	Both High
ITIH2	Both High
ITIH3	Both High
ITIH4	Both High
KLKB1	Both High
KNG1	Both High
LBP	Both High
LRG1	Both High
LUM	Both High
MASP1	Both High
MDK	Both High
PF4	Both High
PGLYRP2	Both High
PLG	Both High
PPBP	Both High
PRB2	Both High
PROC	Both High
PROS1	Both High
PSG1	Both High
PTN	Both High
PZP	Both High
RBP4	Both High
S100A8	Both High
S100A9	Both High
SAA4	Both High
SERPINA10	Both High
SERPINA3	Both High
SERPINA4	Both High
SERPINA5	Both High
SERPINA6	Both High
SERPINA7	Both High
SERPIND1	Both High
SERPINF1	Both High
SERPINF2	Both High
SERPING1	Both High
SFRP1	Both High
SH3BGRL3	Both High
SHBG	Both High
SPARC	Both High
VTN	Both High
ADAMTS8	Low in Both
ADAMTSL3	Low in Both
ADGRA2	Low in Both
ADH6	Low in Both
AGXT	Low in Both
AHCYL2	Low in Both
AKR7A3	Low in Both
AKT1	Low in Both
AMIGO2	Low in Both
ANGPT1	Low in Both
AOC1	Low in Both
AP2A2	Low in Both
APOBR	Low in Both
ARG1	Low in Both
ARHGAP18	Low in Both
ARHGAP21	Low in Both
ARRB1	Low in Both
ASGR2	Low in Both
ATE1	Low in Both
ATXN2L	Low in Both
B4GALT2	Low in Both
BCAN	Low in Both
BCAT2	Low in Both
BCL2L13	Low in Both
BHMT2	Low in Both
C11ORF54	Low in Both
CACHD1	Low in Both
CADM3	Low in Both
CALML3	Low in Both
CALU	Low in Both
CAMK2B	Low in Both
CAMK2G	Low in Both
CBL	Low in Both
CCN3	Low in Both
CD101	Low in Both
CD163L1	Low in Both
CD200R1	Low in Both
CD86	Low in Both
CDH8	Low in Both
CDSN	Low in Both
CELA2B	Low in Both
CEP170	Low in Both
CES3	Low in Both
CHMP4A	Low in Both
CHRD	Low in Both
CLC	Low in Both
CLEC11A	Low in Both
CLEC4M	Low in Both
CLIP2	Low in Both
CLSTN2	Low in Both
CLSTN3	Low in Both
CNTN5	Low in Both
CNTN6	Low in Both
CNTNAP4	Low in Both
COCH	Low in Both
COL11A1	Low in Both
COL16A1	Low in Both
COL21A1	Low in Both
COL2A1	Low in Both
COL5A3	Low in Both
COL9A1	Low in Both
CRB2	Low in Both
CRIM1	Low in Both
CRIP1	Low in Both
CRISP2	Low in Both
CRLF3	Low in Both
CRNN	Low in Both
CSF2RA	Low in Both
CST4	Low in Both
CTSV	Low in Both
DCC	Low in Both
DCPS	Low in Both
DDC	Low in Both
DES	Low in Both
DNPEP	Low in Both
DNPH1	Low in Both
EEA1	Low in Both
EIF4A2	Low in Both
ELN	Low in Both
EMILIN3	Low in Both
EML2	Low in Both
ENPP3	Low in Both
ENPP7	Low in Both
ENTPD7	Low in Both
EPB41L3	Low in Both
EPHA7	Low in Both
EPHB2	Low in Both
EPHB6	Low in Both
EPHX2	Low in Both
ERBB2	Low in Both
ERBB3	Low in Both
EXTL1	Low in Both
FAM171A1	Low in Both
FAM20B	Low in Both
FAS	Low in Both
FCER2	Low in Both
FGFR2	Low in Both
FLRT3	Low in Both
FLT1	Low in Both
FLT3	Low in Both
FST	Low in Both
FSTL3	Low in Both
FTCD	Low in Both
FURIN	Low in Both
GALM	Low in Both
GALNT3	Low in Both
GATM	Low in Both
GFRA3	Low in Both
GH1	Low in Both
GLDC	Low in Both
GNPDA2	Low in Both
