gene	databases_count	databases_list
ACAN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ACTN4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ACY1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ADA	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ADAM8	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ADAMTS13	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ADH4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ADM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AGRN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AGXT	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AHCY	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AHSP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ALCAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ALDH1A1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AMBP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ANG	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ANPEP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ANXA3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AOC3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
APOH	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
APOM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
APP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ARG1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ARHGAP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ART3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AXL	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
AZU1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
B4GALT1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BCAM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BGN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BLMH	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BLVRB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BPIFB1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
BST1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
C1QA	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
C2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
C4BPB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CA13	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CA3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CAPG	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CARHSP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CASP3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CBLN4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CCL14	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CCL16	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD109	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD14	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD163	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD48	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD55	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD59	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CD93	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CDH1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CDH2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CDH5	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CDHR2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CES1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CHGB	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CHI3L1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CHIT1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CHL1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CHRDL1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CLIP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CLSTN1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CNDP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CNST	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CNTN1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CNTN4	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
COL18A1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
COL1A1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
COL6A3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
COMP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CORO1A	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
CPM	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
