gene,databases_count,peptideatlas,hpa_ms,hpa_pea,gpmdb,paxdb
A1BG,4,TRUE,TRUE,FALSE,TRUE,TRUE
A2M,4,TRUE,TRUE,FALSE,TRUE,TRUE
A2ML1,3,TRUE,TRUE,FALSE,FALSE,TRUE
A4GALT,3,TRUE,TRUE,FALSE,FALSE,TRUE
AARS1,3,TRUE,TRUE,FALSE,FALSE,TRUE
AASS,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABAT,4,TRUE,TRUE,FALSE,TRUE,TRUE
ABCD3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABCE1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABCF1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABCF2,2,TRUE,TRUE,FALSE,FALSE,FALSE
ABHD10,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABHD11,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABHD14A,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABHD14B,4,TRUE,TRUE,TRUE,FALSE,TRUE
ABHD16A,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABI1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABI3BP,4,TRUE,TRUE,FALSE,TRUE,TRUE
ABLIM1,1,TRUE,FALSE,FALSE,FALSE,FALSE
ABLIM3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ABO,2,TRUE,FALSE,FALSE,FALSE,TRUE
ABRACL,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACAA1,5,TRUE,TRUE,TRUE,TRUE,TRUE
ACAA2,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACACA,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACAD9,2,TRUE,FALSE,FALSE,FALSE,TRUE
ACADM,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACADS,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACADSB,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACADVL,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACAN,5,TRUE,TRUE,TRUE,TRUE,TRUE
ACAT1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACAT2,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACBD3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACE,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACE2,4,TRUE,TRUE,TRUE,FALSE,TRUE
ACHE,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACIN1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACLY,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACMSD,2,TRUE,FALSE,FALSE,FALSE,TRUE
ACO1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACO2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACOT13,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACOT7,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACOT9,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACOX1,4,TRUE,TRUE,TRUE,FALSE,TRUE
ACOX2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACP1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACP2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACP3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACP5,4,TRUE,TRUE,TRUE,FALSE,TRUE
ACP6,4,TRUE,TRUE,TRUE,FALSE,TRUE
ACSL1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACSL3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACSL4,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACSS2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTA1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTA2,4,TRUE,TRUE,TRUE,TRUE,FALSE
ACTBL2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTC1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTG1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTL6A,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTN1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTN2,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTN3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTN4,5,TRUE,TRUE,TRUE,TRUE,TRUE
ACTR1A,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTR1B,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACTR2,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACTR3,4,TRUE,TRUE,FALSE,TRUE,TRUE
ACY1,5,TRUE,TRUE,TRUE,TRUE,TRUE
ACY3,3,TRUE,TRUE,FALSE,FALSE,TRUE
ACYP1,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADA,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADA2,4,TRUE,TRUE,TRUE,FALSE,TRUE
ADAM10,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAM11,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAM12,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAM15,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADAM17,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAM19,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAM22,4,TRUE,TRUE,TRUE,FALSE,TRUE
ADAM23,4,TRUE,TRUE,TRUE,FALSE,TRUE
ADAM8,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADAM9,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAMDEC1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMTS1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMTS13,5,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMTS2,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAMTS4,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAMTS5,3,TRUE,TRUE,FALSE,FALSE,TRUE
ADAMTS8,4,TRUE,TRUE,TRUE,FALSE,TRUE
ADAMTSL1,4,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMTSL2,4,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMTSL3,3,TRUE,TRUE,FALSE,FALSE,TRUE
