biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name,gene
Q13438,Q13438,NA,C,NA,canonical,1,0,4,0.003,2,NA,NA,NA,NA,NA,NA,NA,NA,Q13438,2294,35,NA,NA,NA,nP20K \PName=Protein OS-9 isoform Iso 1 \GName=OS9 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=667 \SV=1 \EV=187 \PE=1 \ModResPsi=(110|MOD:00798|half cystine)(123|MOD:00798|half cystine)(181|MOD:00798|half cystine)(216|MOD:00798|half cystine)(196|MOD:00,Homo sapiens,OS9
P62166,P62166,NA,C,NA,canonical,1,0,3,0.006,2,NA,NA,NA,NA,NA,NA,NA,NA,P62166,2012,2,NA,NA,NA,nP20K \PName=Neuronal calcium sensor 1 isoform Iso 1 \GName=NCS1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=190 \SV=2 \EV=179 \PE=1 \ModResPsi=(2|MOD:00068|N-myristoylglycine)(25|MOD:00134|N6-glycyl-L-lysine)(53|MOD:00134|N6-glycyl-L-lysine)(115|MOD:00,Homo sapiens,NCS1
P53985,P53985,NA,C,NA,canonical,1,0,3,0.004,2,NA,NA,NA,NA,NA,NA,NA,NA,P53985,1879,5,NA,NA,NA,nP20K \PName=Monocarboxylate transporter 1 isoform Iso 1 \GName=SLC16A1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=500 \SV=3 \EV=211 \PE=1 \ModResPsi=(210|MOD:00046|O-phospho-L-serine)(213|MOD:00046|O-phospho-L-serine)(220|MOD:00046|O-phospho-L-serine),Homo sapiens,SLC16A1
Q5TCZ1,Q5TCZ1,NA,C,NA,canonical,1,0,1711,0.598,3,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=SH3 and PX domain-containing protein 2A isoform Iso 1 \GName=SH3PXD2A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1133 \SV=1 \EV=161 \PE=1 \ModResPsi=(256|MOD:00047|O-phospho-L-threonine)(361|MOD:00047|O-phospho-L-threonine)(379|MOD:00046|O,Homo sapiens,SH3PXD2A
Q96CV9,Q96CV9,NA,C,NA,canonical,1,0,300,0.2,3,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Optineurin isoform Iso 1 \GName=OPTN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=577 \SV=3 \EV=176 \PE=1 \ModResPsi=(15|MOD:00046|O-phospho-L-serine)(170|MOD:00046|O-phospho-L-serine)(171|MOD:00046|O-phospho-L-serine)(173|MOD:00046|O-phosph,Homo sapiens,OPTN
Q86V40,Q86V40,NA,C,NA,canonical,1,0,7,0.007,3,NA,NA,NA,NA,NA,NA,NA,NA,Q86V40,2897,17,NA,NA,NA,nP20K \PName=Metalloprotease TIKI1 isoform Iso 1 \GName=TRABD2A \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=505 \SV=3 \EV=121 \PE=1 \ModRes=(220||N-linked (GlcNAc...) asparagine)(229||N-linked (GlcNAc...) asparagine)(278||N-linked (GlcNAc...) asparagine,Homo sapiens,TRABD2A
P14927,P14927,NA,C,NA,canonical,1,0,2481,9.387,3,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Cytochrome b-c1 complex subunit 7 isoform Iso 1 \GName=UQCRB \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=111 \SV=2 \EV=206 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(12|MOD:01819|N6-succinyl-L-lysine)(12|MOD:00064|N6-acetyl-L-lysine),Homo sapiens,UQCRB
Q6KC79,Q6KC79,NA,C,NA,canonical,1,0,3879,0.603,4,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Nipped-B-like protein isoform Iso 1 \GName=NIPBL \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2804 \SV=2 \EV=185 \PE=1 \ModResPsi=(103|MOD:00046|O-phospho-L-serine)(148|MOD:00046|O-phospho-L-serine)(150|MOD:00046|O-phospho-L-serine)(152|MOD:,Homo sapiens,NIPBL
Q02817,Q02817,NA,C,NA,canonical,1,0,16,0.003,4,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Mucin-2 isoform Iso 1 \GName=MUC2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=5179 \SV=2 \EV=183 \PE=1 \ModResPsi=(21|MOD:00046|O-phospho-L-serine)(37|MOD:00798|half cystine)(169|MOD:00798|half cystine)(59|MOD:00798|half cystine)(206|MOD:00,Homo sapiens,MUC2
P09237,P09237,NA,C,NA,canonical,1,0,14,0.024,4,NA,NA,NA,NA,NA,NA,NA,NA,P04114,1033,64541,NA,NA,NA,nP20K \PName=Matrilysin isoform Iso 1 \GName=MMP7 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=267 \SV=1 \EV=216 \PE=1 \ModResPsi=(28|MOD:00046|O-phospho-L-serine) \VariantSimple=(2|*)(2|G)(2|Q)(3|F)(3|P)(5|A)(5|L)(5|M)(6|P)(7|S)(7|W)(7|Y)(9|M)(11|R)(14|,Homo sapiens,MMP7
P27144,P27144,NA,C,NA,canonical,1,0,30,0.049,4,NA,NA,NA,NA,NA,NA,NA,NA,P54819,1895,43,NA,NA,NA,"nP20K \PName=Adenylate kinase 4, mitochondrial isoform Iso 1 \GName=AK4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=223 \SV=1 \EV=210 \PE=1 \ModResPsi=(60|MOD:01819|N6-succinyl-L-lysine)(175|MOD:00064|N6-acetyl-L-lysine)(179|MOD:01819|N6-succinyl-L-lysi",Homo sapiens,AK4
