ProteinName,SampleID,Condition,Ibaq,IbaqNorm,IbaqLog,IbaqPpb
P69905,PXD002854-Sample-Erythrocytes-1,Blood Serum,101.7618962246841,0.029065675824988747,8.463380425474105,2906567.5824988745
P68871,PXD002854-Sample-Erythrocytes-1,Blood Serum,98.08040234446071,0.028014151515359215,8.44737747321523,2801415.1515359213
P01834,PXD002854-Sample-Erythrocytes-1,Blood Serum,74.06621073302993,0.02115511356036775,8.325415360960564,2115511.356036775
P02652,PXD002854-Sample-Erythrocytes-1,Blood Serum,70.12150201809445,0.020028408683729345,8.301646444684014,2002840.8683729344
P02647,PXD002854-Sample-Erythrocytes-1,Blood Serum,68.56979201138465,0.019585202516168975,8.291928066626799,1958520.2516168975
P02766,PXD002854-Sample-Erythrocytes-1,Blood Serum,52.46745118624324,0.014985981827379232,8.175685201618968,1498598.1827379232
P01009,PXD002854-Sample-Erythrocytes-1,Blood Serum,45.498282942083996,0.012995417652874363,8.113790241622638,1299541.7652874363
P69892,PXD002854-Sample-Erythrocytes-1,Blood Serum,39.990945230631155,0.01142238787927041,8.057756903768395,1142238.787927041
P06727,PXD002854-Sample-Erythrocytes-1,Blood Serum,38.58331188574226,0.011020333515103986,8.042194738034597,1102033.3515103986
P02679,PXD002854-Sample-Erythrocytes-1,Blood Serum,38.19610189266431,0.010909736911143789,8.037814277681269,1090973.6911143789
P00738,PXD002854-Sample-Erythrocytes-1,Blood Serum,38.08964072153347,0.010879329007961586,8.036602110699851,1087932.9007961587
P02675,PXD002854-Sample-Erythrocytes-1,Blood Serum,36.64974113722503,0.010468058620019528,8.019866145977753,1046805.8620019527
P32119,PXD002854-Sample-Erythrocytes-1,Blood Serum,36.390472658197794,0.010394005228302016,8.016782930941925,1039400.5228302015
P30043,PXD002854-Sample-Erythrocytes-1,Blood Serum,33.96775422890212,0.00970201784310574,7.986862069007344,970201.784310574
P02655,PXD002854-Sample-Erythrocytes-1,Blood Serum,32.78899202699093,0.0093653346511981,7.971523300619104,936533.46511981
P01024,PXD002854-Sample-Erythrocytes-1,Blood Serum,31.851529152346732,0.00909757242365265,7.958925521589134,909757.2423652649
P05155,PXD002854-Sample-Erythrocytes-1,Blood Serum,31.70645865726394,0.009056136757275747,7.956942972201282,905613.6757275746
P0DOX8,PXD002854-Sample-Erythrocytes-1,Blood Serum,29.757903796108806,0.0084995820347056,7.929397569892643,849958.20347056
P02042,PXD002854-Sample-Erythrocytes-1,Blood Serum,29.548515226255287,0.008439775559800859,7.926330897521858,843977.5559800859
P01011,PXD002854-Sample-Erythrocytes-1,Blood Serum,28.82172520466253,0.008232186629718329,7.915515207640925,823218.6629718329
P01023,PXD002854-Sample-Erythrocytes-1,Blood Serum,28.582176175430142,0.00816376559310079,7.911890526288477,816376.5593100791
P01860,PXD002854-Sample-Erythrocytes-1,Blood Serum,28.21246795704446,0.008058167922223016,7.9062363133049,805816.7922223016
P01876,PXD002854-Sample-Erythrocytes-1,Blood Serum,27.997003808795725,0.007996626114166712,7.9029067908590545,799662.6114166712
P27169,PXD002854-Sample-Erythrocytes-1,Blood Serum,26.962055814027487,0.007701019762205288,7.8865482378704845,770101.9762205288
P02671,PXD002854-Sample-Erythrocytes-1,Blood Serum,26.507340450118203,0.00757114198034038,7.87916139051131,757114.198034038
P02649,PXD002854-Sample-Erythrocytes-1,Blood Serum,26.217271846946197,0.00748829132307482,7.874382731769413,748829.132307482
P04406,PXD002854-Sample-Erythrocytes-1,Blood Serum,24.934864245936986,0.007122004481051589,7.85260224258948,712200.4481051589
P07738,PXD002854-Sample-Erythrocytes-1,Blood Serum,24.247574927530685,0.006925697913781379,7.840463544499178,692569.7913781379
P02790,PXD002854-Sample-Erythrocytes-1,Blood Serum,23.344542279838986,0.0066677697975517465,7.823980597547871,666776.9797551746
P04196,PXD002854-Sample-Erythrocytes-1,Blood Serum,23.14932644428879,0.006612011400720399,7.820333593729671,661201.1400720399
P30041,PXD002854-Sample-Erythrocytes-1,Blood Serum,22.947914405128778,0.006554483217238546,7.8165384557897735,655448.3217238546
P02743,PXD002854-Sample-Erythrocytes-1,Blood Serum,22.56508911133855,0.00644513899017791,7.809232287401825,644513.8990177909
P10909,PXD002854-Sample-Erythrocytes-1,Blood Serum,22.430052637792897,0.006406569284716038,7.806625527244723,640656.9284716038
