Protein.IDs,Protein.names,QGene.names,LFQ.intensity.Human_Macs_D1_M1,LFQ.intensity.Human_Macs_D1_M2,LFQ.intensity.Human_Macs_D2_M1,LFQ.intensity.Human_Macs_D2_M2,LFQ.intensity.Human_Macs_D5_M1,LFQ.intensity.Human_Macs_D5_M2,LFQ.intensity.Human_Macs_D6_M1,LFQ.intensity.Human_Macs_D7_M2
H3BR00;A0A0D9SFH9;A0A1B0GWD3;A0A0A0MRC7;B4DFF3;Q9UBD8;A0A1B0GW34;A0A1B0GV71;O95086;H3BNK7;A0A024QZB8;Q13286-4;Q13286-2;Q13286-5;Q13286-3;Q13286;Q2TA70;Q13286-7,Battenin,CLN3,26.76483819,28.22641903,24.6618281,28.58229723,27.73847258,28.37558954,28.26785196,27.88593939
A0A024QZW4;Q9H1N7;A0A3B3IRN3;Q9H1N7-2;Q9H1N7-3,Adenosine 3-phospho 5-phosphosulfate transporter 2,SLC35B3,23.89993585,23.68752434,23.37079275,23.97184733,23.65610971,NA,24.85804248,24.25573111
A0A024R1R8;Q9Y2S6,Translation machinery-associated protein 7,hCG_2014768;TMA7,25.87105376,28.10868907,26.28356784,27.68725735,27.11713783,28.35707823,25.82026312,28.29592213
A0A024R442;E7ETB3;Q9ULA0;E7EMB6;C9JBE1;B9ZVU2;F8WAN0;E7EPX3;E5RJ35;C9JRG3;C9J1E2,Aspartyl aminopeptidase,DNPEP,31.58248567,31.58750172,31.3860221,31.22222105,31.33314144,31.57371054,30.87635382,31.14376094
A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;C9JZI8;C9JHZ8;C9JES8;H7BZC3;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C3D0;C9JHS9,Vigilin,HDLBP,32.1596958,32.79317894,32.33886289,32.69768333,32.22601701,32.75300376,31.80758663,32.88505572
A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8,Transmembrane protein 120A,TMEM120A;TMPIT,25.70382375,26.09363758,26.27141857,26.60427676,26.30488617,26.398212,26.71174741,26.17420918
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,40S ribosomal protein S9,RPS9,33.33218121,33.41412446,33.31338187,33.75722304,33.53275901,33.80961948,33.39700743,33.59401443
A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1,EH domain-containing protein 1,EHD1,33.40768187,32.93917406,34.18726107,32.39792548,33.35783332,32.93671939,32.85688192,32.86319254
A0A024R5I4;O94956;O94956-3;E9PI53;E9PRW4;E9PN87;E9PIU9;A0A0A0MTF1;O94956-2;O94956-4;A0A1B0GX35;H0YE11,Solute carrier organic anion transporter family member 2B1,SLCO2B1,NA,29.37289435,27.39018024,28.45720683,NA,29.57495581,NA,29.79607975
A0A0A0MRU5;A0A024R644;O75503;A0A1B0GWI2;A0A087WZY0;A0A1B0GTR6;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94;A0A1B0GVL0;A0A1B0GU14,Ceroid-lipofuscinosis neuronal protein 5,CLN5,30.10562038,29.99064258,29.74979922,30.11978649,30.33607153,30.06945628,30.61350971,29.99779233
A0A024R6I7;P01009;A0A0G2JRN3;P01009-2;P01009-3;G3V5R8;G3V387;A0A0B4J278;G3V544,Alpha-1-antitrypsin;Short peptide from AAT,SERPINA1,26.53991951,26.04901428,27.88087004,25.42226705,26.55126035,25.60407877,26.61006308,25.51923359
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002,Transcription elongation factor 1 homolog,ELOF1,NA,NA,24.84234919,NA,NA,NA,NA,NA
H0YGQ6;F5GY33;A0A024R7P0;O14593-2;O14593-3;O14593,DNA-binding protein RFXANK,RFXANK,23.77545194,23.35944288,NA,24.11973208,24.46581697,23.23730567,NA,23.97140883
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402,Proteasome subunit alpha type;Proteasome subunit alpha type-2,PSMA2,32.52047056,32.25529891,32.19583522,32.23663279,32.18364261,32.19063504,31.76864455,32.35071239
A0A024RAC6;Q14241,Transcription elongation factor B polypeptide 3,TCEB3,26.19183892,26.65894451,26.82905104,26.87267488,27.31743097,26.96884096,27.24127228,27.22223257
E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1,Solute carrier family 22 member 18,SLC22A18,26.65376133,26.87584139,27.68899192,27.08243284,27.61764883,28.6748883,27.90546679,28.02025082
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2;F6WML8;F6U341;F6X9W3;F6VEM6;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6UR09;H0Y710;F6TC96;H0Y4L1;A0A0G2JIA9;A0A0G2JIB3;A0A0G2JJ92;H0Y759;H0Y7K4,Large proline-rich protein BAG6,BAG6;BAT3,30.59690449,30.73368099,30.4237222,30.7728184,30.58530935,30.8956928,30.29592213,30.68987508
A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49;H7C0E8,Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG,ATP11C,NA,NA,NA,NA,26.38329072,27.76528094,25.93379851,28.35312851
A0A075B6E9;A0A494C1A4;Q96NW7-2;Q96NW7,Leucine-rich repeat-containing protein 7,LRRC7,NA,25.3358927,24.55654675,25.29617602,24.98507094,25.74532411,24.9642425,25.77384348
A0A075B6F9;Q9Y314;M0R3B2;M0R1K2;A0A075B797;M0QX85,Nitric oxide synthase-interacting protein,NOSIP,27.16480475,27.39558329,27.34950545,27.24553994,27.56041506,27.39884805,26.48543589,27.16624232
A0A075B6G3;P11532;A0A087WTU7;E9PDN5;A0A087WV90;P11532-4;P11532-2;P11532-3;F8VX32;H0Y304;E7ESB2;E7EQS5;P11532-10;E7EQR9;F5GZY3;P11532-9;P11532-6;P11532-5;P11532-7;P11532-8;Q4G0X0,Dystrophin,DMD,NA,26.92637455,23.20867553,26.61048556,24.22014861,26.40950489,25.07009637,26.2552809
A0A087WX83;A0A075B749;Q5VU43-3;A0A087WVF8;Q5VU43-4;A0A0A0MRM1;Q5VU43;Q5VU43-6;Q5VU43-7;E9PQG4;Q5VU43-12;Q5VU43-9;Q5VU43-8;Q5VU43-10;Q5VU43-11;A0A087WYE4;E9PS60;A0A087WWY1;A0A087WVQ4;A0A087WWI2;A0A087X041;A0A087X229;A0A087WWK4;E9PJK3;H0YCY0;A0A087X0I1;H0YCH7;E9PJU0;H0YEW6;F8WBJ0;F8WF55;F8WCI3;E9PNE0,Myomegalin,PDE4DIP,29.09199468,27.77240942,29.86844203,27.80322743,29.05395657,27.31311152,28.83680513,27.88221194
A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696;E9PLR0;E9PLE9;A0A2R8Y6G7;H0YEG8;H0YD18;E9PJP3;E9PM22,Nucleobindin-2;Nesfatin-1,NUCB2;Nucb2,29.79101018,30.06573816,29.38607351,29.90841906,28.94047334,29.93999719,29.69910751,29.52389479
Q16881;Q16881-6;Q16881-3;Q16881-4;Q16881-2;Q16881-5;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;E9PRI8;E9PJU2,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,34.11768281,33.76939358,33.35337043,33.15712248,34.27607254,33.93086396,33.53577429,33.94968179
A8MVE2;A0A0B4J1W1;A0A087WSX8;D9IDM5;A0A087WSV6;F6TER3;F6RVM3;O75019-2;A0A0G2JMG0,,LILRB1,NA,NA,NA,26.00556013,NA,26.08960258,NA,26.77781113
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;K7ENB4;K7EJ20;R4GNE4;A0A0A0MTT1;A0A087X247,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,31.60364027,32.16749304,31.28725002,31.32442261,31.41639146,32.54268561,31.18192621,32.74304361
A0A087WT18;Q96A73-2;Q96A73;Q96A73-3,Putative monooxygenase p33MONOX,KIAA1191,24.60817449,22.9688805,24.03531797,NA,23.75174753,23.60840013,24.23264401,NA
