#,accession,total,log(e),EC,description
1,ENSP00000349961,9252,-8277.9,4,"SMC4, structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]"
2,ENSP00000353225,8672,-7602.4,4,"SMC4, structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:14013]"
3,ENSP00000313420,20798,-7027.2,4,"PRKDC, protein kinase, DNA-activated, catalytic polypeptide [Source:HGNC Symbol;Acc:HGNC:9413]"
4,ENSP00000345182,20690,-6899.1,4,"PRKDC, protein kinase, DNA-activated, catalytic polypeptide [Source:HGNC Symbol;Acc:HGNC:9413]"
5,ENSP00000245907,20313,-6248.6,4,"C3, complement component 3 [Source:HGNC Symbol;Acc:HGNC:1318]"
6,ENSP00000341382,9243,-6058.4,4,"SMC4, structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]"
7,ENSP00000323856,24746,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
8,ENSP00000370290,11421,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:399]"
9,ENSP00000346602,24436,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
10,ENSP00000379616,22204,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]"
11,ENSP00000295897,41105,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:HGNC:399]"
12,ENSP00000367263,23636,-5999,4,"AHNAK, AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]"
13,ENSP00000300036,24349,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]"
14,ENSP00000346032,28283,-5999,4,"ANXA2, annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]"
15,ENSP00000379342,27067,-5999,4,"ANXA2, annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]"
16,ENSP00000233242,12852,-5999,4,"APOB, apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]"
17,ENSP00000354875,7781,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
18,ENSP00000353467,34012,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
19,ENSP00000372940,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
20,ENSP00000372815,15676,-5999,4,Complement component 4A (Rodgers blood group). [Source:Uniprot/SPTREMBL;Acc:Q5JNX2]
21,ENSP00000344848,24661,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
22,ENSP00000348702,24438,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
23,ENSP00000384695,33055,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:HGNC:399]"
24,ENSP00000381756,23569,-5999,4,Plectin-1 (PLTN) (PCN) (Hemidesmosomal protein 1) (HD1) (Plectin-11). [Source:Uniprot/SWISSPROT;Acc:Q15149]
25,ENSP00000358863,33296,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
26,ENSP00000269243,24291,-5999,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
27,ENSP00000216181,33614,-5999,4,"MYH9, myosin, heavy chain 9, non-muscle [Source:HGNC Symbol;Acc:HGNC:7579]"
28,ENSP00000365131,8968,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
29,ENSP00000345136,23726,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:7569]"
30,ENSP00000245185,4579,-5999,4,"MT2A, metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]"
31,ENSP00000365143,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
32,ENSP00000372938,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
33,ENSP00000364321,15926,-5999,4,"C4B, complement component 4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]"
34,ENSP00000211379,8973,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
35,ENSP00000347044,24437,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
36,ENSP00000316029,26184,-5999,4,"TLN1, talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
37,ENSP00000354368,8992,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
38,ENSP00000358866,33328,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
39,ENSP00000364444,16165,-5999,4,"C4A, complement component 4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]"
40,ENSP00000350277,24439,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
41,ENSP00000363827,13440,-5758.2,4,"HSPG2, heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]"
42,ENSP00000358868,12306,-5705.2,4,"FLNA, filamin A, alpha"
43,ENSP00000322938,8701,-5541.9,4,"SCRIB, scribbled planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]"
44,ENSP00000369315,23798,-5453.8,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
45,ENSP00000379539,22205,-5412.3,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:7568]"
46,ENSP00000353590,22825,-5398,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
47,ENSP00000348965,20293,-5374.6,4,"DYNC1H1, dynein, cytoplasmic 1, heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]"
48,ENSP00000349486,8622,-5352.2,4,"SCRIB, scribbled planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]"
49,ENSP00000304592,23378,-5300.1,4,"FASN, fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]"
50,ENSP00000264613,13301,-5202.1,4,"CP, ceruloplasmin (ferroxidase) [Source:HGNC Symbol;Acc:HGNC:2295]"
51,ENSP00000374371,8440,-4970.3,4,"SPTB, spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]"
52,ENSP00000295550,13554,-4941.8,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:HGNC:2213]"
53,ENSP00000374372,8247,-4925.1,4,"SPTB, spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]"
54,ENSP00000327145,22085,-4906.9,4,"FLNC, filamin C, gamma [Source:HGNC Symbol;Acc:HGNC:3756]"
55,ENSP00000366756,8011,-4903.4,4,"SCRIB, scribbled planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]"
56,ENSP00000315873,13493,-4894.6,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:HGNC:2213]"
57,ENSP00000275493,7310,-4804.3,4,"EGFR, epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]"
58,ENSP00000344002,22186,-4803.5,4,"FLNC, filamin C, gamma [Source:HGNC Symbol;Acc:HGNC:3756]"
59,ENSP00000295546,13181,-4784.9,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:2213]"
60,ENSP00000315609,13498,-4779.6,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:HGNC:2213]"
61,ENSP00000374370,8206,-4750.4,4,"SPTB, spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]"
62,ENSP00000352696,20037,-4717.9,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
63,ENSP00000338200,20114,-4697.8,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
64,ENSP00000323929,17267,-4657.6,4,"A2M, alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
65,ENSP00000346839,19143,-4640.9,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
66,ENSP00000331514,54769,-4639.8,4,"ACTG1, actin, gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]"
67,ENSP00000323534,20086,-4620.8,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
68,ENSP00000361824,21595,-4594.7,4,"SPTAN1, spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
69,ENSP00000351339,26460,-4566.1,4,"FLNB, filamin B, beta [Source:HGNC Symbol;Acc:HGNC:3755]"
70,ENSP00000361816,21642,-4563.5,4,"SPTAN1, spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
71,ENSP00000295956,26524,-4554.6,4,"FLNB, filamin B, beta [Source:HGNC Symbol;Acc:HGNC:3755]"
72,ENSP00000350882,21846,-4526.2,4,"SPTAN1, spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
73,ENSP00000348285,19936,-4485.2,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
74,ENSP00000265312,19405,-4452.5,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:3778]"
75,ENSP00000232447,25907,-4439.9,4,"FLNB, filamin B, beta [Source:HGNC Symbol;Acc:3755]"
76,ENSP00000350534,19951,-4343.9,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
77,ENSP00000273049,19229,-4335.8,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:3778]"
78,ENSP00000313603,11904,-4169.7,4,"ABCF1, ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
79,ENSP00000373082,11834,-4169.7,4,"ABCF1, ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
80,ENSP00000349960,53897,-4147.8,4,"ACTB, actin, beta [Source:HGNC Symbol;Acc:HGNC:132]"
81,ENSP00000349509,18582,-4103.8,4,"FN1, fibronectin 1 [Source:HGNC Symbol;Acc:3778]"
82,ENSP00000349588,3968,-4073.4,4,"ANK2, ankyrin 2, neuronal [Source:HGNC Symbol;Acc:HGNC:493]"
83,ENSP00000223642,7826,-4061.1,4,"C5, complement component 5 [Source:HGNC Symbol;Acc:HGNC:1331]"
84,ENSP00000269122,26160,-4036.6,4,"CLTC, clathrin, heavy chain (Hc) [Source:HGNC Symbol;Acc:HGNC:2092]"
85,ENSP00000264366,3693,-4026.1,4,"ANK2, ankyrin 2, neuronal [Source:HGNC Symbol;Acc:HGNC:493]"
86,ENSP00000376763,24338,-3916.4,4,"CLTC, clathrin, heavy chain (Hc) [Source:HGNC Symbol;Acc:HGNC:2092]"
87,ENSP00000373081,11591,-3899.6,4,"ABCF1, ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
88,ENSP00000365728,11594,-3899.6,4,"ABCF1, ATP-binding cassette, sub-family F (GCN20), member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
89,ENSP00000253408,18199,-3851.1,4,"GFAP, glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]"
90,ENSP00000349259,21706,-3837.7,4,"SPTBN1, spectrin, beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]"
91,ENSP00000338576,13814,-3666.7,4,"MYH9, myosin, heavy chain 9, non-muscle"
92,ENSP00000322421,21946,-3575,4,"HBA1, hemoglobin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]"
93,ENSP00000251595,21958,-3575,4,"HBA2, hemoglobin, alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824]"
94,ENSP00000349819,25169,-3539.5,4,"FLNB, filamin B, beta [Source:HGNC Symbol;Acc:3755]"
95,ENSP00000364416,12141,-3513.8,4,"UBR4, ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:30313]"
96,ENSP00000364403,12711,-3513.8,4,"UBR4, ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]"
97,ENSP00000356399,10945,-3511.2,4,"CFH, complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
98,ENSP00000364374,12165,-3503.8,4,"UBR4, ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:30313]"
99,ENSP00000364365,12040,-3490.2,4,"UBR4, ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:30313]"
100,ENSP00000246662,40897,-3484.7,4,"KRT9, keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]"
101,ENSP00000354573,12202,-3440.7,4,"MACF1, microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]"
102,ENSP00000313438,11970,-3420,4,"MACF1, microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:13664]"
103,ENSP00000377928,8570,-3391.7,4,"ACACA, acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:84;CCDS ID:CCDS11317]"
104,ENSP00000344789,8609,-3369.2,4,"ACACA, acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:84;CCDS ID:CCDS42302]"
105,ENSP00000334156,20838,-3368.3,4,"SPTBN1, spectrin, beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]"
106,ENSP00000306306,9385,-3345.7,4,"TGFBI, transforming growth factor, beta-induced, 68kDa [Source:HGNC Symbol;Acc:11771]"
107,ENSP00000385834,15810,-3269.5,4,"TF, transferrin [Source:HGNC Symbol;Acc:HGNC:11740]"
108,ENSP00000353898,8070,-3266.2,4,"ACACA, acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:84;CCDS ID:CCDS11318]"
109,ENSP00000335323,7931,-3262.6,4,"ACACA, acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:84;CCDS ID:CCDS42303]"
110,ENSP00000252244,55933,-3257.1,4,"KRT1, keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]"
111,ENSP00000349868,4329,-3247.8,4,"PLEC, plectin [Source:HGNC Symbol;Acc:9069; NP_000436]"
