protein_id,gene_name
P12821,ACE
P00813,ADA
P02771,AFP
P01019,AGT
P05186,ALPL
P03971,AMH
P02649,APOE
P05067,APP
P01185,AVP
P06276,BCHE
P02818,BGLAP
P06681,C2
P01024,C3
P01258,CALCA
Q9UNI1,CELA1
P10645,CHGA
P05060,CHGB
P02452,COL1A1
P02741,CRP
P09603,CSF1
Q07325,CXCL9
P01588,EPO
P00742,F10
P03951,F11
P00748,F12
P00734,F2
P08709,F7
P00451,F8
Q9GZV9,FGF23
P11413,G6PD
P01275,GCG
P19440,GGT1
P01241,GH1
Q9UBU3,GHRL
P06280,GLA
P24298,GPT
P01344,IGF2
P08833,IGFBP1
P01860,IGHG3
Q14116,IL18
P01583,IL1A
P01584,IL1B
P01589,IL2RA
P01308,INS
P07288,KLK3
P41159,LEP
P06858,LPL
P02144,MB
P15941,MUC1
Q8WXI7,MUC16
P07196,NEFL
P30990,NTS
Q13219,PAPPA
P01236,PRL
P04070,PROC
P04271,S100B
P0DJI8,SAA1
P16109,SELP
P04278,SHBG
P05455,SSB
P02786,TFRC
P01266,TG
P01375,TNF
P19429,TNNI3
Q15661,TPSAB1
P02766,TTR
P49767,VEGFC
Q14508,WFDC2
