Table S4: Log2 LFQ data of proteomes of resting and activated CD8+ T cells. Related to Figure 5A.,,,,,,,,,,,,,,,,,,,,,
Protein.IDs,Protein.names,Gene.names,LFQ.intensity.CD8TCellnaive_01,LFQ.intensity.CD8TCellnaive_03,LFQ.intensity.CD8TCellnaive_04,LFQ.intensity.CD8TCellnaive_05,LFQ.intensity.Naive_T013_CD8_12h,LFQ.intensity.Naive_T016_CD8_12h,LFQ.intensity.Naive_T017_CD8_12h,LFQ.intensity.Naive_T013_CD8_24h,LFQ.intensity.Naive_T014_CD8_24h,LFQ.intensity.Naive_T015_CD8_24h,LFQ.intensity.Naive_T009_CD8_48h,LFQ.intensity.Naive_T013_CD8_48h,LFQ.intensity.Naive_T016_CD8_48h,LFQ.intensity.Naive_T015_CD8_72h,LFQ.intensity.Naive_T016_CD8_72h,LFQ.intensity.Naive_T017_CD8_72h,LFQ.intensity.Naive_T008_CD8_96h,LFQ.intensity.Naive_T016_CD8_96h,LFQ.intensity.Naive_T017_CD8_96h
A0A5B9,T-cell receptor beta-2 chain C region,TRBC2,28.7206457,29.10686861,28.89330764,28.5265276,27.49006582,27.82450597,27.28718395,27.274621,27.50248682,26.99085894,26.35238779,27.10209457,26.52839938,27.36527918,27.79408195,27.26678025,27.0082773,27.64540183,27.3567425
Q15424;B7ZLP6;A0AV56;Q15424-2;F5GZU3;B7Z2F6;K7EII0;K7ES42,Scaffold attachment factor B1,SAFB,29.79895543,30.27486534,30.36181202,29.75593866,29.67798212,29.54675678,29.71600712,29.44582894,29.47990886,29.64729038,29.99752317,29.9658173,29.62071045,29.45301197,29.47384597,29.84153664,30.53741844,29.84892573,29.56192671
A0AVT1;A0AVT1-2;H0Y8S8;A0AVT1-3;A0AVT1-4;H0Y9U5,Ubiquitin-like modifier-activating enzyme 6,UBA6,30.26450023,30.14418654,29.92209804,30.43608965,30.79211242,30.7971472,30.55316261,30.63616392,30.49161475,30.79745646,29.8075943,30.10287049,30.40243077,29.82896028,29.98901884,29.67357478,30.07456905,29.90023536,30.02445782
A0JNW5,UHRF1-binding protein 1-like,UHRF1BP1L,NA,21.81483747,21.83047343,21.69400243,22.3522396,22.1283959,22.00367437,21.5245398,22.04803314,22.01004178,21.65922768,22.30822014,22.40963436,21.70990332,22.98598296,21.40348435,NA,22.10056353,NA
A0PJW6,Transmembrane protein 223,TMEM223,25.18427184,24.8321939,24.5414417,24.73582868,24.24655505,24.41273832,24.5869204,24.55929213,24.067842,24.84503247,NA,24.30556471,23.96075639,NA,24.40600461,NA,22.68859182,24.41506192,23.03114993
A1KXE4;A1KXE4-2,Myelin-associated neurite-outgrowth inhibitor,FAM168B,NA,NA,NA,NA,NA,NA,NA,22.39002932,22.68555812,NA,NA,NA,23.0483658,23.48615742,NA,23.11461038,NA,NA,NA
A1KZ92;A1KZ92-2,Peroxidasin-like protein,PXDNL,NA,NA,NA,NA,NA,22.29882779,22.6409695,NA,NA,22.67424314,NA,22.27301356,NA,NA,22.83142091,NA,NA,NA,NA
A1L0T0;M0R026;E9PJS0;E9PL44;M0R1B5;M0QZX5;E9PNL1,Acetolactate synthase-like protein,ILVBL,27.18612482,27.0986856,27.3762522,27.57845124,27.20471143,26.47574481,27.6082309,26.76230559,26.76547065,27.35422207,23.71387228,27.70424604,26.88564853,26.92829626,28.25682904,25.69628096,25.76380036,27.77574078,27.1669127
A1L188,Uncharacterized protein C17orf89,C17orf89,22.53810555,NA,NA,21.64886662,21.78823562,21.70864105,NA,21.8162837,NA,NA,NA,NA,21.83784348,NA,21.98140841,NA,NA,NA,NA
A2A288;J3QT81;A2A288-4;A2A288-3;B7ZBA4;H0Y4Y6,Probable ribonuclease ZC3H12D,ZC3H12D,25.28195973,24.10325579,23.28206582,24.08691304,26.90046571,24.22037006,25.85167128,26.16169471,26.08460372,26.4492537,23.25839351,24.86650961,25.05829369,24.51586968,25.23136271,22.13549011,23.60648112,23.60715871,23.25244311
Q86X10;Q86X10-3;A2A2E9;Q86X10-2;A2A2F0;Q86X10-4;B4E2E8,Ral GTPase-activating protein subunit beta,RALGAPB,25.61750872,26.50787906,26.54206194,26.99550288,26.90598316,27.14394336,27.51269381,27.00795664,26.7518752,27.40835527,24.71198366,26.3519836,26.63505692,24.06710344,27.07979091,24.18108976,23.384164,26.30241288,24.8766612
Q9Y672;A2A2G4,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6,NA,NA,NA,NA,25.1543345,25.96897276,25.54073253,25.87806551,25.69959406,25.99007989,NA,24.09014796,25.14914828,NA,25.17519957,NA,NA,24.6477364,NA
Q9Y312;A2A2Q9,Protein AAR2 homolog,AAR2,NA,NA,NA,NA,25.21211666,24.81558031,25.76273645,25.84081364,25.70012345,25.87039539,25.02664906,26.05903677,25.40979619,25.27422998,25.54215053,24.76850258,25.26835181,24.90655668,25.02182922
P04156-2;A2A2V1;P04156,Major prion protein,PRNP,23.53848451,23.08828877,NA,23.57680908,24.31333645,24.47060327,24.70714593,24.44303661,24.89050402,24.61037291,23.96287554,22.84068881,23.46226361,22.16355386,23.33032936,NA,NA,23.11778386,NA
Q8NG27;A2A322,E3 ubiquitin-protein ligase Praja-1,PJA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.58984861,21.32102525,NA,22.53176695,NA,NA,20.94863529
Q8IV20;A2A3Z5,Laccase domain-containing protein 1,LACC1,NA,NA,NA,NA,20.80789887,NA,20.73024125,21.30624641,21.15721369,21.27298509,22.34348286,21.26545023,21.39503409,21.5533743,22.13771164,20.90646493,21.21738504,20.98877621,21.58618741
O15068;O15068-3;A2A640;O15068-5;O15068-4;O15068-2;O15068-6;O15068-8;O15068-10;O15068-9;J3KPD4;G5E9A1,Guanine nucleotide exchange factor DBS,MCF2L,NA,NA,NA,22.14360867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92504;A2AAT0,Zinc transporter SLC39A7,SLC39A7,19.80596424,19.98217474,21.44828976,21.07031752,20.92332168,20.51845338,20.44899545,20.19388145,20.36570303,19.34429591,21.88520631,21.18833771,20.49580039,NA,19.88640511,19.11471839,NA,20.58233313,20.17450637
A2ABB6;Q5HYZ1,,WDR46,NA,25.35920826,25.43364453,NA,24.21504591,25.50960154,NA,24.40444621,25.550189,25.5504826,NA,NA,25.26902992,NA,NA,NA,NA,25.22412948,NA
P10321;A2AEA2;A2AEA4;F5GXA6,"HLA class I histocompatibility antigen, Cw-7 alpha chain",HLA-C,27.96041395,26.59775706,27.6087949,25.19351303,25.55244818,25.33868334,26.357632,24.86971319,25.40756134,25.38376862,24.80754517,26.46190467,23.90361784,25.44297335,25.21830189,26.50310887,25.13946142,25.46457118,25.11350596
Q9TNN7;A2BF25;A2BF26;A2BF24,"HLA class I histocompatibility antigen, Cw-5 alpha chain",HLA-C,NA,NA,NA,NA,21.89463572,22.84509949,23.03800065,23.17653172,NA,22.78779737,23.19078079,22.51484694,22.92603968,NA,23.79362315,NA,24.30250004,NA,21.58865974
Q96IR2;A2RRD8;M0R1K6;M0QZA2;M0R2Z6;M0R2L4;M0R2N3;M0QX96;M0R0Z8,Zinc finger protein 845;Zinc finger protein 320,ZNF845;ZNF320,21.06933438,NA,NA,21.09873378,NA,21.30691389,21.45251877,NA,NA,22.06430991,NA,20.96056198,21.31572892,NA,NA,NA,NA,NA,NA
A2RRP1;A2RRP1-2;H0Y5G7;H7C007;H7BZR3;H7BZU5;C9JCM7;H7C1U4;H7C1Y9,Neuroblastoma-amplified sequence,NBAS,27.63082868,27.96840155,28.05486229,28.18044491,26.93156857,27.74053274,27.39214733,27.16374963,27.17911638,27.88814801,25.89340023,27.42470349,26.95925345,25.14137282,27.17398053,26.42654412,25.97320582,27.03705809,26.18727701
A2RTX5;A2RTX5-2;B7ZLP8;H0YKB9,"Probable threonine--tRNA ligase 2, cytoplasmic",TARSL2,25.51626054,25.21600867,25.0453524,25.47963522,25.33207234,24.05606214,25.75526699,24.24314434,24.66801109,24.80788905,24.40060795,23.98606979,24.06644662,NA,23.67659072,NA,NA,NA,NA
A2RU30;A2RU30-2;A2RU30-3;E9PN46;E9PM24;E9PPW8;E9PIN8;H0YEX3,Protein TESPA1,TESPA1,25.40073823,25.56054625,25.94037812,25.12545856,24.81611765,24.53712216,25.35447431,24.71376742,24.6931198,24.23936137,24.27063467,24.90177802,24.2740522,23.4092459,23.06797326,NA,24.39793466,24.13719567,NA
A2RUS2;A2RUS2-2;H0YAY3;E9PF32;E5RJ42;A2RUS2-4;E5RIR7;E5RHH2;E5RI43,DENN domain-containing protein 3,DENND3,21.24219953,20.81119593,20.56829758,NA,20.03106577,20.86408335,21.62809662,20.82842164,20.78612283,21.03664316,21.01977802,22.50966194,21.52387012,22.89735285,22.33973694,22.84055436,19.00173804,20.84697474,20.20645638
A2VDJ0;A2VDJ0-5;A2VDJ0-2;A2VDJ0-3;H0Y2M0,Transmembrane protein 131-like,KIAA0922,NA,NA,NA,NA,23.25114315,23.68741755,22.7693302,24.41041098,23.36746381,24.12856896,22.57024485,24.30124443,23.28940205,24.82094476,23.05084174,24.97057532,NA,23.38640248,22.90139136
A3KMH1;A3KMH1-3;E2QRD0;A3KMH1-2;C9JBW2,von Willebrand factor A domain-containing protein 8,VWA8,28.87557778,28.9511315,28.40263407,28.71407542,27.84481704,27.73608684,28.5791709,27.90701533,27.52275428,28.94670481,26.32421228,28.15701704,28.09022874,27.26373942,27.57441452,27.47498712,24.99079404,26.6087949,27.5993188
A3KN83;A3KN83-2;A3KN83-3;A3KN83-4;Q9Y2G9;Q9Y2G9-3;K7ES28,Protein strawberry notch homolog 1,SBNO1,26.66478731,26.37749387,26.579027,26.84756742,27.26445549,27.38689579,27.47877159,27.62324231,27.58942291,27.56681508,26.97716443,27.67451794,27.31120686,26.16651051,27.68398267,25.197268,26.87302706,27.52902525,26.40361762
P20839;A4D0Z6;E7EQS0;P20839-3;C9JV30;J3KNX8;P20839-2;P20839-4;C9J381;C9K0R9;C9J029;H7C5T1;H7C511,Inosine-5-monophosphate dehydrogenase 1;Inosine-5-monophosphate dehydrogenase,IMPDH1,27.00955922,26.62533428,26.17943913,27.15730622,27.21502739,27.22976864,27.24490513,27.16825251,27.33730571,27.60441817,27.2925473,27.69504654,27.60434747,28.53122111,28.1654758,28.61593148,27.88814801,27.99808835,28.08481658
C9J7I0;A4D104,,LOC401307,NA,22.48318302,23.35984498,23.40249583,22.09995387,22.65833441,22.44508458,22.4208289,22.10939071,21.56509278,NA,21.67253929,21.98894952,22.54686715,21.71598879,23.1751158,NA,NA,NA
A4D161;A4D161-2;F8WCP3;F8WCP2;A4D161-3;B8ZZQ8,Protein FAM221A,FAM221A,NA,NA,NA,NA,22.57570173,NA,NA,NA,22.49614185,NA,22.99158136,NA,23.04121329,NA,NA,23.21320748,NA,NA,22.9389435
A4D1E9;A4D1E9-2;C9J8R7;C9JNI1;C9JEQ8;F8WBY0;F8WCN4;F8WBB5;A4D1E9-3,GTP-binding protein 10,GTPBP10,25.50470069,26.28256077,26.06111949,25.85131385,25.82631359,26.35521397,26.26336334,26.45109475,26.74406679,26.68712383,26.29050982,26.63256306,26.72948943,25.92054858,26.83569135,25.84280474,25.40736684,26.4549737,25.81580015
A4D1P6;C9J1X0;A4D1P6-2;A4D1P6-3,WD repeat-containing protein 91,WDR91,27.95914287,28.19975965,27.99733473,27.97486932,28.00007816,27.78394202,27.87888406,27.88576488,27.85946502,27.31760348,26.56076488,27.46824319,27.13055375,26.20353575,26.47410522,25.44770982,25.18408263,26.18144999,25.70896198
A4D1S5;C9JJQ5;A4D1S5-2,Ras-related protein Rab-19,RAB19,NA,NA,NA,NA,23.77555241,24.43288032,NA,NA,24.14156772,NA,NA,NA,NA,NA,23.173424,22.03969152,NA,NA,NA
A4D1U4;C9J7X6,Protein LCHN,LCHN;KIAA1147,21.98001403,21.7567029,21.70935647,21.89648467,21.70598667,21.58646233,22.07417806,22.04076195,21.71615631,NA,NA,22.05487057,NA,21.6705093,22.26350304,21.18452913,22.07946135,21.94920547,21.75385004
Q8N201;A4D212;H7C582,Integrator complex subunit 1,INTS1;DKFZP586J0619,27.55924836,27.61687803,27.61449295,27.72838693,27.83737674,27.84565467,28.06655954,27.52634103,27.47382662,27.77517562,25.88983127,27.22784242,27.6063964,27.42133627,27.91866201,26.65594599,26.37805641,27.88948317,27.24526791
O94901;O94901-5;O94901-8;E9PHI4;A4D2Q0;O94901-6;H0Y742;H0Y6N5;E7EP45;H7C2K3;O94901-3;O94901-2;O94901-7;H7C019;C9JK55;C9JS54;C9JJU6;C9K051;H7C3X3,SUN domain-containing protein 1,SUN1;UNC84A,25.17455209,24.84555896,24.61739662,24.71397713,24.60732806,24.89240459,24.87380155,24.38046952,24.48283848,24.61262422,23.02668283,24.46600375,24.04959599,22.34900256,23.02764484,NA,NA,22.26676596,NA
A5D8V7;K7EPK8;K7EN59;B4DXT0,Coiled-coil domain-containing protein 151,CCDC151,24.52211071,24.42751951,NA,24.4354261,23.43847512,23.89161685,NA,23.65064246,23.31851743,NA,21.7431218,NA,NA,23.59172138,NA,24.24169052,NA,NA,22.04446883
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;F5GXC3;A5PLN9-7;D6RB83,Trafficking protein particle complex subunit 13,TRAPPC13,NA,25.77640612,24.67761255,NA,25.86450375,25.20209751,25.11422114,26.18874895,24.97840882,25.27366102,25.23227804,25.80729949,25.42229913,26.45909249,25.62764587,26.1104027,25.15216939,25.16702759,25.75338081
