Gene,Gene description,Variation between individuals,Variation within individuals
AMBN,Ameloblastin,84.04,0.56
CCN5,Cellular communication network factor 5,82.75,1.46
KLK4,Kallikrein related peptidase 4,82.52,6.09
PTPRN,Protein tyrosine phosphatase receptor type N,82.25,5.43
TAFA1,TAFA chemokine like family member 1,80.18,4.88
COL9A1,Collagen type IX alpha 1 chain,79.73,0.53
MS4A1,Membrane spanning 4-domains A1,79.47,5.3
CES2,Carboxylesterase 2,78.65,0.87
COL2A1,Collagen type II alpha 1 chain,77.96,1.7
BSG,Basigin (Ok blood group),77.82,4.22
PTPRR,Protein tyrosine phosphatase receptor type R,77.36,8.18
SEZ6,Seizure related 6 homolog,77.29,7.34
NELL2,Neural EGFL like 2,77.29,11.6
MATN3,Matrilin 3,76.9,0
IGFBP6,Insulin like growth factor binding protein 6,76.78,2.67
ACAN,Aggrecan,76.73,0.3
ODAM,"Odontogenic, ameloblast associated",75.77,4.59
SEZ6L,Seizure related 6 homolog like,75.66,7.69
VWC2L,Von Willebrand factor C domain containing 2 like,73.99,0
DSPP,Dentin sialophosphoprotein,72.96,0
SEMA4C,Semaphorin 4C,71.98,0
MSLN,Mesothelin,70.95,6.47
ALK,ALK receptor tyrosine kinase,70.47,5.43
MMP3,Matrix metallopeptidase 3,70.45,0
PRELP,Proline and arginine rich end leucine rich repeat protein,70.31,8.17
PROK1,Prokineticin 1,70.28,7.27
MMP13,Matrix metallopeptidase 13,69.36,3.85
PENK,Proenkephalin,69.29,9.8
S100P,S100 calcium binding protein P,69.04,6.88
CD22,CD22 molecule,68.34,16.34
LTA4H,Leukotriene A4 hydrolase,67.91,15.36
LGALS7B,Galectin 7B,67.83,3.05
LGALS7,Galectin 7,67.83,3.05
NECAB2,N-terminal EF-hand calcium binding protein 2,67.67,14.86
GFAP,Glial fibrillary acidic protein,67.6,15.74
APOF,Apolipoprotein F,67.5,0.25
TIMP4,TIMP metallopeptidase inhibitor 4,67.4,0.27
EDIL3,EGF like repeats and discoidin domains 3,67.26,1.42
BACE1,Beta-secretase 1,66.62,6.13
APOA2,Apolipoprotein A2,66.28,0
SEMA3F,Semaphorin 3F,66.19,6.43
SAA4,"Serum amyloid A4, constitutive",66.15,7.74
PTPRN2,Protein tyrosine phosphatase receptor type N2,66.13,12.93
MSTN,Myostatin,66.1,5.26
TNFRSF8,TNF receptor superfamily member 8,65.98,7.52
PBXIP1,PBX homeobox interacting protein 1,65.59,4.75
SEZ6L2,Seizure related 6 homolog like 2,65.42,10.8
SLITRK1,SLIT and NTRK like family member 1,65.38,13.21
INSL3,Insulin like 3,64.68,0
PCBD1,Pterin-4 alpha-carbinolamine dehydratase 1,64.55,5.96
APOB,Apolipoprotein B,64.22,3.48
COL24A1,Collagen type XXIV alpha 1 chain,63.85,8.41
SERPINA9,Serpin family A member 9,63.81,20.39
SOWAHC,Sosondowah ankyrin repeat domain family member C,63.74,5.61
EPHA4,EPH receptor A4,62.72,22.04
ADGRG2,Adhesion G protein-coupled receptor G2,62.54,14.51
HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",62.23,1.73
IGFL3,IGF like family member 3,62.07,15.94
STC2,Stanniocalcin 2,61.83,7.41
WFIKKN2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",61.65,21.75
CD109,CD109 molecule,61.6,17.44
UNC5D,Unc-5 netrin receptor D,61.59,10.81
KLK13,Kallikrein related peptidase 13,61.55,15.03
CD80,CD80 molecule,61.24,16.16
ROBO2,Roundabout guidance receptor 2,61.12,8.29
COL5A1,Collagen type V alpha 1 chain,60.79,10.01
SORD,Sorbitol dehydrogenase,60.55,4.99
PDCD1,Programmed cell death 1,60.43,19.6
SCG3,Secretogranin III,60.29,19.16
CD74,CD74 molecule,60.24,10.21
SPINK5,Serine peptidase inhibitor Kazal type 5,60.12,14.24
ITIH3,Inter-alpha-trypsin inhibitor heavy chain 3,60.01,5.74
MFAP5,Microfibril associated protein 5,59.73,11.16
PMVK,Phosphomevalonate kinase,59.39,0.82
KIRREL2,Kirre like nephrin family adhesion molecule 2,59.36,16.38
SPINT3,"Serine peptidase inhibitor, Kunitz type 3",59.29,0
FRZB,Frizzled related protein,59.18,1.74
BAG3,BAG cochaperone 3,58.99,3.51
CST6,Cystatin E/M,58.97,17.94
ITGA11,Integrin subunit alpha 11,58.97,10.37
EFEMP2,EGF containing fibulin extracellular matrix protein 2,58.91,2.55
FGFBP2,Fibroblast growth factor binding protein 2,58.84,5.1
KIAA0319,KIAA0319,58.55,17.05
NCAN,Neurocan,58.54,19.77
LILRB4,Leukocyte immunoglobulin like receptor B4,58.32,12.14
EFEMP1,EGF containing fibulin extracellular matrix protein 1,57.5,1.18
KRT5,Keratin 5,57.41,15.28
ENTPD3,Ectonucleoside triphosphate diphosphohydrolase 3,57.29,4.85
EPHA2,EPH receptor A2,57.23,10.46
PTPRZ1,Protein tyrosine phosphatase receptor type Z1,57.2,8.96
NRCAM,Neuronal cell adhesion molecule,56.5,16.82
SCRG1,Stimulator of chondrogenesis 1,56.35,0.25
ICOSLG,Inducible T cell costimulator ligand,56.04,3.8
OBP2B,Odorant binding protein 2B,55.8,23.21
ZP4,Zona pellucida glycoprotein 4,55.74,9.65
LRRTM4,Leucine rich repeat transmembrane neuronal 4,55.66,9.86
PODXL2,Podocalyxin like 2,55.54,29.19
PLIN1,Perilipin 1,55.08,2.75
GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,55.02,5.63
TMSB10,Thymosin beta 10,54.85,1.23
