#,accession,total,log(e),EC,description
1,ENSP00000245907,20313,-6248.6,4,"C3, complement component 3 [Source:HGNC Symbol;Acc:HGNC:1318]"
2,ENSP00000323856,24746,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
3,ENSP00000370290,11421,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:399]"
4,ENSP00000346602,24436,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
5,ENSP00000386041,5538,-5999,4,"MYH6, myosin, heavy chain 6, cardiac muscle, alpha [Source:HGNC Symbol;Acc:HGNC:7576]"
6,ENSP00000379616,22204,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]"
7,ENSP00000295897,41105,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:HGNC:399]"
8,ENSP00000367263,23636,-5999,4,"AHNAK, AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]"
9,ENSP00000300036,24349,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]"
10,ENSP00000346032,28283,-5999,4,"ANXA2, annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]"
11,ENSP00000379342,27067,-5999,4,"ANXA2, annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]"
12,ENSP00000233242,12852,-5999,4,"APOB, apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]"
13,ENSP00000354875,7781,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
14,ENSP00000353467,34012,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
15,ENSP00000372940,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
16,ENSP00000297268,14731,-5999,4,"COL1A2, collagen, type I, alpha 2 [Source:HGNC Symbol;Acc:HGNC:2198]"
17,ENSP00000372815,15676,-5999,4,Complement component 4A (Rodgers blood group). [Source:Uniprot/SPTREMBL;Acc:Q5JNX2]
18,ENSP00000344848,24661,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
19,ENSP00000348702,24438,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
20,ENSP00000384695,33055,-5999,4,"ALB, albumin [Source:HGNC Symbol;Acc:HGNC:399]"
21,ENSP00000381756,23569,-5999,4,Plectin-1 (PLTN) (PCN) (Hemidesmosomal protein 1) (HD1) (Plectin-11). [Source:Uniprot/SWISSPROT;Acc:Q15149]
22,ENSP00000358863,33296,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
23,ENSP00000269243,24291,-5999,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
24,ENSP00000225964,18040,-5999,4,"COL1A1, collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]"
25,ENSP00000352312,425,-5999,2,"DNAH8, dynein, axonemal, heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]"
26,ENSP00000216181,33614,-5999,4,"MYH9, myosin, heavy chain 9, non-muscle [Source:HGNC Symbol;Acc:HGNC:7579]"
27,ENSP00000365131,8968,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
28,ENSP00000345136,23726,-5999,4,"MYH11, myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:7569]"
29,ENSP00000245185,4579,-5999,4,"MT2A, metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]"
30,ENSP00000365143,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
31,ENSP00000372938,8943,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
32,ENSP00000333363,399,-5999,2,"DNAH8, dynein, axonemal, heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]"
33,ENSP00000364321,15926,-5999,4,"C4B, complement component 4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]"
34,ENSP00000211379,8973,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
35,ENSP00000347044,24437,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
36,ENSP00000316029,26184,-5999,4,"TLN1, talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
37,ENSP00000354368,8992,-5999,4,"BAG6, BCL2-associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
38,ENSP00000347507,5454,-5999,4,"MYH7, myosin, heavy chain 7, cardiac muscle, beta [Source:HGNC Symbol;Acc:HGNC:7577]"
39,ENSP00000233072,4495,-5999,4,"CPS1, carbamoyl-phosphate synthase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:2323]"
40,ENSP00000358866,33328,-5999,4,"FLNA, filamin A, alpha [Source:HGNC Symbol;Acc:HGNC:3754]"
41,ENSP00000364444,16165,-5999,4,"C4A, complement component 4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]"
42,ENSP00000350277,24439,-5999,4,"PLEC, plectin [Source:HGNC Symbol;Acc:HGNC:9069]"
43,ENSP00000348634,5762,-5999,4,"MYH6, myosin, heavy chain 6, cardiac muscle, alpha [Source:HGNC Symbol;Acc:HGNC:7576]"
44,ENSP00000363827,13440,-5758.2,4,"HSPG2, heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]"
45,ENSP00000358868,12306,-5705.2,4,"FLNA, filamin A, alpha"
46,ENSP00000369315,23798,-5453.8,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
47,ENSP00000379539,22205,-5412.3,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:7568]"
48,ENSP00000353590,22825,-5398,4,"MYH10, myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]"
49,ENSP00000304592,23378,-5300.1,4,"FASN, fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]"
50,ENSP00000264613,13301,-5202.1,4,"CP, ceruloplasmin (ferroxidase) [Source:HGNC Symbol;Acc:HGNC:2295]"
51,ENSP00000295550,13554,-4941.8,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:HGNC:2213]"
52,ENSP00000327145,22085,-4906.9,4,"FLNC, filamin C, gamma [Source:HGNC Symbol;Acc:HGNC:3756]"
53,ENSP00000315873,13493,-4894.6,4,"COL6A3, collagen, type VI, alpha 3 [Source:HGNC Symbol;Acc:HGNC:2213]"
54,ENSP00000275493,7310,-4804.3,4,"EGFR, epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]"
55,ENSP00000344002,22186,-4803.5,4,"FLNC, filamin C, gamma [Source:HGNC Symbol;Acc:HGNC:3756]"
